Movie,Director,Running time,Actor 1,Actor 2,Actor 3,Genre,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score
Hercules,Brett Ratner,101,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Action,100000000,244000000,100.0,60.0,144000000,0,0,2014,6.0
Here Comes the Boom,Frank Coraci,105,Salma Hayek,Reggie Lee,Charice,Action,42000000,137000000,100.0,71.42,95000000,0,0,2012,6.5
He's Just Not That Into You,Ken Kwapis,129,Carmen Perez,Sabrina Revelle,Sachiko Ishida,Comedy,40000000,178000000,100.0,25.0,138000000,0,0,2009,6.4
High Crimes,Carl Franklin,115,Morgan Freeman,Adam Scott,Bruce Davison,Crime,42000000,50000000,44.0,0.0,8000000,0,0,2002,6.3
High Tension,Alexandre Aja,89,Cécile De France,Maïwenn,Oana Pellea,Horror,2200000,8000000,77.00,75.0,5800000,0,0,2003,6.8
Hitman,Xavier Gens,94,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,Action,24000000,101000000,33.33,100.0,77000000,0,0,2007,6.3
Holes,Andrew Davis,117,Tim Blake Nelson,Zane Holtz,Ski Carr,Adventure,20000000,71000000,100.0,50.0,51000000,0,0,2003,7.1
Hollywood Ending,Woody Allen,112,Woody Allen,Debra Messing,Treat Williams,Comedy,16000000,5000000,33.33,28.57,-11000000,0,0,2002,6.6
Hollywood Homicide,Ron Shelton,116,Harrison Ford,Bruce Greenwood,Lena Olin,Action,75000000,51000000,66.67,0.0,-24000000,0,0,2003,5.3
Holy Man,Stephen Herek,114,Kelly Preston,Morgan Fairchild,Eric McCormack,Comedy,60000000,60000000,33.33,42.85,0,0,0,1998,4.9
Home on the Range,Will Finn,76,Steve Buscemi,Roseanne Barr,G.W. Bailey,Animation,110000000,103000000,50.0,0.0,-7000000,0,0,2004,5.4
Home,Tim Johnson,94,Jim Parsons,Matt Jones,April Winchell,Animation,135000000,386000000,100.0,100.0,251000000,0,0,2015,6.7
Home,Tim Johnson,94,Jim Parsons,Matt Jones,April Winchell,Animation,135000000,386000000,100.0,100.0,251000000,0,0,2015,6.7
Honey,Bille Woodruff,94,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama,18000000,65000000,100.0,100.0,47000000,0,0,2003,5.3
Hop,Tim Hill,95,Gary Cole,Elizabeth Perkins,Chelsea Handler,Animation,63000000,108000000,50.0,25.0,45000000,0,0,2011,5.5
Hope Springs,David Frankel,100,Meryl Streep,Steve Carell,Jean Smart,Comedy,30000000,35000000,38.88,50.0,5000000,0,0,2012,6.3
Horrible Bosses 2,Sean Anders,116,Kevin Spacey,Christoph Waltz,Lindsay Sloane,Comedy,42000000,130000000,83.33,50.0,88000000,0,0,2014,6.3
Hostage,Florent-Emilio Siri,113,Jimmy Bennett,Bruce Willis,Ransford Doherty,Action,52000000,77600000,38.88,0.0,25600000,0,0,2005,6.6
Hot Pursuit,Anne Fletcher,87,Jim Gaffigan,Richard T. Jones,Michael Mosley,Action,35000000,51000000,33.33,60.0,16000000,0,0,2015,5.1
Hot Tub Time Machine,Steve Pink,101,Charlie McDermott,Collette Wolfe,Crystal Lowe,Comedy,36000000,64000000,38.88,33.33,28000000,0,0,2010,6.4
Hotel for Dogs,Thor Freudenthal,100,Don Cheadle,Kevin Dillon,Yvette Nicole Brown,Comedy,35000000,118000000,83.33,100.0,83000000,0,0,2009,5.4
Hotel Transylvania 2,Genndy Tartakovsky,89,Steve Buscemi,Adam Sandler,Fran Drescher,Animation,80000000,474000000,96.29,100.0,394000000,0,0,2015,6.7
House of Wax,Jaume Collet-Serra,108,Robert Ri'chard,Paris Hilton,Brian Van Holt,Horror,30000000,68600000,72.22,83.33,38600000,0,0,2005,5.3
How Do You Know,James L. Brooks,121,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,Comedy,120000000,48600000,0.0,33.33,-71400000,0,0,2010,5.3
How to Be Single,Christian Ditter,110,Alison Brie,Damon Wayans Jr.,Nicholas Braun,Comedy,38000000,112000000,100.0,100.0,74000000,0,0,2016,6.1
How to Lose a Guy in 10 Days,Donald Petrie,116,Matthew McConaughey,Adam Goldberg,Thomas Lennon,Comedy,50000000,177000000,52.22,37.5,127000000,0,0,2003,6.4
Howard the Duck,Willard Huyck,110,Lea Thompson,Jeffrey Jones,Jordan Prentice,Action,35000000,38000000,33.33,0.0,3000000,0,0,1986,4.6
Hudson Hawk,Michael Lehmann,100,Bruce Willis,James Coburn,Richard E. Grant,Action,70000000,17000000,66.67,50.0,-53000000,0,0,1991,5.7
I Am Legend,Francis Lawrence,104,Will Smith,Alice Braga,Willow Smith,Thriller,150000000,250000000,33.33,80.0,100000000,0,0,2007,7.2
I Am Number Four,D.J. Caruso,109,Alex Pettyfer,Emily Wickersham,Reuben Langdon,Action,60000000,145000000,100.0,80.0,85000000,0,0,2011,6.1
I Can Do Bad All by Myself,Tyler Perry,113,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Comedy,13000000,50000000,83.33,100.0,37000000,0,0,2009,4.1
I Come with the Rain,Tran Anh Hung,114,Takuya Kimura,Simón Andreu,Shawn Yue,Thriller,18000000,5000000,16.67,0.0,-13000000,0,0,2009,5.5
I Love You Man,John Hamburg,105,J.K. Simmons,Jon Favreau,Jane Curtin,Comedy,40000000,91000000,88.17,100.0,51000000,0,0,2009,7.1
I Spy,Betty Thomas,97,Gary Cole,Phill Lewis,Tate Taylor,Action,70000000,51000000,33.33,75.0,-19000000,0,0,2002,5.4
I Frankenstein,Stuart Beattie,92,Caitlin Stasey,Kevin Grevioux,Miranda Otto,Action,65000000,70000000,30.55,0.0,5000000,0,0,2014,5.1
Ice Age,Chris Wedge,103,Goran Visnjic,Stephen Root,Denis Leary,Animation,59000000,383000000,47.62,100.0,324000000,0,0,2002,7.6
Ice Age: The Meltdown,Carlos Saldanha,115,Denis Leary,Ray Romano,Jay Leno,Action,80000000,660000000,66.67,100.0,580000000,0,0,2006,6.9
Imagine That,Karey Kirkpatrick,107,Stephen Root,Ronny Cox,Richard Schiff,Comedy,55000000,22900000,47.62,0.0,-32100000,0,0,2009,5.6
Immortals,Tarsem Singh,110,Henry Cavill,Daniel Sharman,Steve Byers,Action,75000000,227000000,88.89,75.0,152000000,0,0,2011,6.1
Impostor,Gary Fleder,102,Gary Dourdan,Mekhi Phifer,Tim Guinee,Drama,40000000,5000000,66.67,60.0,-35000000,0,0,2001,6.2
In & Out,Frank Oz,90,Tom Selleck,Wilford Brimley,Lauren Ambrose,Comedy,35000000,32000000,33.33,25.0,-3000000,0,0,1997,6.3
In the Company of Men,Neil LaBute,97,Stacy Edwards,Matt Malloy,Jason Dixie,Comedy,25000,1073000,100.0,66.67,1048000,0,0,1997,7.3
In the Heart of the Sea,Ron Howard,122,Chris Hemsworth,Benjamin Walker,Frank Dillane,Action,100000000,93500000,23.80,61.5,-6500000,0,0,2015,7.0
In the Land of Blood and Honey,Angelina Jolie,127,Jelena Jovanova,Nikola Djuricko,Branko Djuric,Drama,13000000,1000000,0.0,33.33,-12000000,0,0,2011,4.3
In the Name of the King: A Dungeon Siege Tale,Uwe Boll,156,Jason Statham,Mike Dopud,Tania Saulnier,Action,60000000,16000000,51.38,0.0,-44000000,0,0,2007,3.8
In the Name of the King: The Last Job,Uwe Boll,86,Bashar Rahal,Shelly Varod,Ralitsa Paskaleva,Action,3500000,5000000,0.0,0.0,1500000,0,0,2014,3.3
In Time,Andrew Niccol,109,Matt Bomer,Olivia Wilde,Justin Timberlake,Sci-Fi,40000000,112000000,91.67,25.0,72000000,0,0,2011,6.7
Inchon,Terence Young,140,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Drama,48000000,5400000,0.0,75.0,-42600000,0,0,1981,2.7
Independence Day: Resurgence,Roland Emmerich,120,Vivica A. Fox,Sela Ward,Judd Hirsch,Action,165000000,390000000,83.33,50.0,225000000,0,0,2016,5.5
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,122,Harrison Ford,Ray Winstone,Jim Broadbent,Action,185000000,790000000,56.66,84.60,605000000,0,0,2008,6.2
Inkheart,Iain Softley,106,Brendan Fraser,Stephen Graham,Jamie Foreman,Adventure,60000000,58000000,76.66,0.0,-2000000,0,0,2008,6.1
Inside Deep Throat,Fenton Bailey,89,Hugh M. Hefner,Bill Maher,Linda Lovelace,Documentary,2000000,5000000,100.0,50.0,3000000,0,0,2005,6.8
Inside Man,Spike Lee,129,Denzel Washington,James Ransone,Peter Gerety,Crime,45000000,186000000,83.33,50.0,141000000,0,0,2006,7.6
Insomnia,Christopher Nolan,118,Al Pacino,Maura Tierney,Crystal Lowe,Drama,46000000,113000000,44.0,100.0,67000000,0,0,2002,7.2
Inspector Gadget,David Kellogg,110,Matthew Broderick,Rene Auberjonois,Rupert Everett,Action,75000000,134000000,33.33,0.0,59000000,0,0,1999,4.1
Instinct,Jon Turteltaub,126,Anthony Hopkins,Maura Tierney,John Ashton,Thriller,55000000,34300000,33.33,42.85,-20700000,0,0,1999,6.5
Instructions Not Included,Eugenio Derbez,115,Eugenio Derbez,Jessica Lindsey,Hugo Stiglitz,Comedy,5000000,100000000,100.0,100.0,95000000,0,0,2013,7.6
Insurgent,Robert Schwentke,119,Kate Winslet,Theo James,Mekhi Phifer,Adventure,110000000,297000000,72.22,66.67,187000000,0,0,2015,6.3
Into the Blue,John Stockwell,110,Paul Walker,James Frain,Ashley Scott,Action,50000000,44500000,66.67,0.0,-5500000,0,0,2005,5.8
Into the Storm,Steven Quale,89,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Action,50000000,161000000,66.67,100.0,111000000,0,0,2014,5.8
Intolerable Cruelty,Joel Coen,100,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Comedy,60000000,39000000,20.0,50.0,-21000000,0,0,2003,6.3
Ip Man 3,Wilson Yip,105,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,Action,36000000,72000000,100.0,100.0,36000000,0,0,2015,7.2
Ishtar,Elaine May,107,Carol Kane,Warren Beatty,Isabelle Adjani,Action,51000000,14000000,16.67,0.0,-37000000,0,0,1987,4.2
Isn't She Great,Andrew Bergman,95,Stockard Channing,Nathan Lane,John Larroquette,Biography,36000000,8500000,16.67,50.0,-27500000,0,0,2000,5.3
Jack and Jill,Dennis Dugan,91,Al Pacino,Adam Sandler,Tim Meadows,Comedy,79000000,150000000,51.85,66.67,71000000,0,0,2011,3.4
Jack Reacher,Christopher McQuarrie,130,Tom Cruise,Robert Duvall,David Oyelowo,Action,60000000,218000000,82.14,75.0,158000000,0,0,2012,7.0
Jack Reacher,Christopher McQuarrie,130,Tom Cruise,Robert Duvall,David Oyelowo,Action,60000000,218000000,82.14,75.0,158000000,0,0,2012,7.0
Jack Ryan: Shadow Recruit,Kenneth Branagh,105,Colm Feore,Nonso Anozie,Gemma Chan,Action,60000000,135000000,66.67,55.55,75000000,0,0,2014,6.2
Jack the Giant Slayer,Bryan Singer,114,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure,195000000,195000000,41.67,75.0,0,0,0,2013,6.3
Jade,William Friedkin,107,Michael Biehn,Chazz Palminteri,Linda Fiorentino,Crime,50000000,10100000,47.62,33.33,-39900000,0,0,1995,5.1
Jarhead,Sam Mendes,125,Jake Gyllenhaal,Brian Geraghty,James Morrison,Action,70000000,97200000,23.33,62.5,27200000,0,0,2005,7.1
Jason Bourne,Paul Greengrass,123,Matt Damon,Riz Ahmed,Ato Essandoh,Action,120000000,415000000,100.0,85.71,295000000,0,0,2016,7.1
Jason Lives: Friday the 13th Part VI,Tom McLoughlin,86,Tony Goldwyn,Ron Palillo,Vincent Guastaferro,Horror,3000000,19000000,77.00,100.0,16000000,0,0,1986,5.9
Jeepers Creepers II,Victor Salva,104,Nicki Aycox,Jonathan Breck,Billy Aaron Brown,Horror,17000000,35000000,100.0,66.67,18000000,0,0,2003,5.6
Jeepers Creepers,Victor Salva,90,Eileen Brennan,Patricia Belcher,Jonathan Breck,Horror,10000000,59000000,58.33,66.67,49000000,0,0,2001,6.1
Jersey Girl,Kevin Smith,102,Stephen Root,Mike Starr,George Carlin,Comedy,35000000,40000000,36.50,41.66,5000000,0,0,2004,6.2
Jingle All the Way,Brian Levant,94,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy,60000000,129000000,83.33,33.33,69000000,0,0,1996,5.4
Joe Somebody,John Pasquin,98,Jim Belushi,Ken Marino,Kelly Lynch,Comedy,38000000,22000000,66.67,33.33,-16000000,0,0,2001,5.5
John Carter,Andrew Stanton,132,Daryl Sabara,Samantha Morton,Polly Walker,Action,263700000,284000000,33.33,66.67,20300000,0,0,2012,6.6
Johnny English Reborn,Oliver Parker,101,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Action,45000000,160000000,100.0,25.0,115000000,0,0,2011,6.3
Johnny English,Peter Howitt,87,Kevin McNally,Natalie Imbruglia,Ben Miller,Action,35000000,160000000,66.67,50.0,125000000,0,0,2003,6.1
Jonah Hex,Jimmy Hayward,81,Michael Fassbender,Billy Blair,Julia Jones,Action,47000000,11000000,20.0,50.0,-36000000,0,0,2010,4.7
Journey 2: The Mysterious Island,Brad Peyton,94,Josh Hutcherson,Dwayne Johnson,Kristin Davis,Action,79000000,335000000,100.0,66.67,256000000,0,0,2012,5.8
Journey to the Center of the Earth,Eric Brevig,93,Josh Hutcherson,Brendan Fraser,Anita Briem,Action,45000000,242000000,76.66,100.0,197000000,0,0,2008,5.8
Jumper,Doug Liman,88,Kristen Stewart,Hayden Christensen,Tom Hulce,Action,85000000,222000000,66.67,85.71,137000000,0,0,2008,6.1
Jupiter Ascending,Lana Wachowski,127,Channing Tatum,Mila Kunis,Eddie Redmayne,Action,176000000,184000000,38.88,50.0,8000000,0,0,2015,5.4
Jurassic Park III,Joe Johnston,92,Michael Jeter,Trevor Morgan,Alessandro Nivola,Action,93000000,368000000,72.22,50.0,275000000,0,0,2001,5.9
Jurassic World,Colin Trevorrow,124,Bryce Dallas Howard,Judy Greer,Omar Sy,Action,150000000,1670000000,77.00,100.0,1520000000,0,0,2015,7.0
Just Go with It,Dennis Dugan,117,Adam Sandler,Bailee Madison,Kevin Nealon,Comedy,80000000,215000000,62.96,66.67,135000000,0,0,2011,6.4
Just Like Heaven,Mark Waters,95,Jon Heder,Ivana Milicevic,Willie Garson,Comedy,58000000,102000000,61.0,50.0,44000000,0,0,2005,6.7
Just Visiting,Jean-Marie Poiré,84,Bridgette Wilson-Sampras,Matt Ross,John Aylward,Comedy,40000000,16000000,33.33,0.0,-24000000,0,0,2001,5.8
K-19: The Widowmaker,Kathryn Bigelow,138,Liam Neeson,Christian Camargo,Lex Shrapnel,Drama,100000000,66000000,36.66,66.67,-34000000,0,0,2002,6.7
Kangaroo Jack,David McNally,89,Estella Warren,Dyan Cannon,Bill Hunter,Action,60000000,80000000,11.11,50.0,20000000,0,0,2003,4.4
Kate & Leopold,James Mangold,123,Hugh Jackman,Natasha Lyonne,Bradley Whitford,Comedy,48000000,76000000,58.33,75.0,28000000,0,0,2001,6.4
Khumba,Anthony Silverston,85,Liam Neeson,Steve Buscemi,Loretta Devine,Animation,20000000,28000000,75.55,0.0,8000000,0,0,2013,5.8
Kicking & Screaming,Jesse Dylan,95,Josh Hutcherson,Will Ferrell,Robert Duvall,Comedy,45000000,56000000,90.47,66.67,11000000,0,0,2005,5.6
Killer Elite,Gary McKendry,116,Jason Statham,Robert De Niro,Ben Mendelsohn,Action,35000000,57000000,34.24,0.0,22000000,0,0,2011,6.5
Killer Joe,William Friedkin,98,Matthew McConaughey,Scott A. Martin,Carol Sutton,Crime,11000000,3200000,11.11,33.33,-7800000,0,0,2011,6.7
Killers,Robert Luketic,100,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,Action,75000000,98000000,50.0,66.67,23000000,0,0,2010,5.4
Killing Them Softly,Andrew Dominik,97,Brad Pitt,Sam Shepard,Ben Mendelsohn,Crime,15000000,37000000,53.96,50.0,22000000,0,0,2012,6.2
Kiss of Death,Barbet Schroeder,101,Nicolas Cage,Michael Rapaport,Philip Baker Hall,Action,40000000,14900000,53.33,0.0,-25100000,0,0,1995,5.9
Knight and Day,James Mangold,117,Tom Cruise,Marc Blucas,Jordi MollÃ ,Action,117000000,262000000,41.67,75.0,145000000,0,0,2010,6.3
Knock Off,Hark Tsui,91,Paul Sorvino,Lela Rochon,Ray Nicholas,Action,35000000,20000000,0.0,0.0,-15000000,0,0,1998,4.8
Knowing,Alex Proyas,121,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,Drama,50000000,186000000,76.20,60.0,136000000,0,0,2009,6.2
K-PAX,Iain Softley,120,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama,48000000,65000000,38.88,0.0,17000000,0,0,2001,7.4
Kung Fu Panda 3,Alessandro Carloni,95,J.K. Simmons,Angelina Jolie,Wayne Knight,Action,145000000,521000000,88.17,100.0,376000000,0,0,2016,7.2
Ladder 49,Jay Russell,115,Billy Burke,Jay Hernandez,Jacinda Barrett,Action,55000000,119000000,77.00,66.67,64000000,0,0,2004,6.5
Lady in the Water,M. Night Shyamalan,110,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,Drama,70000000,72000000,58.33,77.00,2000000,0,0,2006,5.6
Lady in White,Frank LaLoggia,118,Alex Rocco,Lukas Haas,Katherine Helmond,Horror,4700000,10000000,80.55,100.0,5300000,0,0,1988,6.7
Land of the Lost,Brad Silberling,102,Will Ferrell,Anna Friel,Bobb'e J. Thompson,Adventure,100000000,69000000,44.0,75.0,-31000000,0,0,2009,5.4
Lara Croft Tomb Raider: The Cradle of Life,Jan de Bont,117,Gerard Butler,Angelina Jolie,Djimon Hounsou,Action,95000000,160000000,41.67,60.0,65000000,0,0,2003,5.5
Lara Croft: Tomb Raider,Simon West,100,Angelina Jolie,Noah Taylor,Chris Barrie,Action,115000000,275000000,100.0,50.0,160000000,0,0,2001,5.7
Larry Crowne,Tom Hanks,98,Tom Hanks,Rob Riggle,Randall Park,Comedy,30000000,78000000,80.55,50.0,48000000,0,0,2011,6.1
Last Action Hero,John McTiernan,130,F. Murray Abraham,Tom Noonan,Joan Plowright,Action,70000000,137000000,33.33,40.0,67000000,0,0,1993,6.2
Last Holiday,Wayne Wang,112,LL Cool J,Alicia Witt,Timothy Hutton,Adventure,45000000,70000000,33.33,40.0,25000000,0,0,2006,6.4
Law Abiding Citizen,F. Gary Gray,118,Gerard Butler,Leslie Bibb,Michael Kelly,Crime,50000000,127000000,33.33,62.5,77000000,0,0,2009,7.4
Leap Year,Anand Tucker,100,Adam Scott,Kaitlin Olson,Dominique McElligott,Comedy,19000000,60000000,66.67,50.0,41000000,0,0,2010,6.4
Leatherheads,George Clooney,114,Robert Baker,Malcolm Goodwin,Matt Bushell,Comedy,58000000,44000000,0.0,60.0,-14000000,0,0,2008,6.0
Lee Daniels' The Butler,Lee Daniels,132,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,Biography,30000000,176000000,100.0,100.0,146000000,0,0,2013,7.2
Left Behind,Vic Armstrong,110,Nicolas Cage,Lea Thompson,Quinton Aaron,Action,16000000,19000000,50.0,0.0,3000000,0,0,2014,3.1
Legal Eagles,Ivan Reitman,116,Brian Dennehy,Debra Winger,Roscoe Lee Browne,Comedy,40000000,93000000,66.67,87.5,53000000,0,0,1986,5.9
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,101,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,Action,80000000,140000000,25.0,57.14,60000000,0,0,2010,7.0
Legends of Oz: Dorothy's Return,Will Finn,88,Lea Michele,Oliver Platt,Jim Belushi,Animation,70000000,19000000,38.88,0.0,-51000000,0,0,2013,5.6
Lethal Weapon 4,Richard Donner,127,Jet Li,Rene Russo,Darlene Love,Action,140000000,285000000,93.33,50.0,145000000,0,0,1998,6.6
Letters to Juliet,Gary Winick,105,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,Comedy,30000000,80500000,100.0,100.0,50500000,0,0,2010,6.5
License to Wed,Ken Kwapis,91,Robin Williams,Christine Taylor,Mindy Kaling,Comedy,35000000,68000000,39.33,25.0,33000000,0,0,2007,5.3
Life or Something Like It,Stephen Herek,103,Angelina Jolie,Stockard Channing,James Gammon,Comedy,40000000,38500000,66.67,42.85,-1500000,0,0,2002,5.8
Like Mike,John Schultz,99,Brenda Song,Robert Forster,Anne Meara,Comedy,30000000,62000000,100.0,66.67,32000000,0,0,2002,5.1
Lion of the Desert,Moustapha Akkad,156,Oliver Reed,Rod Steiger,John Gielgud,Biography,35000000,5000000,70.0,0.0,-30000000,0,0,1980,8.4
Lions for Lambs,Robert Redford,92,Meryl Streep,Tom Cruise,Andrew Garfield,Thriller,35000000,63000000,25.0,40.0,28000000,0,0,2007,6.2
Little Big Top,Ward Roberts,83,Sid Haig,Jacob Zachar,Travis Betz,Comedy,240000,1000000,100.0,100.0,760000,0,0,2006,6.5
Little Black Book,Nick Hurran,105,Holly Hunter,Kevin Sussman,Dave Annable,Comedy,35000000,13000000,43.33,0.0,-22000000,0,0,2004,5.2
Little Boy,Alejandro Monteverde,106,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,Drama,20000000,35000000,18.88,0.0,15000000,0,0,2015,7.4
Little Fockers,Paul Weitz,98,Robert De Niro,Blythe Danner,Teri Polo,Comedy,100000000,310000000,67.77,50.0,210000000,0,0,2010,5.5
Little Nicky,Steven Brill,90,Adam Sandler,Jon Lovitz,Michael McKean,Comedy,80000000,58000000,85.18,50.0,-22000000,0,0,2000,5.3
Littleman,Keenen Ivory Wayans,98,Chazz Palminteri,Brittany Daniel,John Witherspoon,Comedy,64000000,58000000,47.62,50.0,-6000000,0,0,2006,4.3
Live Free or Die Hard,Len Wiseman,129,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,Action,110000000,388000000,100.0,66.67,278000000,0,0,2007,7.2
London Has Fallen,Babak Najafi,99,Gerard Butler,Radha Mitchell,Julian Kostov,Action,60000000,205000000,66.67,100.0,145000000,0,0,2016,5.9
Looney Tunes: Back in Action,Joe Dante,91,Brendan Fraser,Jenna Elfman,Heather Locklear,Animation,80000000,70000000,26.66,42.85,-10000000,0,0,2003,5.7
Loser,Amy Heckerling,98,Andy Dick,Robert Miano,Zak Orth,Comedy,20000000,4000000,33.33,50.0,-16000000,0,0,2000,5.3
Lost in Space,Stephen Hopkins,130,Gary Oldman,William Hurt,June Lockhart,Action,80000000,136000000,26.66,20.0,56000000,0,0,1998,5.1
Love Letters,Amy Holden Jones,88,Jamie Lee Curtis,Sally Kirkland,Amy Madigan,Drama,550000,4000000,61.0,100.0,3450000,0,0,1983,6.1
Lucky Numbers,Nora Ephron,105,Michael Rapaport,Michael Moore,Richard Schiff,Comedy,65000000,45000000,0.0,66.67,-20000000,0,0,2000,5.0
Lucky You,Curtis Hanson,124,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,Drama,55000000,63600000,57.14,50.0,8600000,0,0,2007,5.9
Lucy,Luc Besson,89,Scarlett Johansson,Morgan Freeman,Amr Waked,Sci-Fi,40000000,469000000,100.0,40.0,429000000,0,0,2014,6.4
Machete,Ethan Maniquis,105,Robert De Niro,Don Johnson,Cheech Marin,Action,10500000,44000000,28.88,100.0,33500000,0,0,2010,6.7
Mad City,Costa-Gavras,115,Mia Kirshner,Blythe Danner,William Atherton,Crime,50000000,10700000,61.00,0.0,-39300000,0,0,1997,6.2
Madagascar 3: Europe's Most Wanted,Eric Darnell,93,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Animation,145000000,746000000,53.33,80.0,601000000,0,0,2012,6.9
Madagascar,Eric Darnell,86,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,Animation,75000000,556000000,64.44,80.0,481000000,0,0,2005,6.9
Madagascar: Escape 2 Africa,Eric Darnell,89,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action,150000000,604000000,75.55,80.0,454000000,0,0,2008,6.7
Made of Honor,Paul Weiland,101,Busy Philipps,Beau Garrett,Kevin Sussman,Comedy,40000000,52000000,26.66,0.0,12000000,0,0,2008,5.8
Madea's Family Reunion,Tyler Perry,107,Boris Kodjoe,Cicely Tyson,Blair Underwood,Comedy,6000000,65000000,72.22,100.0,59000000,0,0,2006,5.0
Madea's Witness Protection,Tyler Perry,114,John Amos,Tom Arnold,Romeo Miller,Comedy,20000000,67000000,66.67,100.0,47000000,0,0,2012,4.8
Maid in Manhattan,Wayne Wang,105,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy,55000000,155000000,77.00,40.0,100000000,0,0,2002,5.1
Mama,Andrés Muschietti,100,Javier Botet,Megan Charpentier,Isabelle Nélisse,Horror,20000000,146000000,100.0,100.0,126000000,0,0,2013,6.2
Mamma Mia!,Phyllida Lloyd,108,Colin Firth,Meryl Streep,Julie Walters,Comedy,52000000,609000000,44.0,100.0,557000000,0,0,2008,6.3
Man of Steel,Zack Snyder,143,Henry Cavill,Christopher Meloni,Harry Lennix,Action,225000000,668000000,88.89,57.14,443000000,0,0,2013,7.2
Man of the House,Stephen Herek,100,Christina Milian,Vanessa Ferlito,Kelli Garner,Action,40000000,19600000,33.33,42.85,-20400000,0,0,2005,5.4
Man of the Year,Barry Levinson,115,Robin Williams,Tina Fey,Amy Poehler,Comedy,20000000,41000000,67.11,61.5,21000000,0,0,2006,6.2
Man on a Ledge,Asger Leth,102,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Action,42000000,47000000,0.0,0.0,5000000,0,0,2012,6.6
Man on Fire,Tony Scott,146,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action,70000000,132000000,66.67,41.66,62000000,0,0,2004,7.7
Marley & Me,David Frankel,115,Eric Dane,Kathleen Turner,Haley Bennett,Comedy,60000000,242000000,50.0,50.0,182000000,0,0,2008,7.1
Marmaduke,Tom Dey,87,Emma Stone,Judy Greer,Steve Coogan,Comedy,50000000,83600000,69.44,33.33,33600000,0,0,2010,4.2
Mars Attacks!,Tim Burton,106,Natalie Portman,Martin Short,Lukas Haas,Action,70000000,101000000,69.44,66.67,31000000,0,0,1996,6.3
Mars Needs Moms,Simon Wells,88,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action,150000000,40000000,30.55,0.0,-110000000,0,0,2011,5.4
Mary Reilly,Stephen Frears,108,Julia Roberts,Bronagh Gallagher,George Cole,Thriller,47000000,13600000,16.67,54.54,-33400000,0,0,1996,5.8
Max Payne,John Moore,103,Mila Kunis,Beau Bridges,Jamie Hector,Action,35000000,40000000,50.0,50.0,5000000,0,0,2008,5.4
Me Myself & Irene,Bobby Farrelly,116,Robert Forster,Tony Cox,Rob Moran,Comedy,51000000,149000000,83.33,66.67,98000000,0,0,2000,6.5
Mean Streets,Martin Scorsese,112,Robert De Niro,David Carradine,David Proval,Crime,500000,3000000,40.0,44.44,2500000,0,0,1973,7.4
Medicine Man,John McTiernan,106,Lorraine Bracco,José Wilker,Sean Connery,Adventure,40000000,45000000,0.0,40.0,5000000,0,0,1992,6.0
Meet Dave,Brian Robbins,90,Marc Blucas,Mike O'Malley,Shawn Christian,Adventure,60000000,50000000,0.0,33.33,-10000000,0,0,2008,4.9
Meet Joe Black,Martin Brest,178,Anthony Hopkins,Brad Pitt,Jake Weber,Drama,90000000,143000000,66.67,50.0,53000000,0,0,1998,7.1
Meet the Fockers,Jay Roach,106,Robert De Niro,Blythe Danner,Teri Polo,Comedy,80000000,511000000,67.77,57.14,431000000,0,0,2004,6.3
Meet the Spartans,Jason Friedberg,86,Carmen Electra,Diedrich Bader,Method Man,Comedy,30000000,38000000,0.0,50.0,8000000,0,0,2008,2.7
