Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Product Page
"Alphacool Eisbaer Pro Aurora 240 Processor , D-RGB",,Alphacool,11772,4250197117722,,"2011-V3, 2011, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5, 1700",0 mm,,0,0,2,0,0,False,
"Alphacool Eisbaer Pro Aurora 360 Processor , D-RGB",,Alphacool,11771,4250197117715,,"2011-V3, 2011, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5, 1700",0 mm,,0,0,3,0,0,False,
"Alphacool Eisbaer Pro Aurora 420 Processor , D-RGB",,Alphacool,11774,4250197117746,,"TRX40, 1700, 2011-V3, 4189, 3647, 2066, AM4, SP3, sWRX8, sTRX4, TR4, AM5",0 mm,,0,0,0,3,0,False,
Antec K240,,Antec,0-761345-74016-6,0761345740166,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,
Antec A30 - 92mm,$29.07 USD,Antec,0-761345-10922-2,0761345109222,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",122.5 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B01HLAHDWE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Antec A40 PRO - 92mm,$39.42 USD,Antec,0-761345-10923-9,0761345109239,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",136 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B01HLAB80C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Antec A400 RGB Processor Kühler,$51.75 USD,Antec,0-761345-10921-5,0761345109215,,"AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07MWF1842?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Antec C40 - 92mm,$56.96 USD,Antec,0-761345-10929-1,0761345109291,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","136,5 mm",,0,0,0,0,0,True,https://www.amazon.ca/dp/B00EF3YN7E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Antec C400 - 120mm,$26.26 USD,Antec,0-761345-10920-8,0761345109208,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B01KMN6QMU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Antec Mercury 120,,Antec,0-761345-10983-3,0761345109833,,"1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",0 mm,,0,0,1,0,0,False,
Arctic Alpine 11 GT Rev. 2,,ARCTIC,Arctic Alpine 11 GT Rev. 2,0872767002838,,"775, 1155, 1156, 1150",75 mm,,0,0,0,0,0,False,
Arctic Alpine 11 passiv,$17.1 USD,ARCTIC,Arctic Alpine 11 passiv,0872767008250,,"1150, 1151, 1155, 1156",69 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Alpine-11-Passive-Pre-Applied/dp/B01ARGVZBE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01ARGVZBE
Arctic Alpine 12 - 92mm,$11.02 USD,Arctic,ACALP00027A,4895213701419,,"1150, 1151, 1155, 1156",77 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07HJ198TB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Alpine 12 CO - 92mm,$15.62 USD,Arctic,ACALP00031A,4895213701433,,"1150, 1151, 1155, 1156",79 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07HJ3DNX2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Alpine 12 LP Low-Profile - 92mm,$9.42 USD,Arctic,ACALP00029A,4895213701426,,"1150, 1151, 1155, 1156","42,5 mm",,0,0,0,0,0,False,https://www.amazon.ca/Arctic-ACALP00029A-Alpine-12-LP/dp/B07HJ3DWQ2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HJ3DWQ2
Arctic Alpine 12 passiver - black,$12.22 USD,Arctic,ACALP00024A,4895213701303,872767009264,"1150, 1151, 1155, 1156",69 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07CZZZ4DQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Alpine 17,,Arctic,ACALP00040A,4895213703895,,1700,77 mm,,0,0,0,0,0,False,
Arctic Alpine 17 CO,,Arctic,ACALP00041A,4895213703901,,1700,77 mm,,0,0,0,0,0,False,
Arctic Alpine 64 GT - 80mm,$10.15 USD,Arctic,UCACO-P1600-GBA01,0872767002265,,"754, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",65 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B001A5V1K2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Alpine 64 plus - 92mm,$17.08 USD,Arctic,UCACO-AP60301-BUA01,0872767004566,872767004566,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",70 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Cooler-AMD-Supports-Multiple-Sockets/dp/B007BVCBOE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007BVCBOE
Arctic Alpine 64 Pro Rev.2 - 92mm,,Arctic,UCACO-A64D2-GBA01,0872767002470,872767002470,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",84 mm,,0,0,0,0,0,False,
Arctic Alpine AM4 - 92mm,$11.99 USD,Arctic,ACALP00025A,4895213701457,,AM4,69 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07PHNT7JT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Arctic Alpine AM4 passiver , black",$15.95 USD,Arctic,ACALP00022A,4895213701259,872767009219,AM4,70 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07D11G3WR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Alpine M1 aktiv,$11.44 USD,ARCTIC,Arctic Alpine M1 aktiv,0872767007710,,AM1,41 mm,,0,0,0,0,0,False,https://www.amazon.ca/Arctic-Alpine-Whisper-Installation-Service/dp/B00UQS59RK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UQS59RK
Arctic Alpine M1 passiv,,ARCTIC,Arctic Alpine M1 passiv,0872767007727,,AM1,70 mm,,0,0,0,0,0,False,
ARCTIC COOLING ACALP11-PRO-R2 92mm Fluid Dynamic Alpine 11 Pro Rev. 2 for Intel,,ARCTIC COOLING,ACALP11-PRO-R2,872767002845,872767002845,"775 , 1155 , 1156 , 1150",79 mm,,0,0,0,0,0,False,
ARCTIC COOLING ACALP64 Pro 92mm,,ARCTIC COOLING,ACALP64 Pro,872767002470,872767002470,"AM3, AM2+, AM2, 939, 754",78 mm,,0,0,0,0,0,False,
ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,$10.15 USD,ARCTIC COOLING,ACALP64-GT,872767002265,,"FM2,FM1,AM3,AM2, 1150,2011,1366,1156,1155,775",64 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B001A5V1K2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel for Power Users,$21.75 USD,ARCTIC COOLING,ACFZ11-LP,872767002500,,"1150,1155,1156,775",53 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B0037AKXKM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ARCTIC COOLING ACFZ13 92mm High Performance for Intel and AMD,$31.86 USD,ARCTIC COOLING,ACFZ13,872767003781,872767003781,"754 , 939 , AM2 , AM2+ , AM3, 1150 , 775 , 1155 , 1156 , 1366",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B0048F64DU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Alpine M1 aktiv,$11.44 USD,ARCTIC,Arctic Alpine M1 aktiv,0872767007710,,AM1,41 mm,,0,0,0,0,0,False,https://www.amazon.ca/Arctic-Alpine-Whisper-Installation-Service/dp/B00UQS59RK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UQS59RK
ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,$27.44 USD,ARCTIC COOLING,Freezer 7 Pro Rev.2,872767002494,,"1150 , 1366 , 1156 , 1155 , 775, AM3 , AM2+ , AM2 , 939 , 754",127 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B002G392ZI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ARCTIC COOLING Freezer A32 120mm Fluid Dynamic with 120 mm Fan for AMD with New Fan Controller Made in Germany and PWM PST,,ARCTIC COOLING,Freezer A32,872767007703,,"FM2, FM1, AM3, AM2",150 mm,,0,0,0,0,0,False,
Arctic Freezer i32,,ARCTIC,Arctic Freezer i32,0872767007697,,"1150, 1151, 1155, 1156, 2011, 2011-V3",150 mm,,0,0,0,0,0,False,
Arctic Freezer i32 CO,,ARCTIC,Arctic Freezer i32 CO,0872767008007,,"1150, 1151, 1155, 1156, 2011, 2011-V3",150 mm,,0,0,0,0,0,False,
ARCTIC COOLING UCACO-FA11001-CSA01 92mm,,ARCTIC COOLING,UCACO-FA11001-CSA01,872767006829,,"AM2, AM2+, AM3, AM3+, FM1, FM2",130 mm,,0,0,0,0,0,False,
ARCTIC COOLING UCACO-FI11001-CSA01 92mm,$28.29 USD,ARCTIC COOLING,UCACO-FI11001-CSA01,872767006812,,"2011 , 1150 , 1155 , 1156",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/Freezer-i11-Capacity-Heatpipes-Vibration-Dampened/dp/B00HO9P05A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00HO9P05A
ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,$41.4 USD,ARCTIC COOLING,UCACO-P0900-CSB01,872767002432,872767002432,"1366 , 1156 , 1155 , 775, FM1 , AM3+ , AM3 , AM2+ , AM2 , 939 , 754",140 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B001X017G2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Freezer 11 LP - 92mm,$21.62 USD,Arctic,UCACO-P2000000-BL,4895213701242,,"1150, 1151, 1155, 1156, 775",53 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Support-Multiple-Sockets/dp/B0037AKXKM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0037AKXKM
Arctic Freezer 12 - 92mm,$26.07 USD,Arctic,ACFRE00027A,0872767008922,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B06WRPFFJN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Freezer 12 CO - 92mm,$29.37 USD,Arctic,ACFRE00030A,0872767008939,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B06VTGPL74?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Freezer 13 - 92mm,$31.41 USD,Arctic,UCACO-FZ130-BL,4895213701020,,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Cooler-Intel-Cooling-Capacity/dp/B0048F64DU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0048F64DU
Arctic Freezer 13 Continuous Operation - 92mm,$38.53 USD,Arctic,UCACO-FZ13100-BL,0872767004436,872767004436,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Cooler-Intel-Capacity-Operation/dp/B005IOLEJO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B005IOLEJO
"Arctic Freezer 33 eSports One , white - 120mm",,Arctic,ACFRE00043A,4895213700740,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",150 mm,,0,0,0,0,0,True,
"Arctic Freezer 33 TR , red - 120mm",$44.24 USD,Arctic,ACFRE00038A,4895213700221,,"2011, 2011-V3, 2066, AM4, TR4",155 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Threadripper-3-Phase-Motor-Regulation/dp/B075N67NQ5?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075N67NQ5
"Arctic Freezer 33 TR , white - 120mm",$47.06 USD,Arctic,ACFRE00039A,4895213700498,,"2011, 2011-V3, 2066, AM4, TR4",155 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Threadripper-3-Phase-Motor-Regulation/dp/B075MYVW5J?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075MYVW5J
Arctic Freezer 34 CO - 120mm,$26.83 USD,Arctic,ACFRE00051A,4895213701488,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",157 mm,,0,0,0,0,0,True,https://www.amazon.ca/ARCTIC-Freezer-34-Optimized-Technology/dp/B07LGSDQC2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07LGSDQC2
Arctic Freezer 34 eSports,,Arctic,ACFRE00073A,4895213702232,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,200 W,0,0,0,0,0,False,
"Arctic Freezer 34 eSports , 120mm - red",$43.52 USD,Arctic,ACFRE00056A,4895213701792,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07MQ9MQ5M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Arctic Freezer 34 eSports , 120mm - white",$60.48 USD,Arctic,ACFRE00057A,4895213701808,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07MC8BLC3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Freezer 50 ARGB - 120mm/140mm,,Arctic,ACFRE00065A,4895213702560,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4",166 mm,,0,0,0,0,0,False,
"Arctic Freezer 50 TR - ARGB, 120mm/140mm",,Arctic,ACFRE00055A,4895213702058,,"TR4, sTRX4","149,5 mm",,0,0,0,0,0,False,
Arctic Freezer 7 Pro PWM Rev.2 - 92mm,$27.44 USD,Arctic,DCACO-FP701-CSA01,0872767002494,,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","126,5 mm",,0,0,0,0,0,False,https://www.amazon.ca/dp/B002G392ZI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Freezer 7X - 92mm,,Arctic,ACFRE00077A,4895213702461,,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, FM2+, FM2, FM1",133 mm,,0,0,0,0,0,False,
Arctic Freezer A13X,,Arctic,ACFRE00083A,4895213702539,,AM4,137 mm,150 W,0,0,0,0,0,False,
Arctic Freezer A13X CO,,Arctic,ACFRE00084A,4895213702546,,AM4,137 mm,150 W,0,0,0,0,0,False,
Arctic Freezer A35 ARGB,,Arctic,ACFRE00115A,4895213703468,,"AM5, AM4","158,5 mm",,0,0,0,0,0,False,
Arctic Freezer i11 CO,,ARCTIC,Arctic Freezer i11 CO,0872767008236,,"1150, 1151, 1155, 1156, 2011, 2011-V3",130 mm,,0,0,0,0,0,False,
Arctic Freezer i13X,,Arctic,ACFRE00078A,4895213702478,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066",137 mm,150 W,0,0,0,0,0,False,
Arctic Freezer i13X CO,,Arctic,ACFRE00079A,4895213702553,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066",137 mm,150 W,0,0,0,0,0,False,
Arctic Freezer i32 CO,,ARCTIC,Arctic Freezer i32 CO,0872767008007,,"1150, 1151, 1155, 1156, 2011, 2011-V3",150 mm,,0,0,0,0,0,False,
Arctic Freezer i35 ARGB,,Arctic,ACFRE00104A,4895213703444,,"1700, 1200, 1150, 1151, 1155","158,5 mm",,0,0,0,0,0,False,
Arctic Freezer Xtreme Rev.2 - 120mm,$41.4 USD,Arctic,UCACO-P0900-CSB01,0872767002432,872767002432,"1150, 1151, 1155, 1156, 1366, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",145 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B001X017G2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Arctic Liquid Freezer Processor,,Arctic,ACFRE00016A,0872767008212,,"1150, 1151, 1155, 1156, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",0 mm,,0,0,2,0,0,False,
Arctic Liquid Freezer II ARGB Processor,,Arctic,ACFRE00109A,4895213703406,,"2066, 2011-V3, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,0,3,0,False,
Arctic Liquid Freezer II Processor,,Arctic,ACFRE00092A,4895213702812,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2066, AM3, AM4",0 mm,,0,0,0,3,0,False,
Arctic Liquid Freezer II Processor,$67.29 USD,Arctic,ACFRE00067A,4895213701969,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/ARCTIC-Liquid-Freezer-All-One/dp/B07WRCY747?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07WRCY747
ASUS ROG RYUJIN 360,,ASUS,90RC0020-M0UAY0,4718017058193,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",0 mm,,0,0,3,0,0,False,
ASUS ROG Ryujin II 240 - black,,ASUS,90RC00A0-M0UAY0,4711081134732,,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,2,0,0,False,
"ASUS ROG Ryujin II 240 ARGB , black",,ASUS,90RC00A1-M0UAY2,4711081885610,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, TR4",0 mm,,0,0,2,0,0,False,
ASUS ROG Ryujin II 240 ARGB - black,,ASUS,90RC00A1-M0UAY0,4711081743811,,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, SP3, sWRX8, TR4",0 mm,,0,0,2,0,0,False,
ASUS ROG Ryujin II 360 - black,,ASUS,90RC00B0-M0UAY0,4711081135128,,"1152, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, SP3, sWRX8, TR4",0 mm,,0,0,3,0,0,False,
ASUS ROG RYUJIN II 360 - black,,ASUS,90RC00B0-M0UAY2,4711081885481,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, TR4",0 mm,,0,0,3,0,0,False,
ASUS ROG Ryujin II 360 ARGB - black,,ASUS,90RC00B1-M0UAY0,4711081744665,,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,3,0,0,False,
ASUS ROG RYUJIN II 360 ARGB - black,,ASUS,90RC00B1-M0UAY2,4711081885511,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, TR4",0 mm,,0,0,3,0,0,False,
ASUS ROG RYUO 120,,ASUS,90RC0010-M0UAY0,4718017039574,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4",0 mm,,0,0,1,0,0,False,
ASUS ROG RYUO 240,,ASUS,90RC0040-M0UAY0,4718017039635,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,
"ASUS ROG Ryuo III 240 ARGB - 240 mm, black",,ASUS,90RC00J1-M0UAY0,4711081927617,,"1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,2,0,0,False,
"ASUS ROG Ryuo III 240 ARGB - 240 mm, white",,ASUS,90RC00J2-M0UAY0,4711081943099,,"1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,2,0,0,False,
"ASUS ROG Ryuo III 360 ARGB - 360 mm, black",,ASUS,90RC00I1-M0UAY0,4711081927945,,"1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,3,0,0,False,
"ASUS ROG Ryuo III 360 ARGB - 360 mm, white",,ASUS,90RC00I2-M0UAY0,4711081943273,,"1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,3,0,0,False,
ASUS ROG Strix LC 120,,ASUS,90RC0050-M0UAY0,4718017175166,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",0 mm,,0,0,1,0,0,False,
ASUS ROG Strix LC 120 RGB,,ASUS,90RC0051-M0UAY0,4718017403177,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",0 mm,,0,0,1,0,0,False,
ASUS ROG Strix LC 240,,ASUS,90RC0060-M0UAY0,4718017175371,192876175378,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,
ASUS ROG Strix LC 240 RGB,,ASUS,90RC0061-M0UAY0,4718017403115,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,
ASUS ROG Strix LC 360,,ASUS,90RC0070-M0UAY0,4718017383998,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",0 mm,,0,0,3,0,0,False,
ASUS ROG Strix LC 360 RGB,,ASUS,90RC0071-M0UAY0,4718017399135,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",0 mm,,0,0,3,0,0,False,
ASUS ROG Strix LC II 120 ARGB,,ASUS,90RC00D1-M0UAY0,4711081145783,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,1,0,0,False,
ASUS ROG Strix LC II 240,,ASUS,90RC00E0-M0UAY0,4711081145868,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,2,0,0,False,
ASUS ROG Strix LC II 240 ARGB,,ASUS,90RC00E1-M0UAY0,4711081145905,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,2,0,0,False,
ASUS ROG Strix LC II 240 ARGB White Edition,,ASUS,90RC00E2-M0UAY0,4711081544357,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,2,0,0,False,
ASUS ROG Strix LC II 280 ARGB,,ASUS,90RC00C1-M0UAY0,4711081036746,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,0,2,0,False,
ASUS ROG Strix LC II 360,,ASUS,90RC00F0-M0UAY0,4711081145332,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,3,0,0,False,
ASUS ROG Strix LC II 360,,ASUS,90RC00F0-M0UAY4,4711081886419,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, TR4",0 mm,,0,0,3,0,0,False,
ASUS ROG Strix LC II 360 ARGB,,ASUS,90RC00F1-M0UAY0,4711081145295,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",0 mm,,0,0,3,0,0,False,
"ASUS ROG STRIX LC II 360 ARGB , white",,ASUS,90RC00F2-M0UAY2,4711081886808,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, TR4",0 mm,,0,0,3,0,0,False,
ASUS ROG Strix LC II 360 ARGB White Edition,,ASUS,90RC00F2-M0UAY0,4711081544586,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156",0 mm,,0,0,3,0,0,False,
ASUS TUF Gaming LC 120 ARGB,,ASUS,90RC00H1-M0UAY0,4711081233077,,"1700, 1200, 1150, 1151, 1155, 1156, AM4",0 mm,,0,0,1,0,0,False,
ASUS TUF Gaming LC 240 ARGB,,ASUS,90RC00G1-M0UAY0,4711081233121,195553233125,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4",0 mm,,0,0,2,0,0,False,
ASUS TUF Gaming LC 240 ARGB,,ASUS,90RC00G1-M0UAY1,4711081884057,,"1154, 2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,2,0,0,False,
ASUS TUF Gaming LC 240 RGB,,ASUS,90RC0091-M0UAY0,4718017740494,,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4",0 mm,,0,0,2,0,0,False,
be quiet! Dark Rock 3,$76.37 USD,be quiet!,BK018,4260052183618,4260052183618,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,,0,0,0,0,0,True,https://www.amazon.ca/quiet-BK018-Dark-Cooler-LGA775/dp/B00HPX7IKU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00HPX7IKU
