Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Product Page
ASRock Fatal1ty Z170 Gaming K6+,,ASRock,Z170 GAMING K6+,4717677326932,,1151,Z170,True,ATX,DDR4,64 GB,4,8,0,1,1,1,False,False,
ASRock Fatal1ty Z270 Gaming K4,$148.26 USD,ASRock,90-MXB3Z0-A0UAYZ,4717677332674,,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z270-Gaming/dp/B01MT5WRBJ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MT5WRBJ
ASRock Fatal1ty Z270 Gaming K6,,ASRock,90-MXB3M0-A0UAYZ,4717677332384,,1151,Z270,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,
ASRock Fatal1ty Z270 Gaming-ITX/ac,,ASRock,90-MXB3U0-A0UAYZ,4717677332773,,1151,Z270,True,Mini-ITX,DDR4,32 GB,2,6,0,0,0,0,False,False,
"ASRock Fatal1ty Z270 Professional Gaming i7, Intel Z270",,ASRock,90-MXB430-A0UAYZ,4717677332827,,1151,Z270,True,ATX,DDR4,64 GB,4,10,0,0,0,0,False,False,
ASRock Fatal1ty Z370 Gaming ITX/ac,$165.49 USD,ASRock,90-MXB670-A0UAYZ,4717677334364,,1151,Z370,True,Mini-ITX,DDR4,32 GB,2,6,0,0,1,1,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-Gaming-ITX/dp/B0763971VK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0763971VK
ASRock Fatal1ty Z370 Gaming K6,$225.94 USD,ASRock,90-MXB5V0-A0UAYZ,4717677334210,,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-K6/dp/B07638HG43?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07638HG43
ASRock Fatal1ty Z370 Professional Gaming i7,,ASRock,90-MXB680-A0UAYZ,4717677334333,,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,
ASRock Fatal1ty Z97X Killer,,ASRock,Z97X Killer,4717677323498,,1150,Z97,True,ATX,DDR3, GB,4,6,,,,,False,False,
ASRock Fatal1ty Z97X Killer/3.1,,ASRock,Z97X KILLER/3.1,4717677325973,,1150,Z97,True,ATX,DDR3,32 GB,4,6,1,1,0,1,False,False,
ASRock FM2A58+ BTC,,ASRock,FM2A58+ BTC,4717677323184,,FM2+,A58,False,ATX,DDR3, GB,4,,,,,,False,False,
ASRock FM2A88X Extreme4+,,ASRock,FM2A88X Extreme4+,4717677321913,4717677321913,FM2+,A88X,False,ATX,DDR3, GB,4,7,1,1,0,1,False,False,
ASRock FM2A88X Extreme6+,,ASRock,FM2A88X Extreme6+,4717677321814,4717677321814,FM2+,A88X,False,ATX,DDR3, GB,4,7,1,1,1,1,False,False,
ASRock FM2A88X+ BTC Bitcoin GL/SATA600/USB3.0/DVI/VGA,,ASRock,FM2A88X+BTC,4717677323177,,FM2+,A88X,False,ATX,DDR3, GB,4,,,,,,False,False,
ASRock G41M-VS3 R2.0 IDE(PATA)/SATA/USB2.0/VGA G41 GMA X4500,,ASRock,90-MXGI40-A0UAYZ,4711140876979,,775,G41 Express,False,Micro-ATX,DDR3, GB,2,,,,,,False,False,
ASRock H110 PRO BTC+,$106.35 USD,ASRock,90-MXB5S0-A0UAYZ,4717677333763,,1151,H110,False,ATX,DDR4,32 GB,2,4,0,0,0,0,False,False,https://www.amazon.ca/ASRock-H110-Mining-Motherboard-Cryptocurrency/dp/B073BX57M1?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073BX57M1
ASRock H110M-STX,,ASRock,90-BXG2T0-A0UAYP,4717677331745,,1151,H110,False,Mini-STX,SO - DIMM,32 GB,2,2,0,0,0,0,False,False,
ASRock H170 PRO4,,ASRock,H170 PRO4,4717677327021,,1151,H170,False,ATX,DDR4,64 GB,4,6,0,1,0,1,False,False,
ASRock H170M PRO4,,ASRock,H170M PRO4,4717677327106,,1151,H170,False,Micro-ATX,DDR4, GB,4,6,,,,,False,False,
ASRock H170M-ITX/AC,,ASRock,H170M-ITX/AC,4717677327489,,1151,H170,False,Mini-ITX,DDR4,32 GB,2,4,0,1,0,1,True,False,
ASRock H270 Pro 4,,ASRock,90-MXB3R0-A0UAYZ,4717677332438,,1151,H270,False,ATX,DDR4,64 GB,4,6,0,0,0,1,False,False,
ASRock H270M Pro4,$98.85 USD,ASRock,90-MXB3D0-A0UAYZ,4717677332483,,1151,H270,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,1,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-H270M-PRO4/dp/B01MQQEWR7?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MQQEWR7
ASRock H270M-ITX/ac,,ASRock,90-MXB3L0-A0UAYZ,4717677332322,,1151,H270,False,Mini-ITX,DDR4,32 GB,2,6,0,0,0,0,False,False,
ASRock H310M-DGS,,ASRock,90-MXB700-A0UAYZ,4717677335224,,1151,H310,False,Micro-ATX,DDR4,32 GB,2,4,0,0,0,0,False,False,
ASRock H310M-HDV/M.2,,ASRock,90-MXB720-A0UAYZ,4717677335170,,1151,H310,False,Micro-ATX,DDR4,32 GB,2,4,0,0,0,0,False,False,
ASRock H310M-ITX/AC,$135.65 USD,ASRock,90-MXB7A0-A0UAYZ,4717677335194,,1151,H310,False,Mini-ITX,DDR4,32 GB,2,4,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Motherboard-H310M-ITX-802-11ac-Retail/dp/B07BMQZWV2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMQZWV2
ASRock H370 Performance Fatal1ty,,ASRock,90-MXB6X0-A0UAYZ,4717677335101,,1151,H370,False,ATX,DDR4,64 GB,4,6,0,0,1,1,False,False,
ASRock H370 Pro4,,ASRock,90-MXB6U0-A0UAYZ,4717677335095,,1151,H370,False,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
ASRock H370M Pro4,$97.77 USD,ASRock,90-MXB750-A0UAYZ,4717677335118,,1151,H370,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,1,False,False,https://www.amazon.ca/dp/B07BMVTZDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock H370M-ITX/AC,$124.36 USD,ASRock,90-MXB6R0-A0UAYZ,4717677335125,,1151,H370,False,Mini-ITX,DDR4,32 GB,2,6,0,0,1,2,False,False,https://www.amazon.ca/dp/B07BMV3X6N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock H410M-HDV,$66.92 USD,ASRock,90-MXBD60-A0UAYZ,4710483931246,,1200,H410,False,Micro-ATX,DDR4,64 GB,2,4,0,0,0,0,False,False,https://www.amazon.ca/dp/B0895L5MGN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock H410M-HDV/M.2,,ASRock,90-MXBD70-A0UAYZ,4710483931314,,1200,H410,False,Micro-ATX,DDR4,64 GB,2,4,0,0,0,0,False,False,
ASRock H410M-HVS,,ASRock,90-MXBDC0-A0UAYZ,4710483931260,,1200,H410,False,Micro-ATX,DDR4,64 GB,2,4,0,0,0,0,False,False,
ASRock H410M-ITX/ac,,ASRock,90-MXBCT0-A0UAYZ,4710483931338,,1200,H410,False,Mini-ITX,DDR4,64 GB,2,4,0,0,0,0,False,False,
ASRock H470 Phantom Gaming 4,,ASRock,90-MXBD80-A0UAYZ,4710483931253,,1200,H470,False,ATX,DDR4,128 GB,4,6,0,0,1,1,False,False,
ASRock H470 Steel Legend,,ASRock,90-MXBCK0-A0UAYZ,4710483931277,,1200,H470,False,ATX,DDR4,128 GB,4,6,0,0,1,1,False,False,
ASRock H470M Pro4,,ASRock,90-MXBCF0-A0UAYZ,4710483931208,,1200,H470,False,Micro-ATX,DDR4,128 GB,4,6,0,0,0,0,False,False,
ASRock H470M-ITX/ac,,ASRock,90-MXBCL0-A0UAYZ,4710483931154,,1200,H470,False,Mini-ITX,DDR4,64 GB,2,4,0,0,0,0,False,False,
ASRock H510M-HDV,,ASRock,90-MXBG20-A0UAYZ,4710483934223,,1200,H510,False,Micro-ATX,DDR4,64 GB,2,4,1,1,0,1,False,False,
ASRock H510M-HDV/M.2,,ASRock,90-MXBFT0-A0UAYZ,4710483934247,,1200,H510,False,Micro-ATX,DDR4,64 GB,2,4,1,1,0,1,False,False,
ASRock H510M-HVS,,ASRock,90-MXBG30-A0UAYZ,4710483934230,,1200,H510,False,Micro-ATX,DDR4,64 GB,2,4,1,0,0,1,False,False,
ASRock H510M-ITX/ac,,ASRock,90-MXBF30-A0UAYZ,4710483933929,,1200,H510,False,Mini-ITX,DDR4,64 GB,2,4,0,0,1,1,True,False,
ASRock H570 Phantom Gaming 4,$76.16 USD,ASRock,90-MXBFX0-A0UAYZ,4710483934056,,1200,H570,False,ATX,DDR4,128 GB,4,6,0,0,1,1,True,False,https://www.amazon.ca/dp/B09JM6QYG1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock H570 Steel Legend,,ASRock,90-MXBFY0-A0UAYZ,4710483934100,,1200,H570,False,ATX,DDR4,128 GB,4,6,0,0,1,1,True,False,
ASRock H570M Pro4,,ASRock,90-MXBFR0-A0UAYZ,4710483933905,,1200,H570,False,Micro-ATX,DDR4,64 GB,2,4,0,0,1,1,True,False,
ASRock H570M-ITX/ac,,ASRock,90-MXBEU0-A0UAYZ,4710483933875,,1200,H570,False,Micro-ATX,DDR4,64 GB,2,4,0,0,1,1,True,False,
ASRock H81 PRO BTC R2.0,$81.04 USD,ASRock,90-MXGUP0-A0UAYZ,4717677323368,,1150,H81,False,ATX,DDR3,16 GB,2,2,0,0,0,0,False,False,https://www.amazon.ca/ASRock-H81-PRO-BTC-R2-0/dp/B01M5FQZYE?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M5FQZYE
ASRock H81M-ITX,,ASRock,90-MXGPN0-A0UAYZ,4717677321593,,1150,H81,False,Mini-ITX,DDR3,16 GB,2,2,0,0,0,0,False,False,
ASRock H97 Pro4,,ASRock,H97 Pro4,4717677323580,,1150,H97,False,ATX,DDR3, GB,4,6,,,,,False,False,
ASRock H97M Pro4 GL/SATA600/DVI/HDMI/VGA,,ASRock,H97M PRO4,4717677323542,4717677323542,1150,H97,False,Micro-ATX,DDR3, GB,4,,,,,,False,False,
ASRock TRX40 Creator,,ASRock,90-MXBB70-A0UAYZ,4717677339901,,TRX40,TRX40,False,ATX,DDR4,256 GB,8,8,0,0,0,0,False,False,
ASRock TRX40 Taichi,,ASRock,90-MXBBK0-A0UAYZ,4717677339918,,TRX40,TRX40,False,ATX,DDR4,256 GB,8,8,0,0,0,0,False,False,
ASRock WRX80 Creator R2.0,,ASRock,90-MXBKH0-A0UAYZ,4710483941368,,1700,B660,False,E-ATX,DDR4,2048 GB,8,8,0,0,2,0,True,False,
ASRock X299 Gaming i9,$390.21 USD,ASRock,90-MXB5B0-A0UAYZ,4717677333541,,2066,X299,True,ATX,DDR4,128 GB,8,10,0,0,0,0,False,False,https://www.amazon.ca/ASRock-X299-Professional-I9-Motherboard/dp/B073BFNH8Z?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073BFNH8Z
ASRock X299 Killer SLI/ac,,ASRock,90-MXB5F0-A0UAYZ,4717677333572,,2066,X299,True,ATX,DDR4,128 GB,8,8,0,0,0,0,False,False,
ASRock X299 OC Formula,,ASRock,90-MXB5T0-A0UAYZ,4717677334197,,2066,X299,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,
ASRock X299 Taichi,$310.87 USD,ASRock,90-MXB5C0-A0UAYZ,4717677333558,,2066,X299,True,ATX,DDR4,128 GB,8,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-X299-Max-128GB-Express-Motherboard/dp/B072ZTTWFJ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B072ZTTWFJ
ASRock X299 Taichi XE,$338.9 USD,ASRock,90-MXB6J0-A0UAYZ,4717677334449,,2066,X299,True,ATX,DDR4,128 GB,8,10,0,0,0,0,False,False,https://www.amazon.ca/ASRock-X299-XE-CrossFireX-Motherboard/dp/B0766RQ2KG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0766RQ2KG
ASRock X299E-ITX/AC,$405.24 USD,ASRock,90-MXB5W0-A0UAYZ,4717677334203,,2066,X299,True,Mini-ITX,"DDR4, SO - DIMM",64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-X299E-ITX-AC-X299-DDR4/dp/B075KJJ93M?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075KJJ93M
ASRock X370 Gaming K4,,ASRock,X370 Gaming K4,4717677333138,04717677333138,AM4,X370,True,ATX,DDR4,64 GB,4,6,0,0,0,1,False,False,
ASRock X370 Killer SLI,,ASRock,90-MXB560-A0UAYZ,4717677333145,,AM4,X370,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
"ASRock X370 Professional Gaming, AMD X370",$210.45 USD,ASRock,90-MXB4L0-A0UAYZ,4717677333114,,AM4,X370,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/dp/B06X9MP4ML?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASRock X370 Taichi, AMD X370",$163.45 USD,ASRock,90-MXB500-A0UAYZ,4717677333121,,AM4,X370,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/dp/B06WXX9FDG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASRock X470 Fatal1ty Gaming K4, AMD X470",$165.23 USD,ASRock,90-MXB7E0-A0UAYZ,4717677335217,,AM4,X470,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/dp/B07C1Z3FW9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock X470 Master SLI,,ASRock,90-MXB7F0-A0UAYZ,4717677335613,,AM4,X470,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
"ASRock X470 Taichi Ultimate, AMD X470",$304.65 USD,ASRock,90-MXB7H0-A0UAYZ,4717677335484,,AM4,X470,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/dp/B07C1Z3VPR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASRock X470 Taichi, AMD X470",$213.3 USD,ASRock,90-MXB7J0-A0UAYZ,4717677335200,,AM4,X470,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/dp/B07C1Z4RMT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASRock X570 Aqua, AMD X570",,ASRock,90-MXBAZ0-A0UAYZ,4717677339338,,AM4,X570,True,E-ATX,DDR4,128 GB,4,6,0,0,0,0,False,False,
"ASRock X570 Extreme4, AMD X570",$213.88 USD,ASRock,90-MXBAP0-A0UAYZ,4717677338911,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0,0,1,False,False,https://www.amazon.ca/dp/B07TK31ZY7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock X570 PG Velocita,,ASRock,90-MXBER0-A0UAYZ,4710483933073,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0,1,1,True,False,
"ASRock X570 Phantom Gaming 4, AMD X570",$148.69 USD,ASRock,90-MXBAU0-A0UAYZ,4717677338881,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0,1,1,False,False,https://www.amazon.ca/dp/B07TGHV63W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASRock X570 Phantom Gaming X, AMD X570",,ASRock,90-MXBAN0-A0UAYZ,4717677338850,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0,0,1,False,False,
"ASRock X570 Phantom Gaming-ITX/TB3, AMD X570",$254.77 USD,ASRock,90-MXBB10-A0UAYZ,4717677339147,,AM4,X570,True,Mini-ITX,DDR4,64 GB,2,4,0,0,0,0,False,False,https://www.amazon.ca/dp/B07VXYYG7F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASRock X570 Pro4, AMD X570",$176.59 USD,ASRock,90-MXBAT0-A0UAYZ,4717677338874,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0,0,1,False,False,https://www.amazon.ca/dp/B07THYPNC1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASRock X570 Steel Legend, AMD X570",$169.72 USD,ASRock,90-MXBAR0-A0UAYZ,4717677338904,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0,0,1,False,False,https://www.amazon.ca/dp/B07WHHWBX5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock X570 Taichi Razer Edition,,ASRock,90-MXBEY0-A0UAYZ,4710483933066,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0,0,1,True,False,
"ASRock X570M Pro4, AMD X570",$190.43 USD,ASRock,90-MXBAS0-A0UAYZ,4717677338812,,AM4,X570,True,Micro-ATX,DDR4,128 GB,4,8,0,0,0,1,False,False,https://www.amazon.ca/dp/B07TD8ZT5T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock X570S PG Riptide,,ASRock,90-MXBHX0-A0UAYZ,4710483935336,,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0,0,1,False,False,
ASRock X670E PG Lightning,,ASRock,90-MXBJ60-A0UAYZ,4710483940347,,AM5,X670E,False,ATX,DDR5,128 GB,4,4,0,0,1,1,False,False,
ASRock X670E Pro RS,,ASRock,90-MXBJ70-A0UAYZ,4710483940330,,AM5,X670E,False,ATX,DDR5,128 GB,4,6,0,0,1,1,True,False,
ASRock X670E Steel Legend,,ASRock,90-MXBJ40-A0UAYZ,4710483940323,,AM5,X670E,False,ATX,DDR5,128 GB,4,4,0,0,1,1,True,False,
ASRock X670E Taichi,,ASRock,90-MXBJ00-A0UAYZ,4710483940132,,AM5,X670E,False,E-ATX,DDR5,128 GB,4,4,0,0,0,1,True,False,
ASRock X670E Taichi Carrara,,ASRock,90-MXBJ10-A0UAYZ,4710483940170,,AM5,X670E,False,E-ATX,DDR5,128 GB,4,4,0,0,0,1,True,False,
ASRock X99 Extreme4,,ASRock,90-MXGVL0-A0UAYZ,4717677324396,,2011-V3,X99,False,ATX,DDR4,128 GB,8,10,0,0,0,0,False,False,
ASRock X99 Extreme4/3.1 Intel X99,,ASRock,X99 EXTREME4/3.1,4717677325928,,2011-V3,X99,False,ATX,DDR4, GB,8,,,,,,False,False,
ASRock X99 Extreme6,,ASRock,X99 EXTREME6,4717677324495,,2011-V3,X99,False,ATX,DDR4, GB,8,10,,,,,False,False,
ASRock X99 OC Formula,,ASRock,90-MXGVX0-A0UAYZ,4717677324853,,2011-V3,X99,False,E-ATX,DDR4,128 GB,8,10,0,0,0,0,False,False,
ASRock X99M Extreme4,,ASRock,90-MXGW10-A0UAYZ,4717677324464,,2011-V3,X99,False,Micro-ATX,DDR4,64 GB,4,10,0,0,0,0,False,False,
ASRock X99M Killer,,ASRock,X99M Killer,4717677324440,,2011-V3,X99,False,Micro-ATX,DDR4,64 GB,4,10,0,0,0,0,False,False,
ASRock X99X Killer,,ASRock,X99X Killer,4717677324518,,2011-V3,X99,False,ATX,DDR4,128 GB,8,10,0,0,0,0,False,False,
ASRock Z170 Extreme4,,ASRock,Z170 Extreme4,4717677326963,,1151,Z170,True,ATX,DDR4, GB,4,,,,,,False,False,
ASRock Z170 Extreme6,,ASRock,90-MXGXQ0-A0UAYZ,4717677326697,,1151,Z170,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,
ASRock Z170 Extreme6+,,ASRock,90-MXB030-A0UAYZ,4717677326949,,1151,Z170,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,
ASRock Z170 Extreme7+,$225.19 USD,ASRock,Z170 Extreme7+,4717677326888,4717677326888,1151,Z170,True,ATX,DDR4,64 GB,4,10,0,1,1,1,False,False,https://www.amazon.ca/ASRock-DDR4-Motherboards-Z170-EXTREME7/dp/B012D7GV78?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B012D7GV78
ASRock Z170 Gaming K6,,ASRock,90-MXGYQ0-A0UAYZ,4717677326680,,1151,Z170,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,
ASRock Z170 Gaming-ITX/ac,,ASRock,90-MXGYN0-A0UAYZ,4717677327359,,1151,Z170,True,Mini-ITX,DDR4,32 GB,2,6,0,0,0,0,True,False,
ASRock Z170 OC Formula USB3.1/DP/HDMI/M.2/SATAe,,ASRock,90-MXGR80-A0UAYZ,4717677327328,,1151,Z170,True,ATX,DDR4, GB,4,,,,,,False,False,
ASRock Z170 Pro4/D3 USB3.0/SATA600/DVI/HDMI/M.2/SATAe,,ASRock,90-MXB0A0-A0UAYZ,4717677327311,,1151,Z170,True,ATX,DDR3, GB,4,,,,,,False,False,
ASRock Z170A-X1,,ASRock,Z170A-X1,4717677329131,,1151,Z170,True,ATX,DDR4, GB,4,,,,,,False,False,
ASRock Z170M Pro4S USB3.0/SATA600/DVI/HDMI/M.2,,ASRock,90-MXB060-A0UAYZ,4717677327076,,1151,Z170,True,Micro-ATX,DDR4, GB,4,,,,,,False,False,
ASRock Z170M-ITX/AC,,ASRock,Z170M-ITX/AC,4717677327342,4717677327342,1151,Z170,True,Mini-ITX,DDR4, GB,2,,,,,,False,False,
ASRock Z270 Extreme4,$256.04 USD,ASRock,90-MXB3N0-A0UAYZ,4717677332391,,1151,Z270,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Z270-EXTREME4-CrossFireX-Motherboard/dp/B01NBEX0EK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NBEX0EK
"ASRock Z270 SuperCarrier, Intel Z270",,ASRock,90-MXB440-A0UAYZ,4717677332810,,1151,Z270,True,ATX,DDR4,64 GB,4,10,0,0,0,0,False,False,
ASRock Z270 Taichi,$167.47 USD,ASRock,90-MXB4P0-A0UAYZ,4717677332766,,1151,Z270,True,ATX,DDR4,64 GB,4,10,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Z270-Taichi-CrossFireX-Motherboard/dp/B01MU7LLGW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MU7LLGW
ASRock Z270M Extreme4,,ASRock,90-MXB3X0-A0UAYZ,4717677332506,,1151,Z270,True,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
ASRock Z370 Extreme4,$176.98 USD,ASRock,90-MXB5U0-A0UAYZ,4717677334227,,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-EXTREME4/dp/B0763BS899?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0763BS899
ASRock Z370 Killer SLI,,ASRock,90-MXB630-A0UAYZ,4717677334241,,1151,Z370,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
ASRock Z370 Taichi,$210.86 USD,ASRock,90-MXB5Y0-A0UAYZ,4717677334340,,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Intel-Z370-Motherboard-Taichi/dp/B07638ZKSD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07638ZKSD
ASRock Z370M ITX/ac,$154.82 USD,ASRock,90-MXB620-A0UAYZ,4717677334371,,1151,Z370,True,Mini-ITX,DDR4,32 GB,2,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370M-ITX-AC/dp/B07638L88W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07638L88W
ASRock Z390 M Pro 4,$122.27 USD,ASRock,90-MXB740-A0UAYZ,4717677336801,,1151,Z390,False,Micro-ATX,DDR4, GB,4,4,0,0,0,1,False,False,https://www.amazon.ca/dp/B07HYR7CKR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z390 Phantom Gaming 4,$148.75 USD,ASRock,90-MXB8X0-A0UAYZ,4717677336924,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0,0,1,False,False,https://www.amazon.ca/dp/B07HYNG99P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z390 Phantom Gaming-ITX/AC,$208.47 USD,ASRock,90-MXB8L0-A0UAYZ,4717677336832,,1151,Z390,False,Mini-ITX,DDR4, GB,2,4,0,0,1,1,False,False,https://www.amazon.ca/dp/B07HYNL939?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z390 Pro 4,$116.05 USD,ASRock,90-MXB6T0-A0UAYZ,4717677336733,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0,0,1,False,False,https://www.amazon.ca/dp/B07HYFYGVZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z390 Taichi Ultimate,$300.36 USD,ASRock,90-MXB8G0-A0UAYZ,4717677336757,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0,0,1,False,False,https://www.amazon.ca/dp/B07HYBV9TV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z390M-ITX/AC,$135.62 USD,ASRock,90-MXB6Q0-A0UAYZ,4717677336795,,1151,Z390,False,Mini-ITX,DDR4, GB,2,4,0,0,1,2,False,False,https://www.amazon.ca/dp/B07HYPSLLS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z490 Aqua,,ASRock,90-MXBBW0-A0UAYZ,4710483931178,,1200,Z490,True,E-ATX,DDR4,128 GB,4,8,0,0,0,1,True,False,
ASRock Z490 Extreme4,,ASRock,90-MXBC20-A0UAYZ,4710483931048,,1200,Z490,True,ATX,DDR4,128 GB,4,6,0,0,0,0,False,False,
ASRock Z490 PG Velocita,,ASRock,90-MXBBT0-A0UAYZ,4710483931123,,1200,Z490,True,ATX,DDR4,128 GB,4,8,0,0,1,1,False,False,
ASRock Z490 Phantom Gaming 4,,ASRock,90-MXBC60-A0UAYZ,4710483930737,,1200,Z490,True,ATX,DDR4,128 GB,4,6,0,0,0,0,False,False,
