Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Product Page
Carbide Series Air 540 High Airflow ATX Cube,$145.07 USD,Corsair,CC-9011030-WW,0034893356784,809394262755,332 mm,458 mm,415 mm,E-ATX,ATX,320 mm,170 mm,0/0,0/3,3/2,0/0,,,,,,4,0,2,,,False,False,False,False,https://www.amazon.ca/dp/B00D6GINF4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Carbide Series Clear 400C Compact Mid-Tower,$101.91 USD,Corsair,CC-9011081-WW,0843591068529,843591068529,215 mm,464 mm,425 mm,E-ATX,ATX,370 mm,170 mm,0/0,1/4,1/2,0/0,,,,,,3,2,0,,black,False,False,False,False,https://www.amazon.ca/Corsair-CC-9011095-WW-Carbide-Compact-Mid-Tower/dp/B01F97W9ZM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F97W9ZM
Carbide Series Clear 400C Compact Mid-Tower — White,$124.31 USD,Corsair,CC-9011095-WW,0843591085557,843591085557,215 mm,464 mm,425 mm,E-ATX,ATX,370 mm,170 mm,0/0,1/4,1/2,0/0,,,,,,3,2,0,,white,False,False,False,False,https://www.amazon.ca/dp/B01F97W9ZM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Carbide Series Clear 600C Inverse ATX Full-Tower,$140.72 USD,Corsair,CC-9011079-WW,0734911503090,734911503090,260 mm,535 mm,454 mm,ATX,ATX,370 mm,200 mm,0/0,0/3,3/2,0/0,,,,,,3,2,0,,,False,False,False,False,https://www.amazon.ca/Corsair-Memory-CC-9011079-WW-Carbide-Inverse/dp/B016IAM7D8?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016IAM7D8
Carbide Series Quiet 400Q Compact Mid-Tower,$78.16 USD,Corsair,CC-9011100-WW,0843591092883,843591092883,215 mm,464 mm,425 mm,E-ATX,ATX,370 mm,170 mm,0/0,1/4,1/2,0/0,,,,,,3,2,0,,,False,False,False,True,https://www.amazon.ca/dp/B01LE111X8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Carbide Series Quiet 600Q Inverse ATX Full-Tower,$140.72 USD,Corsair,CC-9011080-WW,0843591068505,843591068505,260 mm,535 mm,454 mm,ATX,ATX,370 mm,200 mm,0/0,0/3,3/2,0/0,,,,,,3,2,0,,,False,False,False,True,https://www.amazon.ca/dp/B016IAM7AQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Carbide Series SPEC-01 Red LED Mid-Tower Gaming,$64.63 USD,Corsair,CC-9011050-WW,0801940115928,808112930457,200 mm,428 mm,447 mm,ATX,ATX,414 mm,150 mm,0/0,1/3,0/0,0/0,,,,,,0,0,4,,black,False,False,False,False,https://www.amazon.ca/dp/B00I6BJATW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Carbide Series SPEC-03 Red LED Mid-Tower Gaming,,Corsair,CC-9011052-WW,5054533601413,843591047265,215 mm,426 mm,493 mm,ATX,ATX,420 mm,157 mm,0/0,2/4,0/0,0/0,,,,,,2,3,0,,black,False,False,False,False,
Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Red,$98.08 USD,Corsair,CC-9011085-WW,7841449279632,843591068604,220 mm,474 mm,518 mm,ATX,ATX,380 mm,156 mm,0/0,3/5,0/0,0/0,,,,,,4,3,0,,black/red,False,False,False,False,https://www.amazon.ca/dp/B017XPPH9I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Silver,$110.69 USD,Corsair,CC-9011084-WW,0843591068581,843591068581,220 mm,474 mm,518 mm,ATX,ATX,380 mm,156 mm,0/0,3/5,0/0,0/0,,,,,,4,3,0,,black/silver,False,False,False,False,https://www.amazon.ca/dp/B017XPPB1M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Yellow,$61.65 USD,Corsair,CC-9011094-WW,0843591084871,843591084871,220 mm,474 mm,518 mm,ATX,ATX,380 mm,156 mm,0/0,3/5,0/0,0/0,,,,,,4,3,0,,black/yellow,False,False,False,False,https://www.amazon.ca/CORSAIR-CARBIDE-SPEC-ALPHA-Mid-Tower-Gaming/dp/B01HUFNX4M?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HUFNX4M
Carbide Series SPEC-ALPHA Mid-Tower Gaming — White/Red,$169.09 USD,Corsair,CC-9011083-WW,0843591068567,843591068567,220 mm,474 mm,518 mm,ATX,ATX,380 mm,156 mm,0/0,3/5,0/0,0/0,,,,,,4,3,0,,white/red,False,False,False,False,https://www.amazon.ca/dp/B017XPPHGG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black,$94.29 USD,Corsair,CC-9011121-WW,0843591062176,843591062176,232 mm,516 mm,495 mm,ATX,ATX,370 mm,170 mm,0/0,2/6,0/4,0/0,,,,,,2,3,0,,black,False,False,False,False,https://www.amazon.ca/CORSAIR-Carbide-SPEC-Omega-Mid-Tower-Tempered/dp/B077GCKBV3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077GCKBV3
Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black/Red,$79.78 USD,Corsair,CC-9011120-WW,0843591062152,843591062152,232 mm,516 mm,495 mm,ATX,ATX,370 mm,170 mm,0/0,2/6,0/4,0/0,,,,,,2,3,0,,black/red,False,False,False,False,https://www.amazon.ca/CORSAIR-Carbide-SPEC-Omega-Mid-Tower-Tempered/dp/B077G34G9W?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077G34G9W
Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black/White,$76.16 USD,Corsair,CC-9011119-WW,0843591062138,843591062138,232 mm,516 mm,495 mm,ATX,ATX,370 mm,170 mm,0/0,2/6,0/4,0/0,,,,,,2,3,0,,black/white,False,False,False,False,https://www.amazon.ca/CORSAIR-CARBIDE-SPEC-OMEGA-Mid-Tower-Tempered/dp/B077G2SW34?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077G2SW34
Chieftec AL-01B Falcon Midi-Tower - black,,Chieftec,AL-01B-OP,4710713230903,,202.5 mm,435 mm,436 mm,ATX,ATX,350 mm,150 mm,0/0,0/3,0/1,0/0,,,,,,2,2,0,,black,False,True,True,False,
Chieftec Bravo Serie BH-01B-U3 Midi-Tower - black,,Chieftec,BH-01B-U3-OP,4710713230118,,205 mm,540 mm,440 mm,E-ATX,ATX,320 mm,160 mm,0/0,0/1,0/0,0/0,,,,,,0,6,0,,black,False,False,False,False,
Chieftec Bravo Serie BM-01B-U3 Midi-Tower - black,,Chieftec,BM-01B-U3-OP,4710713230019,,190 mm,456 mm,420 mm,ATX,ATX,280 mm,155 mm,0/0,0/3,0/0,0/0,,,,,,1,3,0,,black,False,False,False,False,
Chieftec Elox Serie HT-01B Micro-ATX inkl. 350 Watt Netzteil,,Chieftec,HT-01B-350GPB,4710713234246,,180 mm,408 mm,355 mm,Micro-ATX,sonstige,340 mm,140 mm,0/1,0/1,0/0,0/0,,,,,,1,2,0,,black,False,False,False,False,
Chieftec Giga Serie DF-02B-U3 Midi-Tower - black,,Chieftec,DF-02B-U3-OP,4710713230590,,200 mm,487 mm,430 mm,ATX,ATX,270 mm,155 mm,0/0,0/4,0/0,0/0,,,,,,0,5,0,,black,False,False,True,False,
Chieftec HQ-01B Midi-Tower - black,,Chieftec,HQ-01B,4710713234574,,160 mm,428 mm,410 mm,ATX,ATX,250 mm,120 mm,0/2,0/3,0/0,0/0,,,,,,0,4,0,,black,False,True,False,False,
Chieftec Libra Serie LF-01B Midi-Tower - black,,Chieftec,LF-01B-OP,4710713239456,,200 mm,485 mm,490 mm,ATX,ATX,320 mm,165 mm,0/0,4/7,0/0,0/0,,,,,,1,4,0,,black,False,True,True,False,
Chieftec Mesh Serie CQ-1B-U3 Midi-Tower - black,,Chieftec,CQ-1B-U3-OP,4710713230446,,160 mm,428 mm,425 mm,ATX,ATX,250 mm,120 mm,0/2,0/3,0/0,0/0,,,,,,0,3,0,,black,False,False,False,False,
Chieftec Mesh Serie CT-01B Micro-ATX inkl. Netzteil 350 Watt,,Chieftec,CT-01B-350GPB,4710713233829,,180 mm,408 mm,355 mm,Micro-ATX,ATX,340 mm,140 mm,0/2,0/2,0/0,0/0,,,,,,1,2,0,,black,False,False,False,False,
Chieftec Scorpion GL-01B Tempered Glass Midi-Tower - black,,Chieftec,GL-01B-OP,4710713231450,,202.5 mm,436 mm,505 mm,ATX,ATX,350 mm,160 mm,0/0,3/4,0/0,0/0,,,,,,4,2,0,,black,True,True,True,False,
Chieftec Smart Serie CH-09B-U3 Midi-Tower - black,,Chieftec,CH-09B-U3-OP,4710713239999,,205 mm,540 mm,440 mm,E-ATX,ATX,320 mm,160 mm,0/0,1/2,0/0,0/0,,,,,,0,5,0,,black,False,False,True,False,
Chieftec Smart SH-03B Midi-Tower - black,,Chieftec,SH-03B-OP,4710713230163,,205 mm,540 mm,440 mm,E-ATX,ATX,320 mm,160 mm,0/0,0/1,0/0,0/0,,,,,,0,6,0,,black,False,True,False,False,
Chieftec Stallion GP-01B Midi-Tower - black,,Chieftec,GP-01B-OP,4710713234970,,210 mm,516 mm,450 mm,ATX,ATX,430 mm,160 mm,0/0,3/6,0/2,0/0,,,,,,2,4,0,,black,True,True,True,False,
Chieftec Uni Serie BM-02B-U3 Midi-Tower - black,,Chieftec,BM-02B-U3-OP,4710713239654,,190 mm,456 mm,420 mm,ATX,ATX,280 mm,155 mm,0/0,0/3,0/0,0/0,0,0,0,0,0,1,3,0,,black,False,False,False,False,
Cooler Master 690 III Advanced Midi-Tower - pure black,,Cooler Master,CMS-693-KKN1,4719512044865,,230 mm,502 mm,507 mm,ATX,ATX,423 mm,171 mm,0/0,1/9,0/4,1/3,,,,,,10,7,0,,black,False,True,True,False,
Cooler Master 690 III Advanced Midi-Tower - Window pure black,,Cooler Master,CMS-693-KWN1,4719512044872,,230 mm,502 mm,507 mm,ATX,ATX,423 mm,171 mm,0/0,1/7,0/4,1/2,,,,,,10,7,0,,black,True,True,True,False,
"Cooler Master Cosmos C700M Big Tower - Tempered Glass, black",$580.29 USD,Cooler Master,MCC-C700M-MG5N-S00,4719512075036,884102047527,306 mm,650 mm,651 mm,E-ATX,ATX,490 mm,198 mm,0/0,0/9,4/9,0/0,0,2,0,0,0,4,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07H6MKSXZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master Cosmos SE COS-5000-KWN1 Big-Tower - black,,Cooler Master,COS-5000-KWN1,4719512046197,,263.8 mm,524.4 mm,569.4 mm,ATX,ATX,395 mm,175 mm,0/0,3/8,1/4,0/0,,,,,,18,8,0,,black,True,True,True,False,
Cooler Master Elite 130 RC-130-KKN1 Mini-ITX - black,$79.07 USD,Cooler Master,RC-130-KKN1,4719512045176,884102024221,240 mm,377.5 mm,205 mm,Mini-ITX,ATX,343 mm,65 mm,1/1,1/1,0/0,0/0,1,0,0,0,0,5,3,0,,black,False,False,False,False,https://www.amazon.ca/dp/B00DJ6A88G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Cooler Master HAF 500, Midi-Tower, ARGB, Tempered Glass - black",,Cooler Master,H500-KGNN-S00,4719512124208,,224 mm,516 mm,510 mm,E-ATX,ATX,410 mm,167 mm,0/0,1/8,0/4,2/4,3,2,2,2,2,2,0,0,,grey black,True,True,True,False,
"Cooler Master HAF 500, Midi-Tower, ARGB, Tempered Glass - white",,Cooler Master,H500-WGNN-S00,4719512124192,,224 mm,516 mm,510 mm,E-ATX,ATX,410 mm,167 mm,0/0,1/8,0/4,2/4,3,2,2,2,2,2,0,0,,black-and-white,True,True,True,False,
Cooler Master HAF700 EVO ATX,,Cooler Master,H700E-IGNN-S00,4719512126271,,291 mm,666 mm,626 mm,E-ATX,ATX,490 mm,166 mm,0/0,2/15,0/12,2/4,0,0,1,0,4,12,0,0,,grey black,True,True,True,False,
"Cooler Master MasterBox 540 Midi-Tower, ARGB, Tempered Glass - black",$138.1 USD,Cooler Master,MB540-KGNN-S00,4719512117927,,209 mm,499 mm,498 mm,E-ATX,ATX,410 mm,165 mm,0/0,1/7,0/4,0/0,1,0,0,2,2,2,0,0,,black,True,False,True,False,https://www.amazon.ca/dp/B08XTSH2JM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterBox E500L Midi-Tower - blue,,Cooler Master,MCB-E500L-KN5N-S00,4719512070062,,215 mm,426 mm,490 mm,ATX,ATX,399 mm,172 mm,0/0,1/5,0/2,0/0,0,0,0,0,0,4,2,0,,black,False,True,True,False,
Cooler Master MasterBox E500L Midi-Tower - silver Window,,Cooler Master,MCB-E500L-KA5N-S02,4719512070055,,203 mm,426 mm,490 mm,ATX,ATX,399 mm,157 mm,0/0,2/5,0/2,0/0,0,0,0,0,0,4,2,0,,black,True,True,True,False,
"Cooler Master MasterBox E500L Midi-Tower, blue Window",,Cooler Master,MCB-E500L-KA5N-S00,4719512070031,884102042546,203 mm,426 mm,490 mm,ATX,ATX,399 mm,157 mm,0/0,2/5,0/2,0/0,0,0,0,0,0,4,2,0,,black,True,True,True,False,
"Cooler Master MasterBox E500L Midi-Tower, red",,Cooler Master,MCB-E500L-KN5N-S01,4719512070079,,215 mm,426 mm,490 mm,ATX,ATX,399 mm,172 mm,0/0,1/5,0/2,0/0,0,0,0,0,0,4,2,0,,black,False,True,True,False,
"Cooler Master MasterBox E500L Midi-Tower, red Window",,Cooler Master,MCB-E500L-KA5N-S01,4719512070048,,203 mm,426 mm,490 mm,ATX,ATX,399 mm,157 mm,0/0,2/5,0/2,0/0,0,0,0,0,0,4,2,0,,black,True,True,True,False,
"Cooler Master MasterBox E500L Midi-Tower, silver",,Cooler Master,MCB-E500L-KN5N-S02,4719512070086,,215 mm,426 mm,490 mm,ATX,ATX,399 mm,172 mm,0/0,1/5,0/2,0/0,0,0,0,0,0,4,2,0,,black,False,True,True,False,
"Cooler Master MasterBox K500 Midi-Tower, Tempered Glass - black",$84.51 USD,Cooler Master,MCB-K500D-KGNN-S00,4719512071120,884102043628,210 mm,491 mm,455 mm,ATX,ATX,400 mm,160 mm,0/0,3/6,0/2,0/0,0,1,0,1,0,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07B5XNBQN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterBox Lite 3.1 TG Midi-Tower - black Window,$58.02 USD,Cooler Master,MCW-L3S3-KGNN-00,4719512064542,,209 mm,381 mm,456 mm,Micro-ATX,ATX,380 mm,158 mm,0/0,1/3,0/0,0/0,1,0,1,0,0,1,2,0,,black,True,True,True,False,https://www.amazon.ca/Cooler-Master-MCW-L3S3-KGNN-00-Mirror-Customizable/dp/B075MYYFC8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075MYYFC8
"Cooler Master MasterBox MB500, TG, black",$93.3 USD,Cooler Master,MCB-B500D-KGNN-S00,4719512067345,884102039867,211 mm,475 mm,494 mm,ATX,ATX,400 mm,160 mm,0/0,3/6,0/2,0/0,0,0,0,0,0,2,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B078BDMZ1Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterBox MB530P Midi-Tower - black,$122.57 USD,Cooler Master,MCB-B530P-KHNN-S01,4719512074640,884102047138,229 mm,469 mm,489 mm,ATX,ATX,410 mm,165 mm,0/0,4/6,0/4,0/0,0,0,0,0,0,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07G5M7P4C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterBox Midi-Tower MB600L w/ODD - blue,,Cooler Master,MCB-B600L-KA5N-S01,4719512064726,,212 mm,464 mm,454 mm,ATX,ATX,400 mm,160 mm,0/0,1/3,0/2,0/0,1,0,0,1,0,1,2,0,,black,True,True,True,False,
Cooler Master MasterBox Midi-Tower MB600L w/ODD - Gunmetal,,Cooler Master,MCB-B600L-KA5N-S02,4719512064740,884102037412,212 mm,464 mm,454 mm,ATX,ATX,400 mm,160 mm,0/0,1/3,0/2,0/0,1,0,0,1,0,1,2,0,,black,True,True,True,False,
Cooler Master MasterBox Midi-Tower MB600L w/ODD - red,$78.2 USD,Cooler Master,MCB-B600L-KA5N-S00,4719512064498,,212 mm,464 mm,454 mm,ATX,ATX,400 mm,160 mm,0/0,1/3,0/2,0/0,1,0,0,1,0,1,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B076BXJ76J?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterBox Pro 5 RGB Midi-Tower - black Window,$72.53 USD,Cooler Master,MCY-B5P2-KWGN-01,4719512063941,,223 mm,500 mm,475 mm,E-ATX,ATX,410 mm,167 mm,0/0,3/4,0/2,0/0,1,0,1,1,1,5,2,0,,black,True,True,True,False,https://www.amazon.ca/Cooler-Master-MasterBox-Mid-Tower-DarkMirror/dp/B075N132C7?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075N132C7
"Cooler Master MasterBox Q300L Mini, black",$50.77 USD,Cooler Master,MCB-Q300L-KANN-S00,4719512065488,884102038006,230 mm,378 mm,387 mm,Micro-ATX,ATX,360 mm,157 mm,0/0,1/5,0/2,0/0,1,0,1,0,0,2,1,0,,black,True,True,True,False,https://www.amazon.ca/dp/B0785GRMPG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterBox Q300P Midi-Tower - black Window,$72.53 USD,Cooler Master,MCB-Q300P-KANN-S02,4719512065518,884102038037,230 mm,450 mm,450 mm,Micro-ATX,ATX,360 mm,157 mm,0/0,3/6,0/2,0/0,,,,,,3,1,0,,black,True,False,True,False,https://www.amazon.ca/dp/B077XM396G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Cooler Master MasterCase H500M Midi-Tower, Tempered Glass - black",$239.37 USD,Cooler Master,MCM-H500M-IHNN-S00,4719512072165,884102044663,248 mm,546 mm,544 mm,E-ATX,ATX,412 mm,190 mm,0/0,0/7,0/6,2/4,3,3,2,2,2,6,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07DF2SP3X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterCase H500P Mesh Midi-Tower - white,$123.31 USD,Cooler Master,MCM-H500P-WGNN-S00,4719512068526,,242 mm,544 mm,542 mm,E-ATX,ATX,412 mm,190 mm,0/0,0/7,1/7,2/4,0,1,0,2,2,4,2,0,,white,True,False,True,False,https://www.amazon.ca/Cooler-Master-MCM-H500P-WGNN-S00-White-Mid-Tower/dp/B01MDS8L83?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MDS8L83
"Cooler Master MasterCase H500P Midi-Tower, Tempered Glass - black",,Cooler Master,MCM-H500P-MGNN-S00,4719512063774,884102036453,242 mm,544 mm,542 mm,E-ATX,ATX,412 mm,190 mm,0/0,0/7,1/7,2/4,0,1,0,0,2,2,0,0,,black,True,True,True,False,
Cooler Master MasterCase Maker 5 Midi-Tower - black Window,,Cooler Master,MCZ-005M-KWN00,4719512050224,,235 mm,528.6 mm,548 mm,ATX,ATX,412 mm,190 mm,0/0,0/6,3/6,0/0,,,,,,7,5,0,,black,True,True,True,False,
"Cooler Master MasterCase Maker 5t Midi-Tower, Tempered Glass - black",,Cooler Master,MCZ-C5M2T-RW5N,4719512053744,,242 mm,544 mm,574 mm,ATX,ATX,412 mm,190 mm,0/0,0/6,3/6,0/0,,,,,,2,2,0,,black,True,True,True,False,
Cooler Master MasterCase MC500 TG Midi-Tower - black,$108.8 USD,Cooler Master,MCM-M500-KG5N-S00,4719512065532,884102038051,235 mm,512 mm,548 mm,E-ATX,ATX,412 mm,190 mm,0/0,0/6,2/6,0/0,0,1,0,1,1,4,4,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07B5PBFG2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterCase MC500M TG Midi-Tower - black,$170.93 USD,Cooler Master,MCM-M500M-KG5N-S00,4719512065563,884102038082,235 mm,528.6 mm,548 mm,E-ATX,ATX,412 mm,190 mm,0/0,0/6,2/6,0/0,0,1,0,1,1,1,4,0,,black,True,True,True,False,https://www.amazon.ca/MasterCase-Mid-Tower-Freeform-Modular-Tempered/dp/B078G9QNMP?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078G9QNMP
Cooler Master MasterCase MC500MT TG Midi-Tower - black,$217.07 USD,Cooler Master,MCM-M500T-RH5N-S00,4719512065570,884102038099,235 mm,528.6 mm,548 mm,E-ATX,ATX,412 mm,190 mm,0/0,0/6,2/6,0/0,0,1,0,1,1,1,4,0,,black,True,True,True,False,https://www.amazon.ca/dp/B078BC3F22?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master MasterCase MC500P TG Midi-Tower - black,$137.07 USD,Cooler Master,MCM-M500P-KG5N-S00,4719512065549,884102038068,235 mm,512 mm,548 mm,E-ATX,ATX,412 mm,190 mm,0/0,0/6,3/6,0/0,0,1,0,1,1,4,4,0,,black,True,True,True,False,https://www.amazon.ca/Cooler-Master-MasterCase-Ventilation-Management/dp/B078G9QNMM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078G9QNMM
Cooler Master MasterCase MC600P TG Midi-Tower - black,$139.97 USD,Cooler Master,MCM-M600P-KG5N-S00,4719512065556,884102038075,235 mm,548 mm,544 mm,E-ATX,ATX,412 mm,190 mm,0/0,0/6,3/6,0/0,0,1,0,1,1,4,4,0,,black,True,True,True,False,https://www.amazon.ca/Cooler-Master-MCM-M600P-KG5N-S00-MC600P-ATX-Mid/dp/B078BXS675?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078BXS675
Cooler Master MasterCase Pro 3 Micro-ATX - black Window,,Cooler Master,MCY-C3P1-KWNN,4719512053300,,235 mm,467 mm,505 mm,Micro-ATX,ATX,370 mm,190 mm,0/0,0/5,2/5,0/0,,,,,,4,2,0,,black,True,True,True,False,
Cooler Master MasterCase Pro 5 Midi-Tower - black Window,$87.04 USD,Cooler Master,MCY-005P-KWN00,4719512048344,,235 mm,512 mm,548 mm,ATX,ATX,412 mm,190 mm,0/0,0/6,3/5,0/0,,,,,,7,5,0,,black,True,True,True,False,https://www.amazon.ca/MasterCase-Mid-Tower-Computer-Watercooling-MCY-005P-KWN00/dp/B013AY4V4S?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013AY4V4S
"Cooler Master MasterCase Pro 5 Midi-Tower, NVIDIA Edition - black Window",,Cooler Master,MCY-005P-KWN00-NV,4719512053287,,235 mm,512 mm,548 mm,ATX,ATX,412 mm,190 mm,0/0,0/6,3/5,0/0,,,,,,7,5,0,,"green, black",True,True,True,False,
"Cooler Master MasterCase SL600M Midi-Tower, Tempered Glass - silver",$199.25 USD,Cooler Master,MCM-SL600M-SGNN-S00,4719512075135,,242 mm,544 mm,573 mm,E-ATX,ATX,318 mm,191 mm,0/0,0/6,0/4,2/4,0,0,0,0,2,4,0,0,,black silver,True,False,True,False,https://www.amazon.ca/dp/B07JQJBV33?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master N200 NSE-200-KKN1 Midi-Tower - black,$47.14 USD,Cooler Master,NSE-200-KKN1,4719512042687,884102021862,202 mm,445 mm,378 mm,Micro-ATX,ATX,355 mm,160 mm,0/0,2/5,0/1,0/0,1,0,1,0,0,4,2,0,,black,False,True,True,False,https://www.amazon.ca/dp/B00CUZP0SU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master N200 NSE-200-KWN1 Midi-Tower Window - black,,Cooler Master,NSE-200-KWN1,4719512042694,,202 mm,445 mm,378 mm,Micro-ATX,ATX,355 mm,160 mm,0/0,2/4,0/1,0/0,,,,,,4,2,0,,black,True,True,True,False,
Cooler Master N300 NSE-300-KKN1 Midi-Tower - black,,Cooler Master,NSE-300-KKN1,4719512043134,,190 mm,492 mm,426 mm,ATX,ATX,320 mm,164 mm,0/0,2/8,0/2,0/0,,,,,,1,7,0,,black,False,True,True,False,
Cooler Master RC-K280-KKN1 Midi-Tower - black,,Cooler Master,RC-K280-KKN1,4719512038987,,219 mm,480 mm,429 mm,ATX,ATX,315 mm,162 mm,0/0,1/3,0/0,0/0,,,,,,1,6,0,,black,False,True,True,False,
Cooler Master RC-K380-KWN1 Midi-Tower- black Window,,Cooler Master,RC-K380-KWN1,4719512039229,,209 mm,479 mm,456 mm,ATX,ATX,316 mm,155 mm,0/1,1/4,0/0,0/0,0,0,0,0,0,3,5,0,,black,True,True,True,False,
Cooler Master Silencio RC-550-KKN1 Midi-Tower - black,,Cooler Master,RC-550-KKN1,4719512031384,,210 mm,505.2 mm,415.5 mm,ATX,ATX,281 mm,154 mm,0/0,2/4,0/1,0/0,0,0,0,0,0,0,7,0,,black,False,True,True,True,
Cooler Master Silencio RC-550M-KKN1 Midi-Tower - mattschwarz,,Cooler Master,RC-550M-KKN1,4719512043158,,210 mm,505.2 mm,451.5 mm,ATX,ATX,154 mm,154 mm,0/0,2/4,0/1,0/0,,,,,,0,7,0,,black,False,True,True,True,
Cooler Master Silencio S400 Steel Silent Mini-Tower - black,$93.56 USD,Cooler Master,MCS-S400-KN5N-S00,4719512087381,,210 mm,418 mm,408 mm,Micro-ATX,ATX,319 mm,167 mm,0/0,2/5,0/4,0/0,1,0,1,1,0,4,4,0,,black,False,True,True,True,https://www.amazon.ca/dp/B07STP8MYP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master Silencio S400 TG Silent Mini-Tower - black,,Cooler Master,MCS-S400-KG5N-S00,4719512087374,,210 mm,418 mm,408 mm,Micro-ATX,ATX,319 mm,166 mm,0/0,2/5,0/4,0/0,1,0,1,1,0,4,4,0,,black,True,True,True,True,
