Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Product Page
Toshiba P300 3 TB,,Toshiba,HDWD130UZSVA,4051528216721,,"3.5""",3 TB,7200,64,
Toshiba P300 4 TB,,Toshiba,HDWD240UZSVA,4260557511152,,"3.5""",4 TB,5.4,128,
Toshiba P300 6 TB,,Toshiba,HDWD260UZSVA,4260557511145,,"3.5""",6 TB,5.4,128,
Toshiba P300 HDWD120EZSTA 2TB 64MB,,Toshiba,HDWD120EZSTA,4051528202687,,,2 TB,7200,,
Toshiba P300 HDWD130EZSTA 3TB 64MB,,Toshiba,HDWD130EZSTA,4051528202694,,,3 TB,7200,,
"Toshiba SATA 3G, MQ01ABD100",,Toshiba,MQ01ABD100,5051868540295,696859079153,"2.5""",1 TB,5.4,8,
"Toshiba SATA 6G, DT01ACA200, 2 TB",,Toshiba,DT01ACA200,4047999500179,696859078972,"3.5""",2 TB,7200,32,
"Toshiba SATA 6G, DT01ACA300, 3 TB",,Toshiba,DT01ACA300,4047999500186,696859078989,"3.5""",3 TB,7200,32,
"Toshiba SATA 6G, MD04ACA400",,Toshiba,MD04ACA400,5712505477892,,"3.5""",4 TB,7.2,128,
Toshiba Surveillance Hard Drive MD03ACA200V 2TB 64MB,,Toshiba,MD03ACA200V,4053162580671,,,2 TB,7200,,
Toshiba Surveillance Hard Drive MD03ACA300V 3TB 64MB,,Toshiba,MD03ACA300V,5054484655619,,,3 TB,7200,,
Toshiba Surveillance Hard Drive MD03ACA400V 4TB 64MB,,Toshiba,MD03ACA400V,4053162588271,,,4 TB,7200,,
Toshiba X300 HDWE140EZSTA 4TB 128MB,,Toshiba,HDWE140EZSTA,4051528202700,,,4 TB,7200,,
Toshiba X300 HDWE150EZSTA 5TB 128MB,,Toshiba,HDWE150EZSTA,4051528202717,,,5 TB,7200,,
Toshiba X300 HDWE160EZSTA 6TB 128MB,,Toshiba,HDWE160EZSTA,4051528202724,,,6 TB,7200,,
Toshiba X300 HDWF180EZSTA 8TB 128MB,,Toshiba,HDWF180EZSTA,4051528234992,,,8 TB,7200,,
Toshiba X300 HDWF180UZSVA 8TB 128MB Bulk,,Toshiba,HDWF180UZSVA,4051528234985,,,8 TB,7200,,
"Toshiba X300 SATA 6G, 4 TB",,Toshiba,HDWE140UZSVA,4051528227307,,"3.5""",4 TB,7200,128,
"Toshiba X300 SATA 6G, 6 TB",,Toshiba,HDWE160UZSVA,4051528227321,,"3.5""",6 TB,7200,128,
WD AV-GP WD10EURX,,Western Digital,WD10EURX,0718037781709,,,1 TB,5400,,
WD AV-GP WD20EURX,,Western Digital,WD20EURX,0718037782836,,,2 TB,5400,,
WD AV-GP WD30EURX,,Western Digital,WD30EURX,0718037782874,,,3 TB,5400,,
WD AV-GP WD40EURX,,Western Digital,WD40EURX,0718037820095,,,4 TB,5400,,
WD Black WD4004FZWX,$211.43 USD,Western Digital,WD4004FZWX,0718037847641,,,4 TB,7200,,https://www.amazon.ca/Performance-Drive-Internal-Drives-WD4004FZWX/dp/B01GWS2ZOC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01GWS2ZOC
WD Black WD6001FZWX,$284.74 USD,Western Digital,WD6001FZWX,0718037835983,,,6 TB,7200,,https://www.amazon.ca/Black-Performance-Desktop-Hard-Drive/dp/B011LVAVEQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B011LVAVEQ
WD Blue SSHD WD40E31X,,Western Digital,WD40E31X,0718037837734,,,4 TB,5400,,
WD Blue WD50EZRZ,$193.42 USD,Western Digital,WD50EZRZ,0718037840215,,,5 TB,5400,,https://www.amazon.ca/dp/B013HNYVFG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
WD Gold WD4002FYYZ,$145.07 USD,Western Digital,WD4002FYYZ,8592978055455,,,4 TB,7200,,https://www.amazon.ca/Western-Digital-Enterprise-Class-Drive/dp/B01AV1697A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AV1697A
WD Gold WD8002FRYZ,$337.22 USD,Western Digital,WD8002FRYZ,0718037846408,718037846408,,8 TB,7200,,https://www.amazon.ca/Gold-Datacenter-Hard-Disk-Drive/dp/B01E17L38A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01E17L38A
WD Purple NV WD4NPURX,$181.18 USD,Western Digital,WD4NPURX,8592978039394,,,4 TB,5400,,https://www.amazon.ca/Western-Digital-Surveillance-Internal-DriveWD4NPURX/dp/B00WMF076S?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00WMF076S
WD Purple NV WD6NPURX,,Western Digital,WD6NPURX,0718037838366,718037838366,,6 TB,5400,,
WD Purple WD10PURX,,Western Digital,WD10PURX,0718037823324,,,1 TB,5400,,
WD Purple WD20PURX,$87.89 USD,Western Digital,WD20PURX,0718037823331,,,2 TB,5400,,https://www.amazon.ca/Intellipower-sata_6_0_gb-3-5-Inch-Internal-WD20PURX/dp/B00IMPO5MO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IMPO5MO
WD Purple WD30PURX,$105.62 USD,Western Digital,WD30PURX,0718037823300,718037823300,,3 TB,5400,,https://www.amazon.ca/dp/B00IMPO5N8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
WD Purple WD40PURX,$171.54 USD,Western Digital,WD40PURX,0718037823317,718037823317,,4 TB,5400,,https://www.amazon.ca/dp/B00IMPO5OW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
WD Purple WD50PURX,,Western Digital,WD50PURX,8592978033682,,,5 TB,5400,,
WD Purple WD60PURX,$192.25 USD,Western Digital,WD60PURX,0718037828374,,,6 TB,5400,,https://www.amazon.ca/dp/B00P0NV43E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
WD Purple WD80PUZX,$294.61 USD,Western Digital,WD80PUZX,0718037845487,718037845487,,8 TB,5400,,https://www.amazon.ca/Wd-Purple-Surveillance-Hard-Drive/dp/B01C2PWLZW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01C2PWLZW
WD RE WD1004FBYZ,,Western Digital,WD1004FBYZ,0718037830049,,,1 TB,7200,,
WD RE WD5001FSYZ,,Western Digital,WD5001FSYZ,0718037825779,,,5 TB,7200,,
WD RE+ WD5005FRPZ,,Western Digital,WD5005FRPZ,0718037832180,,,5 TB,5760,,
WD RE+ WD6005FRPZ,,Western Digital,WD6005FRPZ,0718037832159,,,6 TB,5760,,
WD Red Pro WD4002FFWX,$185.51 USD,Western Digital,WD4002FFWX,0718037845630,718037845630,,4 TB,7200,,https://www.amazon.ca/Western-Digital-3-5-Inch-Internal-WD4002FFWX/dp/B01CL6R7QU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CL6R7QU
WD Red Pro WD6002FFWX,$246.53 USD,Western Digital,WD6002FFWX,0718037845647,718037845647,,6 TB,7200,,https://www.amazon.ca/Red-Pro-NAS-Hard-Drive/dp/B01CHP20MG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CHP20MG
WD Red Pro WD8001FFWX,$394.44 USD,Western Digital,WD8001FFWX,0718037847696,718037847696,,8 TB,7200,,https://www.amazon.ca/3-5-Inch-7200rpm-128MB-Internal-WD8001FFWX/dp/B01H33VQDG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01H33VQDG
WD Red WD80EFZX,$304.54 USD,Western Digital,WD80EFZX,0718037845500,718037845500,,8 TB,5400,,https://www.amazon.ca/Red-8TB-Hard-Disk-Drive/dp/B01BYLY4DM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BYLY4DM
Western Blue Mobile 1 TB,$47.13 USD,Western Digital,WD10SPZX,0718037845319,,"2.5""",1 TB,5400,128,https://www.amazon.ca/dp/B071F9MLJJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Blue Mobile 2 TB,$72.52 USD,Western Digital,WD20SPZX,0718037847405,,"2.5""",2 TB,5400,128,https://www.amazon.ca/dp/B079BQS5WQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Black 1 TB,$58.01 USD,Western Digital,WD1003FZEX,0718037786469,718037786469,"3.5""",1 TB,7200,64,https://www.amazon.ca/dp/B00FJRS6FU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Black 2 TB,$100.81 USD,Western Digital,WD2003FZEX,0718037810553,718037810553,"3.5""",2 TB,7200,64,https://www.amazon.ca/dp/B00FJRS628?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Western Digital Black 2,5 Zoll",$65.97 USD,Western Digital,WD10JPLX,0718037846729,718037846729,"2.5""",1 TB,7.2,32,https://www.amazon.ca/WESTERN-DIGITAL-Performance-Mobile-WD10JPLX/dp/B01DOL05OC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01DOL05OC
Western Digital Black 4 TB,$141.43 USD,Western Digital,WD4005FZBX,0718037856001,00718037856001,"3.5""",4 TB,7200,256,https://www.amazon.ca/dp/B0792G331G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Black 6 TB,$174.08 USD,Western Digital,WD6003FZBX,0718037855998,,"3.5""",6 TB,7200,256,https://www.amazon.ca/dp/B0792GSD6N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue,$240.51 USD,Western Digital,WD60EZRZ,0718037840192,718037840192,"3.5""",6 TB,5.4,64,https://www.amazon.ca/dp/B013HNYVCE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 1 TB,$43.52 USD,Western Digital,WD10EZRZ,0718037840147,718037840147,"3.5""",1 TB,5400,64,https://www.amazon.ca/Blue-Desktop-Hard-Disk-Drive/dp/B013HNYVLA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013HNYVLA
Western Digital Blue 1 TB,$50.75 USD,Western Digital,WD10EZEX,0718037779911,718037779911,"3.5""",1 TB,7200,64,https://www.amazon.ca/dp/B0088PUEPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 2 TB,$55.12 USD,Western Digital,WD20EZAZ,0718037856254,,"3.5""",2 TB,5.4,256,https://www.amazon.ca/dp/B07JC1TQ7N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 2 TB,$63.1 USD,Western Digital,WD20EZRZ,0718037840222,718037840222,"3.5""",2 TB,5400,64,https://www.amazon.ca/dp/B013QFRS2S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Western Digital Blue 2,5 Zoll",$61.89 USD,Western Digital,WD10JPVX,0718037800936,718037800936,"2.5""",1 TB,5.4,8,https://www.amazon.ca/5400rpm-Sata-Scorpio-Blue-WD10JPVX/dp/B00C9TEBJQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00C9TEBJQ
Western Digital Blue 3 TB,$80.04 USD,Western Digital,WD30EZRZ,0718037840154,718037840154,"3.5""",3 TB,5400,64,https://www.amazon.ca/dp/B013HNYV42?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 4 TB,$122.23 USD,Western Digital,WD40EZRZ,0718037840161,718037840161,"3.5""",4 TB,5400,64,https://www.amazon.ca/dp/B013HNYV8I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 6 TB,$137.81 USD,Western Digital,WD60EZAZ,0718037855684,,"3.5""",6 TB,5400,256,https://www.amazon.ca/WD-Blue-6TB-Hard-Drive/dp/B07MYKZGVX?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MYKZGVX
Western Digital Gold 1 TB,$87.02 USD,Western Digital,WD1005FBYZ,0718037820132,718037820132,"3.5""",1 TB,7200,128,https://www.amazon.ca/dp/B01IY9USY6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 10 TB,$235.73 USD,Western Digital,WD102KRYZ,0718037872681,,"3.5""",10 TB,7200,256,https://www.amazon.ca/dp/B07XDD5MV8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 12 TB,$282.87 USD,Western Digital,WD121KRYZ,0718037854519,,"3.5""",12 TB,7200,256,https://www.amazon.ca/dp/B075L6FJH8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 14 TB,$315.52 USD,Western Digital,WD141KRYZ,0718037872674,,"3.5""",14 TB,7200,512,https://www.amazon.ca/dp/B07XC95Y28?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 16 TB,,Western Digital,WD161KRYZ,8592978268565,,"3.5""",16 TB,7.2,512,
Western Digital Gold 2 TB,$115.32 USD,Western Digital,WD2005FBYZ,0718037847924,718037847924,"3.5""",2 TB,7200,128,https://www.amazon.ca/dp/B01IY9UTMM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 4 TB,$154.48 USD,Western Digital,WD4003FRYZ,0718037858098,,"3.5""",4 TB,7200,256,https://www.amazon.ca/dp/B07XDD6GD3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 6 TB,$192.2 USD,Western Digital,WD6003FRYZ,0718037855936,,"3.5""",6 TB,7200,256,https://www.amazon.ca/dp/B07XHCT33G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 8 TB,$217.59 USD,Western Digital,WD8004FRYZ,0718037858371,,"3.5""",8 TB,7200,256,https://www.amazon.ca/dp/B07XGDNZXT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Western Digital Gold, Intellipower",$233.85 USD,Western Digital,WD6002FRYZ,0718037845470,,"3.5""",6 TB,7.2,128,https://www.amazon.ca/Western-Digital-Enterprise-Class-Drive/dp/B01AV168FS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AV168FS
"Western Digital Gold, Intellipower",$316.51 USD,Western Digital,WD8003FRYZ,0718037858104,00718037858104,"3.5""",8 TB,7.2,256,https://www.amazon.ca/WESTERN-DIGITAL-Enterprise-Class-Drive/dp/B074WH5NPT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074WH5NPT
"Western Digital Gold, Intellipower",$413.22 USD,Western Digital,WD101KRYZ,0718037847733,718037847733,"3.5""",10 TB,7.2,256,https://www.amazon.ca/Gold-10TB-Datacenter-Hard-Drive/dp/B01IWCMS5M?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IWCMS5M
Western Digital Purple 8 TB,$188.97 USD,Western Digital,WD84PURZ,0718037887906,,"3.5""",8 TB,7.2,256,https://www.amazon.ca/dp/B08XNL4CRM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Western Digital Purple, Intellipower",$270.51 USD,Western Digital,WD100PURZ,0718037856087,718037856087,"3.5""",10 TB,5.4,256,https://www.amazon.ca/Western-Digital-Surveillance-3-5-Inch-Internal/dp/B06XRRT1PJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XRRT1PJ
Western Digital RE,,Western Digital,WD2004FBYZ,0718037830056,,,2 TB,7200,128,
Western Digital Red 1 TB,$50.77 USD,Western Digital,WD10EFRX,0718037799650,00718037799650,"3.5""",1 TB,5400,64,https://www.amazon.ca/dp/B008JJLXO6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 1 TB,$90.82 USD,Western Digital,WD10JFCX,0718037804149,718037804149,"3.5""",1 TB,5400,16,https://www.amazon.ca/dp/B00EHBES1U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 10 TB,$259.39 USD,Western Digital,WD101EFAX,0718037866758,,"3.5""",10 TB,5.4,256,https://www.amazon.ca/dp/B083JXTH5L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 10 TB,$327.86 USD,Western Digital,WD100EFAX,0718037847689,,"3.5""",10 TB,5400,256,https://www.amazon.ca/dp/B0719498XY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 12 TB,$297.94 USD,Western Digital,WD120EFAX,0718037866260,,"3.5""",12 TB,5400,256,https://www.amazon.ca/dp/B07RQ99XJH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 14 TB,$457.18 USD,Western Digital,WD140EFFX,0718037872841,,"3.5""",14 TB,5400,512,https://www.amazon.ca/dp/B07YFGMZVV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 2 TB,$54.42 USD,Western Digital,WD20EFAX,0718037858135,,"3.5""",2 TB,5400,256,https://www.amazon.ca/dp/B07PGWXQCM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 2 TB,$72.53 USD,Western Digital,WD20EFRX,0718037799667,718037799667,"3.5""",2 TB,5400,64,https://www.amazon.ca/Sata-64mb-Intellipower-Years-Warranty/dp/B008RAWX0U?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B008RAWX0U
Western Digital Red 3 TB,$61.65 USD,Western Digital,WD30EFAX,0718037861074,,"3.5""",3 TB,5400,256,https://www.amazon.ca/dp/B083XVD1FP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 3 TB,$89.93 USD,Western Digital,WD30EFRX,0718037799674,,"3.5""",3 TB,5400,64,https://www.amazon.ca/dp/B008JJLW4M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 4 TB,$84.22 USD,Western Digital,WD40EFAX,0718037861036,,"3.5""",4 TB,5400,256,https://www.amazon.ca/dp/B083XVY99B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 4 TB,$116.05 USD,Western Digital,WD40EFRX,0718037810058,718037810058,"3.5""",4 TB,5400,64,https://www.amazon.ca/Western-Digital-3-5-Inch-Drive-WD40EFRX/dp/B00EHBERSE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EHBERSE
Western Digital Red 6 TB,$101.55 USD,Western Digital,WD60EFAX,0718037860947,,"3.5""",6 TB,5400,256,https://www.amazon.ca/dp/B07MYL7KVK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 8 TB,$217.61 USD,Western Digital,WD80EFAX,0718037854694,718037854694,"3.5""",8 TB,5400,256,https://www.amazon.ca/dp/B07D3MWMNZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 8 TB,$168.11 USD,Western Digital,WD80EFZZ,0718037896755,,"3.5""",8 TB,5.64,128,https://www.amazon.ca/dp/B09QQX27GM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 10 TB,$199.47 USD,Western Digital,WD101EFBX,0718037886206,,"3.5""",10 TB,7.2,256,https://www.amazon.ca/dp/B08TZPS4QQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 12 TB,$228.49 USD,Western Digital,WD120EFBX,0718037886190,,"3.5""",12 TB,7.2,256,https://www.amazon.ca/dp/B08V1L1WYD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 14 TB,$297.4 USD,Western Digital,WD140EFGX,0718037886183,,"3.5""",14 TB,7.2,512,https://www.amazon.ca/dp/B08V13TGP4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 2 TB,$54.4 USD,Western Digital,WD20EFZX,0718037884370,,"3.5""",2 TB,5.4,128,https://www.amazon.ca/dp/B08VH891FS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 3 TB,$65.28 USD,Western Digital,WD30EFZX,0718037884387,,"3.5""",3 TB,5.4,128,https://www.amazon.ca/dp/B08VH9NDV7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 4 TB,$79.78 USD,Western Digital,WD40EFZX,0718037884394,,"3.5""",4 TB,5.4,128,https://www.amazon.ca/dp/B08VH8C3WZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 6 TB,$104.44 USD,Western Digital,WD60EFZX,0718037821542,,"3.5""",6 TB,5.64,128,https://www.amazon.ca/dp/B08TZYBMMC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Plus 8 TB,$169.0 USD,Western Digital,WD80EFBX,0718037886213,,"3.5""",8 TB,7.2,256,https://www.amazon.ca/dp/B08TZT47VT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 10 TB,$35.49 USD,Western Digital,WD101KFBX,0718037847719,718037847719,"3.5""",10 TB,7200,256,https://www.amazon.ca/dp/B072LX5HDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 10 TB,$235.73 USD,Western Digital,WD102KFBX,0718037866796,,"3.5""",10 TB,7200,256,https://www.amazon.ca/dp/B084F34HZ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 12 TB,$257.49 USD,Western Digital,WD121KFBX,0718037866246,,"3.5""",12 TB,7200,256,https://www.amazon.ca/dp/B07RTMPWD8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 14 TB,$297.38 USD,Western Digital,WD141KFGX,0718037872858,,"3.5""",14 TB,7.2,512,https://www.amazon.ca/dp/B07YFGW736?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 16 TB,$319.14 USD,Western Digital,WD161KFGX,0718037877662,,"3.5""",16 TB,7.2,512,https://www.amazon.ca/dp/B08K3VVKSW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 18 TB,$326.4 USD,Western Digital,WD181KFGX,0718037875729,,"3.5""",18 TB,7.2,512,https://www.amazon.ca/dp/B08K3TFM92?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 2 TB,$79.78 USD,Western Digital,WD2002FFSX,0718037835570,718037835570,"3.5""",2 TB,7200,64,https://www.amazon.ca/dp/B01FYXPGT2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 4 TB,$147.95 USD,Western Digital,WD4003FFBX,0718037855967,718037855967,"3.5""",4 TB,7200,256,https://www.amazon.ca/dp/B07B1WK3N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 6 TB,$195.11 USD,Western Digital,WD6003FFBX,0718037855943,718037855943,"3.5""",6 TB,7200,256,https://www.amazon.ca/dp/B07B1HX5KN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 8 TB,$215.68 USD,Western Digital,WD8003FFBX,0718037858425,,"3.5""",8 TB,7200,256,https://www.amazon.ca/dp/B07D3N95GS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Western Digital Red, Intellipower",$196.09 USD,Western Digital,WD60EFRX,0718037827582,718037827582,"3.5""",6 TB,5.4,64,https://www.amazon.ca/dp/B00LO3KR96?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital SE,,Western Digital,WD5001F9YZ,0718037810676,,,5 TB,7200,,
