Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
G.Skill Trident Z Neo Series,,G.Skill,F4-3600C16D-16GTZNC,4713294223449,,DDR4-3600,16 GB,3600,16-19-19-39,2,
G.Skill Trident Z Neo Series,,G.Skill,F4-3600C14D-16GTZN,4713294223326,,DDR4-3600,16 GB,3600,14-15-15-35,2,
G.Skill Trident Z Neo Series,,G.Skill,F4-3200C16D-32GTZN,4713294223302,,DDR4-3200,32 GB,3200,16-18-18-38,2,
G.Skill Trident Z Neo Series,,G.Skill,F4-3200C16D-16GTZN,4713294223289,,DDR4-3200,16 GB,3200,16-18-18-38,2,
G.Skill Trident Z RGB DDR4-3200 16GB,,G.Skill,F4-3200C14D-16GTZR,0848354025177,848354025177,DDR4-3200,16 GB,3200,14-14-14-34,2,
G.Skill Trident Z RGB DDR4-3200 16GB,$68.17 USD,G.Skill,F4-3200C16D-16GTZR,0848354025191,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/dp/B01MTDEYHU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
G.Skill Trident Z RGB DDR4-3200 32GB,,G.Skill,F4-3200C14D-32GTZR,0848354026204,848354026204,DDR4-3200,32 GB,3200,14-14-14-34,2,
G.Skill Trident Z RGB DDR4-3200 64GB,,G.Skill,F4-3200C14Q-64GTZR,0848354025429,848354025429,DDR4-3200,64 GB,3200,14-14-14-34,4,
G.Skill Trident Z RGB DDR4-3200 64GB,,G.Skill,F4-3200C15Q-64GTZR,0848354026518,848354026518,DDR4-3200,64 GB,3200,15-15-15-35,4,
G.Skill Trident Z RGB DDR4-3466 16GB,,G.Skill,F4-3466C16D-16GTZR,0848354025207,848354025207,DDR4-3466,16 GB,3466,16-18-18-38-2N,2,
G.Skill Trident Z RGB DDR4-3600 16GB,,G.Skill,F4-3600C16D-16GTZR,0848354025221,848354025221,DDR4-3600,16 GB,3600,16-16-16-36-2N,2,
G.Skill Trident Z RGB Series,$122.38 USD,G.Skill,F4-3600C17D-16GTZR,4719692015235,848354025238,DDR4-3600,16 GB,3600,17-18-18-38,2,https://www.amazon.ca/dp/B01N4V82FW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
G.Skill Trident Z RGB Series für AMD,,G.Skill,F4-3200C16D-16GTZRX,4713294220592,,DDR4-3200,16 GB,3200,16-18-18-38,2,
G.Skill Trident Z RGB Series für AMD,,G.Skill,F4-3200C16D-32GTZRX,4713294220615,,DDR4-3200,32 GB,3200,16-18-18-38,2,
G.Skill Trident Z RGB Series für AMD Ryzen,,G.Skill,F4-3600C18D-16GTZRX,4713294220462,,DDR4-3600,16 GB,3600,18-22-22-42,2,
G.Skill Trident Z RGB Series für AMD Ryzen,,G.Skill,F4-3200C14D-16GTZRX,4719692018205,,DDR4-3200,16 GB,3200,14-14-14-34,2,
G.Skill Trident Z Royal Series gold,,G.Skill,F4-3200C14D-16GTRG,4713294221971,,DDR4-3200,16 GB,3200,14-14-14-34,2,
G.Skill Trident Z Royal Series gold,,G.Skill,F4-3600C17D-16GTRG,4713294222657,,DDR4-3600,16 GB,3600,17-18-18-38,2,
G.Skill Trident Z Royal Series gold,,G.Skill,F4-3200C16D-16GTRG,4713294221858,,DDR4-3200,16 GB,3200,16-18-18-38,2,
G.Skill Trident Z Royal Series gold,,G.Skill,F4-3600C18D-16GTRG,4713294222725,,DDR4-3600,16 GB,3600,18-22-22-42,2,
G.Skill Trident Z Royal Series silver,,G.Skill,F4-3200C16D-16GTRS,4713294221919,848354031918,DDR4-3200,16 GB,3200,16-18-18-38,2,
G.Skill Trident Z Royal Series silver,,G.Skill,F4-3600C18D-16GTRS,4713294222718,,DDR4-3600,16 GB,3600,18-22-22-42,2,
G.Skill Trident Z Royal Series silver,,G.Skill,F4-3600C17D-16GTRS,4713294222633,,DDR4-3600,16 GB,3600,17-18-18-38,2,
G.Skill Trident Z Royal Series silver,,G.Skill,F4-3200C14D-16GTRS,4713294222039,,DDR4-3200,16 GB,3200,14-14-14-34,2,
G.Skill Trident Z Series,,G.Skill,F4-3200C16D-16GTZ,4719692005519,848354023289,DDR4-3200,16 GB,3200,16-16-16-36,2,
G.Skill Trident Z Series silver/red,,G.Skill,F4-3600C16D-16GTZ,4719692008725,848354018728,DDR4-3600,16 GB,3600,16-16-18-36,2,
G.Skill Trident Z Series silver/red,,G.Skill,F4-3200C15D-16GTZ,4719692009494,,DDR4-3200,16 GB,3200,15-15-15-35,2,
"G.Skill Trident Z Series, DDR4-3000, CL14 - 64 GB Quad-Kit",,G.Skill,F4-3000C14Q-64GTZ,4719692008909,,DDR4-3000,64 GB,3000,14-14-14-34,4,
G.Skill Value DDR4-2133 8GB,,G.Skill,F4-2133C15S-8GNT,4719692001818,,DDR4-2133,8 GB,2133,15-15-15-35-2N,1,
G.Skill Value DDR4-2400 8GB,,G.Skill,F4-2400C15S-8GNS,4719692011015,,DDR4-2400,8 GB,2400,15-15-15-35-2N,1,
G.Skill Value DDR4-2400 8GB,,G.Skill,F4-2400C15S-8GNT,4719692006493,,DDR4-2400,8 GB,2400,15-15-15-35-2N,1,
Gigabyte Aorus RGB Memory,,Gigabyte,GP-AR32C16S8K2HU416R,4719331804855,,DDR4-3200,16 GB,3200,16-18-18-38,2,
Gigabyte Aorus RGB Memory,$190.43 USD,Gigabyte,GP-AR32C16S8K2HU416RD,4719331804886,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/GIGABYTE-3200MHz-Exclusive-Modules-GP-AR32C16S8K2HU416RD/dp/B07NPZJW96?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07NPZJW96
HyperX Fury blue DDR3-1600 CL10,$30.6 USD,HyperX,HX316C10F/4,0740617230376,740617230376,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B00J8E92R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury blue DDR3-1600 CL10,$46.06 USD,HyperX,HX316C10F/8,0740617230383,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B00J8E92M6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury blue DDR3-1600 CL10,$64.99 USD,HyperX,HX316C10FK2/8,0740617230444,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/dp/B00J8E8ZLK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury blue DDR3-1600 CL10,$82.68 USD,HyperX,HX316C10FK2/16,0740617230437,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B00J8E8YES?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury blue DDR3-1866 CL10,$30.44 USD,HyperX,HX318C10F/4,0740617230536,,DDR3-1866,4 GB,1866,,1,https://www.amazon.ca/dp/B00J8E91BI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury blue DDR3-1866 CL10,$68.19 USD,HyperX,HX318C10FK2/8,0740617230604,,DDR3-1866,8 GB,1866,,2,https://www.amazon.ca/dp/B00T8M8JGI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury blue DDR3-1866 CL10,$72.53 USD,HyperX,HX318C10F/8,0740617230543,,DDR3-1866,8 GB,1866,,1,https://www.amazon.ca/dp/B00J8E91UO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury blue DDR3-1866 CL10,$100.81 USD,HyperX,HX318C10FK2/16,0740617230598,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/dp/B00J8E910Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury red DDR3-1600 CL10,$73.98 USD,HyperX,HX316C10FR/8,0740617230468,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B00J8E90NW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury red DDR3-1600 CL10,$89.21 USD,HyperX,HX316C10FRK2/16,0740617230475,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B00J8E90WS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury red DDR3-1600 CL10,$106.91 USD,HyperX,HX316C10FRK2/8,0740617230482,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/dp/B00J8E92C6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury red DDR3-1866 CL10,$39.95 USD,HyperX,HX318C10FR/4,0740617230611,,DDR3-1866,4 GB,1866,,1,https://www.amazon.ca/dp/B00J8E8YNE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury red DDR3-1866 CL10,$67.32 USD,HyperX,HX318C10FR/8,0740617230628,,DDR3-1866,8 GB,1866,,1,https://www.amazon.ca/dp/B00J8E91H2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury red DDR3-1866 CL10,$103.64 USD,HyperX,HX318C10FRK2/8,0740617230642,,DDR3-1866,8 GB,1866,,2,https://www.amazon.ca/dp/B00J8E9014?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury red DDR3-1866 CL10,$110.93 USD,HyperX,HX318C10FRK2/16,0740617230635,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/dp/B00J8E8ZOC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR3-1600 CL10,$40.61 USD,HyperX,HX316C10FB/4,0740617230390,740617230390,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B00J8E8ZWY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR3-1600 CL10,$46.41 USD,HyperX,HX316C10FBK2/8,0740617230420,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/dp/B00J8E93G6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR3-1600 CL10,$64.75 USD,HyperX,HX316C10FB/8,0740617230406,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B00J8E9334?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR3-1600 CL10,$98.22 USD,HyperX,HX316C10FBK2/16,0740617230413,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B00J8E8XT4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR3-1866 CL10,$31.58 USD,HyperX,HX318C10FB/4,0740617230550,,DDR3-1866,4 GB,1866,,1,https://www.amazon.ca/dp/B00J8E8Z06?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR3-1866 CL10,$55.5 USD,HyperX,HX318C10FBK2/8,0740617230581,,DDR3-1866,8 GB,1866,,2,https://www.amazon.ca/dp/B00J8E90I2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR3-1866 CL10,$65.28 USD,HyperX,HX318C10FB/8,0740617230567,740617230567,DDR3-1866,8 GB,1866,,1,https://www.amazon.ca/dp/B00J8E92I0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR3-1866 CL10,$97.19 USD,HyperX,HX318C10FBK2/16,0740617230574,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/dp/B00J8E8Y5C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury black DDR4-2133 CL14,,HyperX,HX421C14FBK4/32,0740617240634,740617240634,DDR4-2133,32 GB,2133,,4,
HyperX Fury black DDR4-2133 CL14,,HyperX,HX421C14FB/8,0740617241037,,DDR4-2133,8 GB,2133,,1,
HyperX Fury black DDR4-2133 CL14,$44.22 USD,HyperX,HX421C14FB/4,0740617241013,,DDR4-2133,4 GB,2133,,1,https://www.amazon.ca/Kingston-HyperX-2133MHz-Non-ECC-HX421C14FB/dp/B00TY6A2Z4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00TY6A2Z4
HyperX Fury black DDR4-2133 CL14,$87.53 USD,HyperX,HX421C14FBK4/16,0740617240627,,DDR4-2133,16 GB,2133,,4,https://www.amazon.ca/Kingston-HyperX-2133MHz-HX421C14FBK4-16/dp/B00TPQPURI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00TPQPURI
HyperX Fury black DDR4-2133 CL14,$132.05 USD,HyperX,HX421C14FB2K2/16,0740617256536,,DDR4-2133,16 GB,2133,,2,https://www.amazon.ca/HyperX-2133MHz-PC42133-HX421C14FB2K2-16/dp/B01HI14AZ4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HI14AZ4
HyperX Fury black DDR4-2400 CL15,,HyperX,HX424C15FBK4/32,0740617240672,,DDR4-2400,32 GB,2400,,4,
HyperX Fury black DDR4-2666 CL15,,HyperX,HX426C15FBK4/16,0740617240696,,DDR4-2666,16 GB,2666,,4,
HyperX Fury Series,,Kingston,HX432C18FB2K2/16,0740617278149,,DDR4-3200,16 GB,3200,18-21-21,2,
"HyperX Fury Series, DDR4-2666, CL15 - 16 GB Kit",,HyperX,HX426C15FBK2/16,0740617244403,,DDR4-2666,16 GB,2666,15-17-17,2,
"HyperX Fury Series, DDR4-2666, CL15 - 32 GB Kit",,HyperX,HX426C15FBK4/32,0740617240702,,DDR4-2666,32 GB,2666,15-17-17,4,
HyperX Fury white DDR3-1600 CL10,$39.33 USD,HyperX,HX316C10FW/4,0740617230499,,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B00J8E8Z42?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury white DDR3-1600 CL10,$46.25 USD,HyperX,HX316C10FW/8,0740617230505,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B00J8E8ZMY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury white DDR3-1600 CL10,$70.17 USD,HyperX,HX316C10FWK2/8,0740617230529,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/dp/B00J8E92X0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury white DDR3-1600 CL10,$97.53 USD,HyperX,HX316C10FWK2/16,0740617230512,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B00J8E8ZA6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury white DDR3-1866 CL10,$28.0 USD,HyperX,HX318C10FW/4,0740617230659,,DDR3-1866,4 GB,1866,,1,https://www.amazon.ca/dp/B00J8E9398?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury white DDR3-1866 CL10,$63.69 USD,HyperX,HX318C10FW/8,0740617230666,,DDR3-1866,8 GB,1866,,1,https://www.amazon.ca/dp/B00J8E913Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Fury white DDR3-1866 CL10,$104.43 USD,HyperX,HX318C10FWK2/8,0740617230680,,DDR3-1866,8 GB,1866,,2,https://www.amazon.ca/dp/B00J8E91T0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Predator DDR3-1866 CL9,,HyperX,HX318C9PB3K4/32,0740617258592,,DDR3-1866,32 GB,1866,,4,
HyperX Predator DDR3-1866 CL9,,HyperX,HX318C9PB3K2/16,0740617258615,,DDR3-1866,16 GB,1866,,2,
HyperX Predator DDR3-1866 CL9,,HyperX,HX318C9PB3K2/8,0740617258608,,DDR3-1866,8 GB,1866,,2,
HyperX Predator DDR4-3000 CL15,$160.34 USD,HyperX,HX430C15PB3K2/32,0740617258509,740617258509,DDR4-3000,32 GB,3000,,1,https://www.amazon.ca/dp/B01GCWQ6AM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Predator DDR4-3000 CL15,$196.5 USD,HyperX,HX430C15PB3K4/32,0740617258622,,DDR4-3000,32 GB,3000,,4,https://www.amazon.ca/dp/B01GCWQ5M6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Predator DDR4-3200 CL16,$83.52 USD,HyperX,HX432C16PB3K2/16,0740617258462,740617258462,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/dp/B01GCWQ8VO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HyperX Savage DDR4-2666 CL15,,HyperX,HX426C15SBK8/128,0740617249156,,DDR4-2666,128 GB,2666,,1,
HyperX Savage red DDR3-1600 CL9,,HyperX,HX316C9SRK4/32,0740617234480,,DDR3-1600,32 GB,1600,,4,
HyperX Savage red DDR3-1866 CL9,,HyperX,HX318C9SRK4/32,0740617234534,,DDR3-1866,32 GB,1866,,4,
HyperX Savage red DDR3-1866 CL9,,HyperX,HX318C9SRK2/8,0740617234527,,DDR3-1866,8 GB,1866,,2,
HyperX Savage red DDR3-1866 CL9,,HyperX,HX318C9SR/4,0740617234497,,DDR3-1866,4 GB,1866,,1,
HyperX Savage red DDR3-1866 CL9,$158.12 USD,HyperX,HX318C9SRK2/16,0740617234510,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/StarTech-Switch-Switching-Technology-SV231USBDDM/dp/B00NIX4ELC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NIX4ELC
HyperX Savage black DDR4-2133 CL13,,HyperX,HX421C13SB/8,0740617248203,,DDR4-2133,8 GB,2133,,1,
HyperX Savage black DDR4-2133 CL13,,HyperX,HX421C13SB/4,0740617248197,,DDR4-2133,4 GB,2133,,1,
HyperX Savage black DDR4-2400 CL12 XMP,,HyperX,HX424C12SB2K4/32,0740617251128,,DDR4-2400,32 GB,2400,,4,
HyperX Savage black DDR4-2400 CL12 XMP,,HyperX,HX424C12SB2K2/16,0740617251043,,DDR4-2400,16 GB,2400,,2,
HyperX Savage black DDR4-2400 CL12 XMP,,HyperX,HX424C12SB2/8,0740617250961,,DDR4-2400,8 GB,2400,,1,
HyperX Savage black DDR4-2400 CL12 XMP,,HyperX,HX424C12SB2/4,0740617250923,,DDR4-2400,4 GB,2400,,1,
HyperX Savage black DDR4-2400 CL12 XMP,,HyperX,HX424C12SB2K2/8,0740617250978,,DDR4-2400,8 GB,2400,,2,
HyperX Savage black DDR4-2666 CL13 XMP,,HyperX,HX426C13SB2K2/8,0740617250992,,DDR4-2666,8 GB,2666,,2,
INNO3D iChill Memory,,INNO3D,RCX2-16G3200A,4895223100059,,DDR4-3200,16 GB,3200,15-17-17-35,2,
INNO3D iChill Memory,,INNO3D,RCX2-16G3600A,4895223100011,,DDR4-3600,16 GB,3600,17-18-18-38,2,
Intenso Desktop Pro DDR4-2133 CL15,,Intenso,5641160,4034303024322,,DDR4-2133,8 GB,2133,,1,
Kingston Fury Beast,$70.99 USD,Kingston,KF548C38BB-16,0740617324389,,DDR5-4800,16 GB,4800,38-38-38,1,https://www.amazon.ca/dp/B09KCMKL9Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Fury Beast,$105.9 USD,Kingston,KF548C38BBK2-32,0740617324365,,DDR5-4800,32 GB,4800,38-38-38,2,https://www.amazon.ca/dp/B09KCLWW2K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Fury Beast Black,$63.09 USD,Kingston,KF552C40BB-16,0740617324372,,DDR5-5200,16 GB,5200,40-39-39,1,https://www.amazon.ca/dp/B09KCM59ZK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Fury Beast Black,$116.05 USD,Kingston,KF552C40BBK2-32,0740617324358,,DDR5-5200,32 GB,5200,40-39-39,1,https://www.amazon.ca/dp/B09KCLP63B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Value DDR3-1600 CL11,$29.01 USD,Kingston,KVR16N11S8/4,0740617207774,740617207774,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B008CP5QR2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Value DDR4-2133 CL15,,Kingston,KVR21N15D8/16,0740617252002,,DDR4-2133,16 GB,2133,,1,
Kingston Value DDR4-2133 CL15 kit,,Kingston,KVR21N15D8K2/32,0740617252729,,DDR4-2133,32 GB,2133,,1,
Kingston Value DDR4-2133 CL15 reg. ECC,,Kingston,KVR21R15D4/32,0740617251203,00740617251203,DDR4-2133,32 GB,2133,,1,
Kingston Value DDR4-2133 CL15,,Kingston,KVR21N15D8/8,0740617242713,,DDR4-2133,8 GB,2133,,1,
Kingston Value DDR4-2400 CL17,$42.7 USD,Kingston,KVR24N17S8/8,0740617259643,740617259643,DDR4-2400,8 GB,2400,,1,https://www.amazon.ca/dp/B01GCWQGIY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Value DDR4-2400 CL17,$70.3 USD,Kingston,KVR24N17D8/16,0740617259650,740617259650,DDR4-2400,16 GB,2400,,1,https://www.amazon.ca/dp/B01GCWQEOK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Value DDR3-1600 CL11,$51.76 USD,Kingston,KVR16N11/8,0740617206937,740617206937,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B0089JIDLC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Value DDR3-1600 CL11,$115.0 USD,Kingston,KVR16N11K2/16,0740617207484,740617207484,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B008C4LITS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Value DDR3-1600 CL11 ECC Modul,,Kingston,KVR16E11/8,0740617208979,,DDR3-1600,8 GB,1600,,1,
Kingston Value DDR4-2133 CL15,,Kingston,KVR21N15D8K2/16,0740617248906,,DDR4-2133,16 GB,2133,,2,
Kingston ValueRAM,$157.25 USD,Kingston,KVR48U40BS8-16,0740617325096,,DDR5-4800,16 GB,4800,40-39-39,1,https://www.amazon.ca/dp/B09KMD4BR4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston ValueRAM,$330.18 USD,Kingston,KVR48U40BS8K2-32,0740617325102,,DDR5-4800,32 GB,4800,40-39-39,2,https://www.amazon.ca/dp/B09KMD1JW8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Team Group Dark Pro Series grey, DDR4-3200, CL16 - 8 GB Kit",,Team Group,TDPGD48G3200HC16ADC01,0765441629745,,DDR4-3200,8 GB,3200,16-16-16-36,2,
"Team Group Dark Pro Series red, DDR4-3000, CL15 - 16 GB Kit",,Team Group,TDPRD416G3000HC15ADC01,0765441630147,,DDR4-3000,16 GB,3000,15-15-15-35,2,
"Team Group Dark Pro Series red, DDR4-3000, CL15 - 8 GB Kit",,Team Group,TDPRD48G3000HC15ADC01,0765441630123,,DDR4-3000,8 GB,3000,15-15-15-35,2,
"Team Group Dark Pro Series red, DDR4-3200, CL16 - 8 GB Kit",,Team Group,TDPRD48G3200HC16ADC01,0765441629738,,DDR4-3200,8 GB,3200,16-16-16-36,2,
"Team Group Dark Series blue, DDR4-2666, CL15 - 16 GB Kit",,Team Group,TDBED416G2666HC15AQC01,0765441625389,,DDR4-2666,16 GB,2666,,4,
"Team Group Dark Series white, DDR4-3000, CL16 - 16 GB Kit",,Team Group,TDWED416G3000HC16AQC01,0765441626119,,DDR4-3000,16 GB,3000,16-16-16-36,4,
"Team Group Elite Plus Series black, DDR4-2133, CL15 - 16 GB Kit",,Team Group,TPD416G2133HC15DC01,0765441627307,,DDR4-2133,16 GB,2133,15-15-15-36,2,
"Team Group Elite Plus Series black, DDR4-2400, CL16 - 8 GB",,Team Group,TPKD48G2400HC1601,0765441623644,,DDR4-2400,8 GB,2400,16-16-16-39,1,
"Team Group T-Force Dark grey, DDR4-3000, CL16 - 16 GB Kit",,Team Group,TDGED416G3000HC16CDC01,0765441633896,,DDR4-3000,16 GB,3000,16-18-18-38,2,
"Team Group T-Force Dark red, DDR4-3000, CL16 - 16 GB Kit",,Team Group,TDRED416G3000HC16CDC01,0765441633858,,DDR4-3000,16 GB,3000,16-18-18-38,2,
Team Group T-Force Nighthawk,,Team Group,THBD416G3200HC16CDC01,0765441634299,,DDR4-3200,16 GB,3200,16-18-18-38,2,
"Team Group T-Force Nighthawk, blaue LED, DDR4-3000, CL16 - 16 GB Kit",,Team Group,THBD416G3000HC16CDC01,0765441634282,,DDR4-3000,16 GB,3000,16-18-18-38,2,
"Team Group T-Force Nighthawk, blaue LED, DDR4-3200, CL16 - 32 GB Kit",,Team Group,THBD432G3200HC16CDC01,0765441634312,,DDR4-3200,32 GB,3200,16-18-18-38,2,
"Team Group T-Force Nighthawk, rote LED, DDR4-3000, CL16 - 16 GB Kit",,Team Group,THRD416G3000HC16CDC01,0765441634114,,DDR4-3000,16 GB,3000,16-18-18-38,2,
"Team Group T-Force Nighthawk, rote LED, DDR4-3200, CL16 - 16 GB Kit",,Team Group,THRD416G3200HC16CDC01,0765441634145,,DDR4-3200,16 GB,3200,16-18-18-38,2,
"Team Group T-Force Nighthawk, rote LED, DDR4-3200, CL16 - 32 GB Kit",,Team Group,THRD432G3200HC16CDC01,0765441634138,,DDR4-3200,32 GB,3200,16-18-18-38,2,
"Team Group T-Force Nighthawk, weiße LED, DDR4-3000, CL16 - 16 GB Kit",,Team Group,THWD416G3000HC16CDC01,0765441634206,,DDR4-3000,16 GB,3000,16-18-18-38,2,
"Team Group T-Force Nighthawk, weiße LED, DDR4-3200, CL16 - 32 GB Kit",,Team Group,THWD432G3200HC16CDC01,0765441634237,,DDR4-3200,32 GB,3200,16-18-18-38,2,
"Team Group Vulcan Series Gold, DDR4-3000, CL16 - 32 GB Kit",,Team Group,TLYED432G3000HC16AQC01,0765441625273,,DDR4-3000,32 GB,3000,16-16-16-36,4,
"Team Group Vulcan Series white, DDR4-3000, CL16 - 16 GB Kit",,Team Group,TLWED416G3000HC16AQC01,0765441626140,,DDR4-3000,16 GB,3000,16-16-16-36,4,
Thermaltake Toughram RGB DDR4-3200 CL16 - 16 GB Dual-Kit,$96.83 USD,Thermaltake,R009D408GX2-3200C16A,4713227522069,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/Thermaltake-TOUGHRAM-Motherboard-Syncable-R009D408GX2-3200C16A/dp/B07XVZHHXS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07XVZHHXS
Thermaltake Toughram RGB DDR4-3600 CL18 - 16 GB Dual-Kit,$107.5 USD,Thermaltake,R009D408GX2-3600C18B,4713227522076,,DDR4-3600,16 GB,3600,18-22-22-42,2,https://www.amazon.ca/Thermaltake-TOUGHRAM-Motherboard-Syncable-R009D408GX2-3600C18B/dp/B07XVZWQLQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07XVZWQLQ
ADATA Premier Series DDR3-1600 CL11,,Adata,AD3U1600W4G11-B,5712505187272,,DDR3-1600,4 GB,1600,,1,
ADATA Premier Series DDR3-1600 CL11,$67.87 USD,Adata,AD3U1600W8G11-R,4713435794159,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/-DATA-Premier-1600Mhz-Desktop-AD3U1600W8G11-R/dp/B007UHFW2W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007UHFW2W
ADATA XPC V1.0 DDR3-1600 CL9,,Adata,AX3U1600W8G9-DB,4713435798379,,DDR3-1600,16 GB,1600,,2,
