Name,Price,Producer,MPN,EAN,UPC,Resolution,Refresh Rate,Size,Panel,Response Time,HDMI,DisplayPort,DVI,VGA,Speaker,Curved,Adjustable Height,Sync,Product Page
ASUS PG27AQ,,ASUS,90LM01F0-B01370,4712900142501,,3840 × 2160,60 Hz,"27""",IPS,4,1,1,0,0,True,False,True,G-Sync,
ASUS PG348Q,,ASUS,90LM02A0-B01370,4712900164534,,3440 x 1440,122 Hz,"34""",IPS,5,0,0,0,0,True,True,True,G-Sync,
ASUS ProArt PA32UC-K,,ASUS,90LM03H0-B02370,4712900903720,,3840 × 2160,60 Hz,"32""",IPS,5,0,0,0,0,True,False,True,,
ASUS ROG Strix PG43UQ,,ASUS,90LM05J0-B01170,4718017533058,,3840 × 2160,144 Hz,"43""",VA,4,0,0,0,0,True,False,False,,
ASUS ROG Strix XG258Q 62,,ASUS,90LM03U0-B01370,4712900808186,,1920 x 1080,240 Hz,"24.5""",TN,1,0,0,0,0,False,False,True,FreeSync,
ASUS ROG Strix XG279Q,,ASUS,90LM05D0-B01370,4718017463416,,2560 x 1440,170 Hz,"27""",IPS,1,0,0,0,0,False,False,True,,
ASUS ROG Strix XG27UQ,,ASUS,90LM05A0-B01370,4718017460231,,3840 × 2160,144 Hz,"27""",IPS,4,0,0,0,0,False,False,True,,
ASUS ROG Strix XG27VQ,,ASUS,90LM03G0-B01970,4712900712940,,1920 x 1080,144 Hz,"27""",VA,4,0,0,0,0,False,True,True,FreeSync,
ASUS ROG Strix XG32VC,,ASUS,90LM03S0-B04170,4718017790536,,2560 x 1440,170 Hz,"31.5""",VA,4,0,0,0,0,False,False,True,,
ASUS ROG Strix XG32VQ,,ASUS,90LM03S0-B01170,4712900805949,,3440 x 1440,100 Hz,"31.5""",VA,4,0,0,0,0,False,True,True,FreeSync,
ASUS ROG Strix XG32VQR,,ASUS,90LM03S0-B02170,4718017134859,,2560 x 1440,144 Hz,"31.5""",VA,4,0,0,0,0,False,True,True,FreeSync,
ASUS ROG Strix XG438QR,,ASUS,90LM04U0-B02170,4718017940283,,3840 × 2160,120 Hz,"43""",VA,4,0,0,0,0,True,False,False,,
ASUS ROG Strix XG43UQ,,ASUS,90LM0590-B02170,4718017500272,,3840 × 2160,144 Hz,"43""",VA,1,0,0,0,0,True,False,False,,
ASUS ROG Strix XG43VQ,,ASUS,90LM04U0-B01170,4718017465564,,3840 x 1200,120 Hz,"43""",VA,1,0,0,0,0,True,True,True,FreeSync,
ASUS ROG Strix XG49VQ,,ASUS,90LM04H0-B01170,4718017169349,,3840 x 1080,144 Hz,"49""",VA,4,0,0,0,0,False,False,True,FreeSync,
ASUS ROG Swift PG259QN 62,,ASUS,90LM05Q0-B01370,4718017819466,,1920 x 1080,360 Hz,"24.5""",IPS,1,0,0,0,0,False,False,True,,
ASUS ROG Swift PG278QE,,ASUS,90LM00U5-B02370,4718017278188,,2560 x 1440,165 Hz,"27""",TN,1,0,0,0,0,False,False,True,,
ASUS ROG Swift PG278QR,,ASUS,90LM00U3-B01370,4712900470994,,2560 x 1440,165 Hz,"27""",TN,1,0,0,0,0,False,False,True,,
ASUS ROG Swift PG279QM,,ASUS,90LM0235-B01370,4718017978446,,2560 x 1440,240 Hz,"27""",IPS,1,0,0,0,0,True,False,True,,
ASUS ROG Swift PG27UQ,$1344.3 USD,ASUS,90LM03A0-B01370,4712900711929,,3840 × 2160,144 Hz,"27""",IPS,4,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B07F1VGGLK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS ROG Swift PG27VQ ROG Swift,,ASUS,90LM03N3-B01370,4712900715088,,2560 x 1440,165 Hz,"27""",TN,1,0,0,0,0,False,True,True,,
ASUS ROG Swift PG349Q,,ASUS,90LM04L0-B01170,4718017234191,,3440 x 1440,120 Hz,"34""",IPS,4,0,0,0,0,False,True,True,,
ASUS ROG Swift PG35VQ,,ASUS,90LM03T0-B02370,4718017308762,,3440 x 1440,200 Hz,"35""",VA,2,0,0,0,0,False,True,True,,
ASUS ROG Swift PG65UQ,,ASUS,90LM0460-B01370,4718017108614,,3840 × 2160,144 Hz,"64.5""",VA,4,0,0,0,0,True,False,False,,
ASUS STRIX XG27AQM,,ASUS,90LM06U5-B01370,4711081104186,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,False,False,True,,
ASUS TUF Gaming VG246H,,ASUS,90LM06K0-B01170,4718017853057,,1920 x 1080,75 Hz,"23.8""",IPS,1,0,0,0,0,False,False,False,,
ASUS TUF Gaming VG247Q1A,,ASUS,90LM0751-B01170,4711081008408,,1920 x 1080,165 Hz,"23.8""",VA,4,0,0,0,0,True,False,False,,
ASUS TUF Gaming VG249Q,$218.33 USD,ASUS,90LM05E0-B01170,4718017485395,,1920 x 1080,144 Hz,"23.8""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B0829S7178?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS TUF Gaming VG24VQ,,ASUS,90LM0570-B01170,4718017529037,192876529034,1920 x 1080,144 Hz,"23.6""",VA,4,0,0,0,0,True,True,True,FreeSync,
ASUS TUF Gaming VG24VQE,,ASUS,90LM0575-B01170,4718017881715,,1920 x 1080,165 Hz,"23.6""",VA,4,0,0,0,0,True,False,False,,
ASUS TUF Gaming VG259QR,,ASUS,90LM0530-B03370,4718017895354,,1920 x 1080,165 Hz,"24.5""",IPS,1,0,0,0,0,False,False,True,,
ASUS TUF Gaming VG27AQ,$290.14 USD,ASUS,90LM0500-B01370,4718017296762,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07WQ4FXY9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS TUF Gaming VG27AQ1A,,ASUS,90LM05Z0-B02370,4718017784047,,2560 x 1440,170 Hz,"27""",IPS,4,0,0,0,0,True,False,False,,
ASUS TUF Gaming VG27BQ,$289.41 USD,ASUS,90LM04Z0-B01370,4718017296779,,2560 x 1440,144 Hz,"27""",TN,[],0,0,0,0,False,True,True,FreeSync,https://www.amazon.ca/dp/B07WPFP6S4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS TUF Gaming VG27VH1B,,ASUS,90LM0691-B01170,4718017691123,,1920 x 1080,165 Hz,"27""",VA,4,0,0,0,0,True,False,False,,
ASUS TUF Gaming VG27VQ,,ASUS,90LM0510-B01E70,4718017472869,,1920 x 1080,165 Hz,"27""",VA,4,0,0,0,0,True,False,True,FreeSync,
ASUS TUF Gaming VG27WQ,,ASUS,90LM05F0-B01E70,4718017556286,,2560 x 1440,165 Hz,"27""",VA,4,0,0,0,0,True,False,True,FreeSync,
ASUS TUF Gaming VG32VQ,,ASUS,90LM04I0-B01170,4718017255097,,2560 x 1440,144 Hz,"31.5""",VA,4,0,0,0,0,False,False,True,FreeSync,
ASUS VC239H,,ASUS,90LM01E2-B02470,4712900042931,889349042939,1920 x 1080,60 Hz,"23""",IPS,5,1,0,1,1,True,False,False,,
ASUS VC279H,,ASUS,90LM01D0-B02670,4712900017670,,1920 x 1080,60 Hz,"27""",IPS,5,1,0,1,1,True,False,False,,
ASUS VC279H-W,,ASUS,90LM01D2-B02670,4712900173253,,1920 x 1080,60 Hz,"27""",IPS,5,1,0,1,1,True,False,False,,
ASUS VC279HE,,ASUS,90LM01D0-B03670,4718017052443,,1920 x 1080,60 Hz,"27""",IPS,5,0,0,0,0,True,False,False,,
ASUS VE247H,$112.43 USD,ASUS,90LMC2101Q01041C,4719543331521,,1920 x 1080,60 Hz,"24""",TN,2,1,0,1,1,True,False,False,,https://www.amazon.ca/dp/B004EFUOY4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VE248HR,,ASUS,90LMC3001Q02231C-,4712900135695,,1920 x 1080,60 Hz,"24""",TN,1,1,0,1,1,True,False,False,,
ASUS VG245H,,ASUS,90LM02V0-B01370,4712900413861,889349413869,1920 x 1080,122 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,
ASUS VG245HE,,ASUS,90LM02V3-B01370,4712900463279,889349463277,1920 x 1080,122 Hz,"24""",TN,1,0,0,0,0,True,False,False,FreeSync,
ASUS VG245Q,,ASUS,90LM02V0-B02370,4712900642742,,1920 x 1080,122 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,
ASUS VG248QE,$257.5 USD,ASUS,90LMGG301Q022E1C-,4716659325178,886227325177,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,False,,https://www.amazon.ca/VG248QE-1920x1080-144Hz-Gaming-Monitor/dp/B00B19T7QC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00B19T7QC
ASUS VG248QZ,,ASUS,90LMGG701Q022E1C,4718017100540,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,,
ASUS VG255H,,ASUS,90LM0440-B01370,4712900977165,889349977163,1920 x 1080,75 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,
ASUS VG258Q,,ASUS,90LM0450-B01370,4712900977172,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,
ASUS VG258QR,,ASUS,90LM0453-B01370,4718017122801,192876122808,1920 x 1080,165 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,
ASUS VG259QM,$325.69 USD,ASUS,90LM0530-B02370,4718017571319,,1920 x 1080,280 Hz,"24.5""",IPS,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B0876KP2CK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VG275Q,$204.55 USD,ASUS,90LM03K0-B01370,4712900701777,,1920 x 1080,60 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B071KHHDNK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VG278Q,,ASUS,90LM03P0-B01370,4712900747171,,1920 x 1080,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,
ASUS VG278QF,,ASUS,90LM03P3-B02370,4718017177818,,1920 x 1080,165 Hz,"27""",TN,1,0,0,0,0,False,False,False,FreeSync,
ASUS VG278QR,$217.61 USD,ASUS,90LM03P3-B01370,4718017122795,,1920 x 1080,165 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B07XV1519W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VG279Q,,ASUS,90LM04G0-B01370,4718017134927,192876134924,1920 x 1080,144 Hz,"27""",IPS,3,0,0,0,0,True,False,True,FreeSync,
ASUS VG289Q,,ASUS,90LM05B0-B01170,4718017437967,192876437964,3840 × 2160,60 Hz,"28""",IPS,5,0,0,0,0,False,False,True,FreeSync,
ASUS VK248H,,ASUS,90LMF5001Q01241C-,4716659019824,,1920 x 1080,60 Hz,"24""",TN,2,0,0,0,0,True,False,False,,
ASUS VN279QLB,,ASUS,90LM00E1-B01370,4716659456773,886227456772,1920 x 1080,60 Hz,"27""",VA,5,0,0,0,0,True,False,True,,
ASUS VP228HE,,ASUS,90LM01K0-B05170,4712900510164,889349510162,1920 x 1080,60 Hz,"21.5""",TN,1,0,0,0,0,True,False,False,,
ASUS VP247H,,ASUS,90LM01L3-B01170,4712900099003,,1920 x 1080,60 Hz,"24""",TN,1,1,0,1,1,True,False,False,,
ASUS VP247HA,,ASUS,90LM01L0-B02370,4712900367669,,1920 x 1080,60 Hz,"23.6""",VA,5,1,0,0,1,False,False,False,,
ASUS VP248H,,ASUS,90LM0480-B01170,4718017031202,,1920 x 1080,122 Hz,"24""",TN,1,0,0,0,0,True,False,False,FreeSync,
ASUS VP249QGR,,ASUS,90LM03L0-B03170,4718017502337,,1920 x 1080,144 Hz,"23.8""",IPS,4,0,0,0,0,False,False,False,FreeSync,
ASUS VP278QG,,ASUS,90LM01M0-B05170,4712900735536,,1920 x 1080,122 Hz,"27""",TN,1,0,0,0,0,True,False,False,FreeSync,
ASUS VP28UQG,,ASUS,90LM03M0-B01170,4712900748017,,3840 × 2160,60 Hz,"28""",TN,1,0,0,0,0,False,False,False,FreeSync,
ASUS VS229HA,,ASUS,90LME9001Q02231C,4716659565970,,1920 x 1080,60 Hz,"21.5""",VA,5,1,0,1,1,False,False,False,,
ASUS VS247HR,,ASUS,90LME2501T02231C-,4716659551782,,1920 x 1080,60 Hz,"23.6""",TN,2,0,0,0,0,False,False,False,,
ASUS VS278H,,ASUS,90LMF6001Q02271C-,4716659722793,886227722792,1920 x 1080,60 Hz,"27""",TN,1,0,0,0,0,True,False,False,,
ASUS VS278Q,,ASUS,90LMF6101Q01081C-,4716659177722,,1920 x 1080,60 Hz,"27""",TN,1,0,0,0,0,True,False,False,,
ASUS VX238H,,ASUS,90LMGB001R02271C-,4716659219217,,1920 x 1080,60 Hz,"24""",TN,1,2,0,2,1,True,False,False,,
ASUS VX239H,,ASUS,90LM00F3-B01170,4716659447559,,1920 x 1080,60 Hz,"23""",IPS,5,1,0,0,1,True,False,False,,
ASUS VX239H-W,,ASUS,90LM00F2-B01470,4716659584520,,1920 x 1080,60 Hz,"23""",IPS,5,1,0,0,1,True,False,False,,
ASUS VX248H,,ASUS,90LM00M3-B01370,4716659764557,,1920 x 1080,60 Hz,"24""",TN,1,2,0,2,1,True,False,False,,
ASUS VX24AH,,ASUS,90LM0110-B01370,4716659901150,886227901159,2560 x 1440,60 Hz,"24""",IPS,5,0,0,0,0,True,False,False,,
ASUS VX278Q,,ASUS,90LM01I5-B01170,4712900035568,,1920 x 1080,60 Hz,"27""",TN,1,0,0,0,0,True,False,False,,
ASUS VX279H,,ASUS,90LM00G3-B01470,4716659764540,,1920 x 1080,60 Hz,"27""",IPS,5,1,0,0,1,True,False,False,,
ASUS VX279H-W,,ASUS,90LM00G2-B01470,4716659919513,,1920 x 1080,60 Hz,"27""",IPS,5,1,0,0,1,True,False,False,,
ASUS VX279Q,,ASUS,90LM00G0-B01470,4716659447436,,1920 x 1080,60 Hz,"27""",IPS,5,1,1,0,1,False,False,False,,
ASUS VZ229H,,ASUS,90LM02PC-B01670,4712900362565,,1920 x 1080,60 Hz,"21.5""",IPS,5,1,0,0,1,False,False,False,,
ASUS VZ249Q,,ASUS,90LM02QC-B02670,4712900497755,,1920 x 1080,60 Hz,"24""",IPS,5,0,0,0,0,True,False,False,,
ASUS VZ279Q,,ASUS,90LM02XC-B02470,4712900584318,,1920 x 1080,60 Hz,"27""",IPS,5,0,0,0,0,True,False,False,,
ASUS XG248Q ROG Strix,,ASUS,90LM03Z0-B01A70,4712900924442,,1920 x 1080,240 Hz,"24""",TN,1,0,0,0,0,False,False,True,FreeSync,
ASUS XG35VQ,,ASUS,90LM03Q0-B01170,4712900830958,889349830956,3440 x 1440,122 Hz,"35""",VA,4,0,0,0,0,False,True,True,FreeSync,
ASUSTUF Gaming VG289Q1A,$108.8 USD,ASUS,90LM05B0-B02170,4718017953443,,3840 × 2160,60 Hz,"28""",IPS,5,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08LCN9PGW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
BenQ GL2760H,,BenQ,9H.LC8LA.TBE,4718755051982,,1920 x 1080,60 Hz,"27""",TN,2,1,0,1,1,False,False,False,,
BenQ GW2765HT,,BenQ,9H.LCELA.TBE,4718755052651,,2560 x 1440,60 Hz,"27""",IPS,4,1,1,1,1,True,False,True,,
BenQ SW2700PT,$580.29 USD,BenQ,9H.LDKLB.QBE,4718755059551,,2560 x 1440,60 Hz,"27""",IPS,5,1,1,1,0,False,False,True,,https://www.amazon.ca/dp/B012UNOCJY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Dell Alienware AW2521HFA 62,,Dell,210-AXRO,5397184409589,,1920 x 1080,240 Hz,"24.5""",IPS,1,0,0,0,0,False,False,True,,
Dell Gaming G2722HS,,Dell,DELL-G2722HS,5397184567807,,1920 x 1080,165 Hz,"27""",IPS,1,0,0,0,0,False,False,True,,
EIZO ColorEdge CG2420,$1718.68 USD,EIZO,CG2420,4995047048084,690592041118,1920 x 1200,60 Hz,"24""",IPS,10,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B01BUILA5E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
EIZO ColorEdge CG2730,,EIZO,CG2730,4995047049463,,2560 x 1440,60 Hz,"27""",IPS,10,0,0,0,0,False,False,True,,
EIZO ColorEdge CG277-BK,$2360.5 USD,EIZO,CG277-BK,4995047044352,,2560 x 1440,60 Hz,"27""",IPS,6,0,0,0,0,False,False,True,,https://www.amazon.ca/EIZO-CG277-BK-ColorEdge-Professional-Graphics/dp/B00IT5XKX2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IT5XKX2
EIZO ColorEdge CS2420,,EIZO,CS2420,4995047048091,,1920 x 1200,60 Hz,"24""",IPS,15,0,0,0,0,False,False,True,,
EIZO ColorEdge CS2730,,EIZO,CS2730,4995047049470,,2560 x 1440,60 Hz,"27""",IPS,10,0,0,0,0,False,False,True,,
EIZO FlexScan EV2450-BK,$409.11 USD,EIZO,EV2450-BK,4995047045564,690592038590,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B00NF3EMNA?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
EIZO FlexScan EV2450-GY,,EIZO,EV2450-GY,4995047045557,,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,True,False,True,,
EIZO FlexScan EV2451-BK,,EIZO,EV2451-BK,4995047049661,,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,True,False,True,,
EIZO FlexScan EV2456,,EIZO,EV2456-BK,4995047049722,690592042757,1920 x 1200,60 Hz,"24""",IPS,5,0,0,0,0,True,False,True,,
EIZO FlexScan EV2730Q-BK,,EIZO,EV2730Q-BK,4995047045526,,1920 x 1920,60 Hz,"27""",IPS,5,0,0,0,0,True,False,True,,
EIZO FlexScan EV2780-BK,,EIZO,EV2780-BK,4995047049838,,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,
EIZO FlexScan EV2780-WT,,EIZO,EV2780-WT,4995047049845,690592042870,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,True,False,True,,
EIZO FlexScan EV2785-BK,,EIZO,EV2785-BK,4995047051855,690592044881,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,True,False,True,,
EIZO FlexScan EV2785-WT,,EIZO,EV2785-WT,4995047051862,,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,True,False,True,,
EIZO FlexScan EV3285-BK,,EIZO,EV3285-BK,4995047051893,690592044928,3840 × 2160,60 Hz,"31.5""",IPS,5,0,0,0,0,True,False,True,,
EIZO FlexScan EV3285-WT,,EIZO,EV3285-WT,4995047051909,,3840 × 2160,60 Hz,"31.5""",IPS,5,0,0,0,0,True,False,True,,
EIZO Foris FS2434-BK,,EIZO,FS2434-BK,4995047045236,,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,False,False,True,,
EIZO Foris FS2735,,EIZO,FS2735,4995047048398,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,False,False,True,,
Gigabyte Aorus AD27QD,,Gigabyte,TFBU-054,4719331804749,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,False,False,True,FreeSync,
Gigabyte Aorus CV27F,,Gigabyte,AORUS CV27F,4719331805821,,1920 x 1080,165 Hz,"27""",VA,1,0,0,0,0,False,False,True,FreeSync,
Gigabyte Aorus CV27Q,,Gigabyte,AORUS CV27Q,4719331805920,,2560 x 1440,165 Hz,"27""",VA,4,0,0,0,0,False,False,True,FreeSync,
Gigabyte Aorus FI27Q,,Gigabyte,AORUS FI27Q,4719331806392,,2560 x 1440,165 Hz,"27""",IPS,4,0,0,0,0,False,False,True,FreeSync,
Gigabyte Aorus FI27Q-P,,Gigabyte,AORUS FI27Q-P,4719331806538,,2560 x 1440,165 Hz,"27""",IPS,4,0,0,0,0,False,False,True,FreeSync,
Gigabyte Aorus FI27Q-X,,Gigabyte,AORUS FI27Q-X,4719331808730,,2560 x 1440,240 Hz,"27""",IPS,"0,3",0,0,0,0,False,False,True,,
Gigabyte Aorus FI32Q,,Gigabyte,AORUS FI32Q-EU,4719331811266,,2560 x 1440,170 Hz,"31.5""",IPS,1,0,0,0,0,False,False,False,,
Gigabyte Aorus FO48U,,Gigabyte,AORUS FO48U,4719331814762,,3840 × 2160,120 Hz,"48.8""",OLED,1,0,0,0,0,False,False,False,,
Gigabyte Aorus FV43U,,Gigabyte,AORUS FV43U,4719331810924,,3840 × 2160,144 Hz,"43""",VA,1,0,0,0,0,True,False,False,,
Gigabyte Aorus KD25F,,Gigabyte,AORUS KD25F,4719331805500,,1920 x 1080,240 Hz,"24""",TN,"0,5",0,0,0,0,False,False,True,FreeSync,
GIGABYTE G24F 2,,Gigabyte,G24F 2,4719331836566,,1920 x 1080,165 Hz,"23.8""",IPS,1,0,0,0,0,False,False,True,,
GIGABYTE G27F 2,,Gigabyte,G27F 2,4719331836306,,1920 x 1080,165 Hz,"27""",IPS,1,0,0,0,0,False,False,True,,
Gigabyte G27FC,,Gigabyte,G27FC,4719331807825,,1920 x 1080,165 Hz,"27""",VA,4,0,0,0,0,False,True,True,FreeSync,
Gigabyte G27FC-A,,Gigabyte,G27FC-A,4719331811419,,1920 x 1080,165 Hz,"27""",VA,1,0,0,0,0,True,False,True,,
Gigabyte G32QC,,Gigabyte,G32QC-EK,4719331808181,,2560 x 1440,165 Hz,"31.5""",VA,4,0,0,0,0,False,False,True,FreeSync,
Gigabyte G34WQC A,,Gigabyte,G34WQC A,4719331822842,889523028650,3440 x 1440,144 Hz,"34""",VA,1,0,0,0,0,False,False,True,,
Gigabyte M27Q X,,Gigabyte,M27Q X,4719331814724,,2560 x 1440,240 Hz,"27""",IPS,1,0,0,0,0,True,False,True,,
Gigabyte M32Q,,Gigabyte,M32Q,4719331809928,,2560 x 1440,170 Hz,"31.5""",IPS,"0,8",0,0,0,0,True,False,True,,
Gigabyte M32QC,,Gigabyte,M32QC,4719331810474,,2560 x 1440,165 Hz,"31.5""",VA,1,0,0,0,0,False,False,True,,
Gigabyte M32U,,Gigabyte,M32U,4719331809980,,3840 × 2160,144 Hz,"31.5""",IPS,1,0,0,0,0,False,False,True,,
Gigabyte M34WQ,,Gigabyte,M34WQ,4719331814618,,3440 x 1440,144 Hz,"34""",IPS,1,0,0,0,0,True,False,True,,
HP Envy 34 curved,,HP,W3T65AA#ABB,0889899541753,,3440 x 1440,60 Hz,"34""",VA,6,0,0,0,0,True,True,False,,
HP Omen 25,,HP,Z7Y57AA#ABB,0190781396475,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,False,False,False,,
HP Omen X,,HP,X3W57AA#ABB,0889899871591,,3440 x 1440,100 Hz,"35""",VA,4,0,0,0,0,False,False,True,G-Sync,
HP Omen X 25,,HP,4NK94AA#ABB,0192545806480,,1920 x 1080,240 Hz,"24.5""",TN,3,0,0,0,0,False,False,True,,
HP Pavilion 32,$348.17 USD,HP,4WH45AA#ABB,0193015261624,,2560 x 1440,60 Hz,"31.5""",VA,5,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07PDMYM5K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HP Pavilion Gaming 25x 62,$223.3 USD,HP,3WL50AA#ABB,0192545252577,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07FJZ9J4F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HP Pavilion Gaming 27xq 68,$355.5 USD,HP,3WL54AA#ABB,0192545213608,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07FCHFH3Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HP Pavilion Gaming 32 HDR,$435.22 USD,HP,3BZ12AA#ABB,0192545588386,,2560 x 1440,122 Hz,"32""",VA,5,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07CMK62BG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HP U28,,HP,1Z980AA#ABB,0194850451683,,3840 × 2160,60 Hz,"28""",IPS,4,0,0,0,0,False,False,False,,
HP X24ih,,HP,2W925AA#ABB,0194850573828,,1920 x 1080,144 Hz,"23.8""",IPS,1,0,0,0,0,False,False,False,,
iiyama G-Master G2770HSU-B1 Red Eagle,,iiyama,G2770HSU-B1,4948570117741,,1920 x 1080,165 Hz,"27""",IPS,"0,8",0,0,0,0,True,False,False,,
iiyama G-Master GB2760QSU-B1 Red Eagle,,iiyama,GB2760QSU-B1,4948570115419,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,,
iiyama ProLite XUB2493QSU-B1,,iiyama,XUB2493QSU-B1,4948570118557,,2560 x 1440,60 Hz,"23.8""",IPS,4,0,0,0,0,True,False,True,,
iiyama ProLite XUB3293UHSN-B1,,iiyama,XUB3293UHSN-B1,4948570118175,,3840 × 2160,60 Hz,"31.5""",IPS,4,0,0,0,0,True,False,True,,
Lamptron HM101 - Hardware Monitor und virtuelle Tastatur,,Lamptron,LAMP-HM101T,6900628202838,,1920 x 1080,75 Hz,"10.1""",IPS,[],0,0,0,0,False,False,False,,
Lamptron HM101 Hardware Monitor,,Lamptron,LAMP-HM101,6900628202647,,1920 x 1080,60 Hz,"10 Zoll""",IPS,[],0,0,0,0,False,False,False,,
Lamptron HM140 - Hardware Monitor,,Lamptron,LAMP-HM140,6900628202678,,3840 x 1100 Pixel,75 Hz,"14""",IPS,[],0,0,0,0,False,False,False,,
Lamptron HX070 - Hardware Monitor,,Lamptron,LAMP-HX070,6900628401934,,1024 x 600 Pixel,60 Hz,"7""",IPS,[],0,0,0,0,False,False,False,,
LG 24BK550Y-B,$141.44 USD,LG,24BK550Y-B.AEU,8806084080233,,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B01N9Z9SFO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
LG 24BK750Y-B,,LG,24BK750Y-B.AEU,8806084657282,,1920 x 1080,60 Hz,"23.8""",IPS,5,1,1,1,0,False,False,True,,
LG 24BN650Y-B,,LG,24BN650Y-B,8806098738298,,1920 x 1080,122 Hz,"23.8""",IPS,5,0,0,0,0,False,False,True,,
LG 24BP450S-B,,LG,24BP450S-B.AEU,8806091581877,,1920 x 1080,75 Hz,"23.8""",IPS,5,0,0,0,0,True,False,True,,
LG 24GL600F-B,$145.07 USD,LG,24GL600F-B,8806098421145,,1920 x 1080,144 Hz,"23.6""",TN,1,0,0,0,0,False,False,False,,https://www.amazon.ca/LG-Ultragear-24GL600F-B-FreeSync-Technology/dp/B07NHSJ1RF?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07NHSJ1RF
LG 24GM79G-B,$203.09 USD,LG,24GM79G-B.AEU,8806084472786,,1920 x 1080,144 Hz,"24""",TN,1,1,1,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B06Y634VP9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
LG 24MB56HQ-B,,LG,24MB56HQ-B,8806084891822,,1920 x 1080,122 Hz,"24""",IPS,5,1,1,0,1,False,False,True,,
