Name,Price,Producer,MPN,EAN,UPC,Form Factor,Protocol,Size,NAND,Controller,Product Page
Corsair MP600 Pro XT 4000 GB,$512.29 USD,Corsair,CSSD-F4000GBMP600PXT,0840006645108,,M.2,NVM,4000 GB,TLC,Phison PS5018-E18,https://www.amazon.ca/dp/B09F5XC93H?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair MP600 R2 1000 GB,$68.9 USD,Corsair,CSSD-F1000GBMP600R2,0840006656753,,M.2,NVM,1000 GB,3D TLC,Phisons PS5016-E16,https://www.amazon.ca/dp/B09M8PRGPT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Neutron Series XTi,,Corsair,CSSD-N480GBXTI,0843591091329,,SATA,SATA,480 GB,MLC,Phison PS3110-S10,
Corsair Neutron Series XTi,,Corsair,CSSD-N960GBXTI,0843591091336,,SATA,SATA,960 GB,MLC,Phison PS3110-S10,
Corsair Neutron Series XTi,,Corsair,CSSD-N240GBXTI,0843591091312,,SATA,SATA,240 GB,MLC,Phison PS3110-S10,
Corsair Neutron Series XTi,$852.24 USD,Corsair,CSSD-N1920GBXTI,0843591091435,,SATA,SATA,1920 GB,MLC,Phison PS3110-S10,https://www.amazon.ca/Corsair-Memory-Neutron-1920GB-CSSD-N1920GBXTI/dp/B01JKI686M?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JKI686M
Crucial BX500 - 1 TB 1000 GB,$50.75 USD,Crucial,CT1000BX500SSD1,0649528821553,,SATA,SATA,1000 GB,TLC,Silicon Motion SM2259XT,https://www.amazon.ca/dp/B07YD579WM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial BX500 - 120 GB 120 GB,$26.83 USD,Crucial,CT120BX500SSD1,0649528787316,,SATA,SATA,120 GB,TLC,Silicon Motion SM2258XT,https://www.amazon.ca/dp/B07G3KRZBY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial BX500 - 2 TB 2000 GB,$96.67 USD,Crucial,CT2000BX500SSD1,0649528821584,,SATA,SATA,2000 GB,TLC,Silicon Motion SM2259XT,https://www.amazon.ca/dp/B07YD5F561?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial BX500 - 240 GB 240 GB,$25.38 USD,Crucial,CT240BX500SSD1,0649528787323,,SATA,SATA,240 GB,TLC,Silicon Motion SM2258XT,https://www.amazon.ca/dp/B07G3YNLJB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial BX500 - 480 GB 480 GB,$32.62 USD,Crucial,CT480BX500SSD1,0649528787330,,SATA,SATA,480 GB,TLC,Silicon Motion SM2258XT,https://www.amazon.ca/dp/B07G3KGYZQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial BX500 - 960 GB 960 GB,,Crucial,CT960BX500SSD1,0649528788368,,SATA,SATA,960 GB,TLC,Silicon Motion SM2259XT,
Crucial MX300,$66.92 USD,Crucial,CT275MX300SSD1,0649528777195,,SATA,SATA,275 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Crucial-MX300-275GB-NAND-Internal/dp/B01IAGSD5O?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IAGSD5O
Crucial MX300,$131.29 USD,Crucial,CT525MX300SSD1,0649528777201,,SATA,SATA,525 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Crucial-MX300-525GB-NAND-Internal/dp/B01IAGSD68?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IAGSD68
Crucial MX300,$196.36 USD,Crucial,CT1050MX300SSD1,4540395601667,,SATA,SATA,1000 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Crucial-MX300-NAND-SATA-Internal/dp/B01IAGSDUE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IAGSDUE
Crucial MX300,$321.94 USD,Crucial,CT2050MX300SSD1,0649528778284,,SATA,SATA,2000 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Crucial-MX300-NAND-SATA-Internal/dp/B01KKZLX46?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01KKZLX46
Crucial MX300 275GB TLC,$101.55 USD,Crucial,CT275MX300SSD4,0649528778291,,M.2,SATA,275 GB,,,https://www.amazon.ca/Crucial-MX300-275GB-NAND-Internal/dp/B01IAGSDJ0?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IAGSDJ0
Crucial MX300 M.2 Solid State Drive,$137.05 USD,Crucial,CT525MX300SSD4,0649528778307,,M.2,SATA,525 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Crucial-MX300-525GB-NAND-Internal/dp/B01L80DH4G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01L80DH4G
Crucial MX300 M.2 Solid State Drive,$174.67 USD,Crucial,CT1050MX300SSD4,4540395601704,,M.2,SATA,1000 GB,,,https://www.amazon.ca/Crucial-MX300-NAND-SATA-Internal/dp/B01L80DH1Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01L80DH1Y
Crucial MX500 250 GB,$38.18 USD,Crucial,CT250MX500SSD1,0649528785046,649528785046,SATA,SATA,250 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B0781VSXBP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial MX500 M.2 Solid State Drive 1000 GB,$106.43 USD,Crucial,CT1000MX500SSD4,0649528785107,649528785107,M.2,SATA,1000 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B0784SY515?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial MX500 M.2 Solid State Drive 250 GB,$50.05 USD,Crucial,CT250MX500SSD4,0649528785084,649528785084,M.2,SATA,250 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B077SL4FZG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial MX500 M.2 Solid State Drive 500 GB,$79.78 USD,Crucial,CT500MX500SSD4,0649528785091,649528785091,M.2,SATA,500 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B077SQ8J1V?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial P5 1000 GB,$108.8 USD,Crucial,CT1000P5SSD8,0649528823311,,M.2,NVM,1000 GB,TLC,Micron,https://www.amazon.ca/dp/B087QRVVVH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial P5 2000 GB,$251.01 USD,Crucial,CT2000P5SSD8,0649528823328,,M.2,NVM,2000 GB,TLC,Micron,https://www.amazon.ca/dp/B0892TWDP1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial P5 250 GB,$50.77 USD,Crucial,CT250P5SSD8,0649528823236,,M.2,NVM,250 GB,TLC,Micron,https://www.amazon.ca/dp/B0892TH611?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial P5 500 GB,$68.9 USD,Crucial,CT500P5SSD8,0649528823304,,M.2,NVM,500 GB,TLC,Micron,https://www.amazon.ca/dp/B087QTMXS7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial P5 Plus 1000 GB,$88.63 USD,Crucial,CT1000P5PSSD8,0649528906663,,M.2,NVM,1000 GB,TLC,Micron,https://www.amazon.ca/dp/B098WL46RS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial P5 Plus 2000 GB,$181.73 USD,Crucial,CT2000P5PSSD8,0649528906670,,M.2,NVM,2000 GB,TLC,Micron,https://www.amazon.ca/dp/B098WKQRDL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Crucial P5 Plus 500 GB,$61.75 USD,Crucial,CT500P5PSSD8,0649528906656,,M.2,NVM,500 GB,TLC,Micron,https://www.amazon.ca/dp/B098W1NDV2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Gigabyte,,Gigabyte,GP-GSM2NE8512GNTD,4719331804282,,M.2,NVM,512 GB,TLC,Phison PS5008-E8T/li>,
Gigabyte 1000 GB,,Gigabyte,GP-GSTFS31100TNTD,4719331804565,889523015575,SATA,SATA,1000 GB,TLC,,
Gigabyte 1000 GB,,Gigabyte,GP-GSM2NE3100TNTD,4719331806897,,M.2,NVM,1000 GB,,,
Gigabyte 120 GB,$28.79 USD,Gigabyte,GP-GSTFS31120GNTD,4719331803704,889523014264,SATA,SATA,120 GB,,,https://www.amazon.ca/Gigabyte-GIGABYTE-120GB-Flash-Internal/dp/B07GJKR7RX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GJKR7RX
Gigabyte 128 GB,,Gigabyte,GP-GSM2NE3128GNTD,4719331806866,,M.2,NVM,128 GB,,,
Gigabyte 240 GB,$41.11 USD,Gigabyte,GP-GSTFS31240GNTD,4719331803711,889523014271,SATA,SATA,240 GB,,,https://www.amazon.ca/dp/B07G5RD1XK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Gigabyte 256 GB,,Gigabyte,GP-GSTFS31256GTND,4719331804329,,SATA,SATA,256 GB,,,
Gigabyte 256 GB,,Gigabyte,GP-GSM2NE3256GNTD,4719331806873,,M.2,NVM,256 GB,,,
Gigabyte 480 GB,$65.28 USD,Gigabyte,GP-GSTFS31480GNTD,4719331804787,889523015896,SATA,SATA,480 GB,,,https://www.amazon.ca/dp/B07QJ756H8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Gigabyte 512 GB,$82.53 USD,Gigabyte,GP-GSM2NE3512GNTD,4719331806880,,M.2,NVM,512 GB,,,https://www.amazon.ca/Gigabyte-NVMe-3-0x4-512GB-GP-GSM2NE3512GNTD/dp/B07Z9YFX2S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07Z9YFX2S
Gigabyte Aorus 1000 GB,$288.02 USD,Gigabyte,GP-ASM2NE6100TTTD,4719331805784,,M.2,NVM,1000 GB,TLC,Phison PS5016-E16,https://www.amazon.ca/GIGABYTE-PCI-Express-Interface-Performance-GP-ASM2NE6100TTTD/dp/B07TJWZGL9?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07TJWZGL9
Gigabyte Aorus 256 GB,$88.21 USD,Gigabyte,GP-ASM2NE2256GTTDR,4719331804794,,M.2,NVM,256 GB,TLC,Phison PS5012-E12,https://www.amazon.ca/GIGABYTE-AORUS-Nvme-256GB-GP-ASM2NE2256GTTDR/dp/B07PF1SBBS?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07PF1SBBS
Gigabyte Aorus 512 GB,$107.38 USD,Gigabyte,GP-ASM2NE2512GTTDR,4719331804800,,M.2,NVM,512 GB,TLC,Phison PS5012-E12,https://www.amazon.ca/dp/B07QBVWCQL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Gigabyte UD PRO Series 1000 GB,,Gigabyte,GP-UDPRO1T,4719331808631,,SATA,SATA,1000 GB,TLC,,
Gigabyte UD Pro Series 256 GB,$61.24 USD,Gigabyte,GP-GSTFS30256GTTD,4719331803278,,SATA,SATA,256 GB,TLC,Phison PS3110-S10 (8 Kanäle),https://www.amazon.ca/GIGABYTE-256GB-Layer-Flash-Internal/dp/B07D9C7SQR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07D9C7SQR
Gigabyte UD PRO Series 512 GB,,Gigabyte,GP-UDPRO512G,4719331808648,,SATA,SATA,512 GB,TLC,,
Gigabyte UD PRO Series 512 GB,$102.19 USD,Gigabyte,GP-GSTFS30512GTTD,4719331803476,,SATA,SATA,512 GB,TLC,,https://www.amazon.ca/GIGABYTE-512GB-Layer-Flash-Internal/dp/B07D9686LD?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07D9686LD
HyperX Fury Series,,HyperX,SHFS37A/120G,0740617232455,,SATA,SATA,120 GB,MLC,SandForce SF-2281,
HyperX Fury Series,,HyperX,SHFS37A/240G,0740617232479,,SATA,SATA,240 GB,MLC,SandForce SF-2281,
HyperX Fury Series,,HyperX,SHFS37A/480G,0740617253252,,SATA,SATA,480 GB,MLC,SandForce SF-2281,
HyperX Predator Solid State Drive,,HyperX,SHPM2280P2/240G,0740617237429,,M.2,NVM,240 GB,MLC,Marvell 88SS9293,
HyperX Predator Solid State Drive,,HyperX,SHPM2280P2/480G,0740617237443,,M.2,NVM,480 GB,MLC,Marvell 88SS9293,
HyperX Savage Series,,HyperX,SHSS37A/120G,0740617239812,,SATA,SATA,120 GB,,,
HyperX Savage Series,,HyperX,SHSS37A/480G,0740617239850,,SATA,SATA,480 GB,MLC,Phison PS3110-S10,
HyperX Savage Series,,HyperX,SHSS37A/240G,0740617239836,,SATA,SATA,240 GB,MLC,Phison PS3110-S10,
HyperX Savage Series,$378.68 USD,HyperX,SHSS37A/960G,0740617239874,,SATA,SATA,960 GB,MLC,Phison PS3110-S10,https://www.amazon.ca/Kingston-HyperX-Savage-SHSS37A-960G/dp/B00W35L2A2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00W35L2A2
Intel DC S3510 Serie 120GB,,Intel,SSDSC2BB120G601,0735858296236,,SATA,SATA,120 GB,,,
Intel DC S3510 Serie 480GB,,Intel,SSDSC2BB480G601,0735858296274,,SATA,SATA,480 GB,,,
Intel DC S3510 Serie 800GB,,Intel,SSDSC2BB800G601,0735858296298,735858296298,SATA,SATA,800 GB,,,
Intel DC S3710 Serie 200GB,,Intel,SSDSC2BA200G401,0735858287760,735858287760,SATA,SATA,200 GB,,,
Intel DC S3710 Serie 400GB,,Intel,SSDSC2BA400G401,0735858287784,735858287784,SATA,SATA,400 GB,,,
Intel 535 Series 120GB MLC -,,Intel,SSDSCKJW120H601,0675901332941,,M.2,SATA,120 GB,,,
Intel 540s Series,,Intel,SSDSC2KW010X6X1,5032037084659,,SATA,SATA,1000 GB,,,
Intel 540s Series,,Intel,SSDSC2KW120H6X1,5032037084765,,SATA,SATA,120 GB,TLC,Silicon Motion SM2256,
Intel 540s Series,,Intel,SSDSC2KW180H6X1,5032037084574,,SATA,SATA,180 GB,TLC,Silicon Motion SM2256,
Intel 540s Series,,Intel,SSDSC2KW360H6X1,5032037084611,,SATA,SATA,360 GB,TLC,Silicon Motion SM2256,
Intel 540s Series,,Intel,SSDSC2KW480H6X1,5032037084635,,SATA,SATA,480 GB,TLC,Silicon Motion SM2256,
Intel 540s Series,,Intel,SSDSC2KW240H6X1,5032037084598,,SATA,SATA,240 GB,TLC,Silicon Motion SM2256,
Intel 540s Series 240GB TLC -,,Intel,SSDSCKKW240H6X1,5032037084475,,M.2,SATA,240 GB,,,
Intel 540s Series Solid State Drive,,Intel,SSDSCKKW360H6X1,5032037084499,,M.2,SATA,360 GB,TLC,Silicon Motion SM2256,
Intel 540s Series Solid State Drive,,Intel,SSDSCKKW120H6X1,5032037084789,,M.2,SATA,120 GB,TLC,Silicon Motion SM2256,
Intel 540s Series Solid State Drive,,Intel,SSDSCKKW480H6X1,5032037084512,,M.2,SATA,480 GB,TLC,Silicon Motion SM2256,
Intel 540s Series Solid State Drive,,Intel,SSDSCKKW180H6X1,5032037084451,,M.2,SATA,180 GB,TLC,Silicon Motion SM2256,
Intel 540s Series Solid State Drive,$324.8 USD,Intel,SSDSCKKW010X6X1,5032037084536,,M.2,SATA,1000 GB,,,https://www.amazon.ca/Intel-Solid-Stata-Drive-SSDSCKKW010X6X1/dp/B01C786L4G?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01C786L4G
Intel 600P Series,,Intel,SSDPEKKW010T7X1,0675901401401,,M.2,NVM,1000 GB,,,
Intel 600P Series,,Intel,SSDPEKKW512G7X1,5032037087797,735858318280,M.2,NVM,512 GB,TLC,Silicon Motion SM2260,
Intel 600P Series,,Intel,SSDPEKKW256G7X1,5032037087773,735858318266,M.2,NVM,256 GB,TLC,Silicon Motion SM2260,
Intel 600P Series,,Intel,SSDPEKKW128G7X1,5032037087759,,M.2,NVM,128 GB,TLC,Silicon Motion SM2260,
Intel 660P Series,$109.71 USD,Intel,SSDPEKNW010T8X1,0735858381086,735858381512,M.2,NVM,1000 GB,QLC,Silicon Motion SM2263EN,https://www.amazon.ca/dp/B07GCL6BR4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel 760p Series,$93.42 USD,Intel,SSDPEKKW256G8XT,0735858362795,735858362795,M.2,NVM,256 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/Intel-760P-256GB-80mm-PCIe/dp/B078VBL3T9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078VBL3T9
Intel 760p Series 1000 GB,$218.72 USD,Intel,SSDPEKKW010T8X1,0735858362832,00735858362832,M.2,NVM,1000 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/dp/B078QD1KRB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel 760p Series 128 GB,$46.36 USD,Intel,SSDPEKKW128G8XT,0735858362771,735858362771,M.2,NVM,128 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/dp/B078VBGSVL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel 760p Series 2000 GB,$443.83 USD,Intel,SSDPEKKW020T8X1,0735858362856,00735858362856,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/Intel-760P-2-048TB-80mm-PCIe/dp/B078QD7M6J?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078QD7M6J
Intel 760p Series 512 GB,$111.25 USD,Intel,SSDPEKKW512G8XT,0735858362818,735858362818,M.2,NVM,512 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/Intel%C2%AE-760P-512GB-80mm-PCIe/dp/B078VCGSKS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078VCGSKS
Intel DC S3500 Series,,Intel,SSDSC2BB800G401,0675901206648,,SATA,SATA,800 GB,MLC,Intel,
Intel Optane 800P 118 GB,$244.4 USD,Intel,SSDPEK1W120GA01,0735858349529,,M.2,NVM,118 GB,3D XPoint,Intel SLL3D,https://www.amazon.ca/dp/B078T2SM3D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Optane 800P 58 GB,$138.79 USD,Intel,SSDPEK1W060GA01,0735858349512,,M.2,NVM,58 GB,3D XPoint,Intel SLL3D,https://www.amazon.ca/dp/B078SZZ1XF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Optane 900P AIC Solid State Drive 480 GB,$642.3 USD,Intel,SSDPED1D480GAX1,5032037093668,,M.2,NVM,480 GB,3D XPoint,Intel SLL3D,https://www.amazon.ca/dp/B077767L4X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Optane 900P NVMe 280 GB,,Intel,SSDPE21D280GAX1,5032037114738,,SATA,SATA,280 GB,3D XPoint,Intel SLL3D,
Intel Optane 900P Series 2 280 GB,$337.7 USD,Intel,SSDPE21D280GASM,5032037115773,735858359191,M.2,NVM,280 GB,3D XPoint,Intel EAU01D76 SLL3D,https://www.amazon.ca/Intel-Optane-280GB-2-5in-XPoint/dp/B0772SSYDB?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0772SSYDB
Intel Optane 905P 380 GB,,Intel,SSDPEL1D380GAX1,5032037131148,,M.2,NVM,380 GB,,Intel SLL3D,
Intel Optane Series,$88.21 USD,Intel,MEMPEK1W032GAXT,0675901462341,00735858337090,M.2,NVM,32 GB,3D XPoint,Intel,https://www.amazon.ca/Intel-Optane-Memory-Module-MEMPEK1W032GAXT/dp/B06XSXX3NS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XSXX3NS
Intel Optane Series 16 GB,$50.77 USD,Intel,MEMPEK1W016GAXT,5032037099950,735858337076,M.2,NVM,16 GB,3D XPoint,Intel,https://www.amazon.ca/dp/B06XSMTN31?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Pro 6000P Series,,Intel,SSDPEKKF512G7X1,5032037087704,735858318204,M.2,NVM,512 GB,TLC,Silicon Motion SM2260,
Intel Pro 6000P Series,,Intel,SSDPEKKF128G7X1,5032037087667,,M.2,NVM,128 GB,TLC,Silicon Motion SM2260,
Intel Pro 6000P Series,$97.98 USD,Intel,SSDPEKKF256G7X1,5032037087681,735858318181,M.2,NVM,256 GB,TLC,Silicon Motion SM2260,https://www.amazon.ca/Intel-SSDPEKKF256G7X1-6000p-express-Retail/dp/B01LW6USJD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LW6USJD
Intel Pro 6000P Series,$378.84 USD,Intel,SSDPEKKF010T7X1,5032037087728,,M.2,NVM,1000 GB,,,https://www.amazon.ca/Intel-SSDPEKKF010T7X1-Solid-State-Drive/dp/B01LVXUCFC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LVXUCFC
Intenso High Performance III 120GB TLC 3813430,,Intenso,3813430,4034303023448,,SATA,SATA,120 GB,,,
Intenso High Performance III 240GB TLC 3813440,,Intenso,3813440,4034303023479,,SATA,SATA,240 GB,,,
Intenso High Performance III 480GB TLC 3813450,,Intenso,3813450,4034303023509,,SATA,SATA,480 GB,,,
Intenso High Performance III 960GB TLC 3813460,,Intenso,3813460,4034303023530,,SATA,SATA,960 GB,,,
Intenso Top III 256GB MLC,,Intenso,3812440,4034303016693,,SATA,SATA,256 GB,,,
Intenso Top III 512GB MLC,,Intenso,3812450,4034303017546,,SATA,SATA,512 GB,,,
Kingston A1000 NVMe M.2 Solid State Drive,,Kingston,SA1000M8/480G,0740617277319,740617277319,M.2,NVM,480 GB,TLC,Phison PS5008-E8,
Kingston A1000 NVMe M.2 Solid State Drive,$50.38 USD,Kingston,SA1000M8/240G,0740617277333,740617277333,M.2,NVM,240 GB,TLC,Phison PS5008-E8,https://www.amazon.ca/dp/B07BMXS6SH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston A400 - 960 GB 960 GB,$50.75 USD,Kingston,SA400S37/960G,0740617277357,,SATA,SATA,960 GB,TLC,Phison PS3111-S11,https://www.amazon.ca/dp/B079XC5PVV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston DC400 480GB,,Kingston,SEDC400S37/480G,0740617254396,,SATA,SATA,480 GB,,,
Kingston DC400 960GB,$324.25 USD,Kingston,SEDC400S37/960G,0740617254419,,SATA,SATA,960 GB,,,https://www.amazon.ca/960Gb-Ssdnow-Dc400-Ssd-Sata/dp/B01LFOIK2Y?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LFOIK2Y
Kingston Now E50 240GB MLC,,Kingston,SE50S37/240G,0740617219265,,SATA,SATA,240 GB,,,
Kingston Now KC400 128GB MLC,,Kingston,SKC400S3B7A/128G,0740617251524,,SATA,SATA,128 GB,,,
Kingston Now KC400 256GB MLC,,Kingston,SKC400S3B7A/256G,0740617251531,,SATA,SATA,256 GB,,,
Kingston Now KC400 256GB MLC,,Kingston,SKC400S37/256G,0740617251463,,SATA,SATA,256 GB,,,
Kingston Now KC400 512GB MLC,,Kingston,SKC400S37/512G,0740617251487,,SATA,SATA,512 GB,,,
Kingston Now KC400 512GB MLC,,Kingston,SKC400S3B7A/512G,0740617251548,,SATA,SATA,512 GB,,,
Kingston Now mS200 120GB MLC,,Kingston,SMS200S3/120G,0740617217049,,SATA,SATA,120 GB,,,
Kingston Now mS200 480GB MLC,,Kingston,SMS200S3/480G,0740617227857,,SATA,SATA,480 GB,,,
Kingston Now mS200 60GB MLC,,Kingston,SMS200S3/60G,0740617217032,,SATA,SATA,60 GB,,,
Kingston Now UV400 120GB TLC,$71.67 USD,Kingston,SUV400S3B7A/120G,0740617252880,,SATA,SATA,120 GB,,,https://www.amazon.ca/Kingston-Digital-SSDNow-SUV400S3B7A-120G/dp/B01FRP254G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01FRP254G
Kingston Now UV400 240GB TLC,,Kingston,SUV400S3B7A/240G,0740617252910,,SATA,SATA,240 GB,,,
Kingston Now UV400 480GB TLC,,Kingston,SUV400S3B7A/480G,0740617252941,,SATA,SATA,480 GB,,,
Kingston Now UV400 960GB TLC,,Kingston,SUV400S3B7A/960G,0740617252972,,SATA,SATA,960 GB,,,
Kingston Now V300 120GB MLC,,Kingston,SV300S3B7A/120G,0740617212686,,SATA,SATA,120 GB,,,
Kingston Now V300 120GB MLC,,Kingston,SV300S37A/120G,0740617212662,,SATA,SATA,120 GB,,,
Kingston Now V300 60GB MLC,,Kingston,SV300S37A/60G,0740617212631,,SATA,SATA,60 GB,,,
Kingston NV1 NVMe 1000 GB,$86.31 USD,Kingston,SNVS/1000G,0740617316681,,M.2,NVM,1000 GB,,,https://www.amazon.ca/dp/B091BDQ2B6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston NV1 NVMe 2000 GB,$136.67 USD,Kingston,SNVS/2000G,0740617316889,,M.2,NVM,2000 GB,,,https://www.amazon.ca/dp/B091BG4HDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston NV1 NVMe 250 GB,$38.92 USD,Kingston,SNVS/250G,0740617323047,,M.2,NVM,250 GB,,,https://www.amazon.ca/dp/B09DVP94WC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston NV1 NVMe 500 GB,$50.04 USD,Kingston,SNVS/500G,0740617316841,,M.2,NVM,500 GB,,,https://www.amazon.ca/dp/B091BCQK7B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kingston Solid State Drive,,Kingston,SM2280S3G2/120G,0740617248937,,M.2,SATA,120 GB,MLC,Phison PS3110,
Kingston Solid State Drive,,Kingston,SM2280S3G2/240G,0740617248951,,M.2,SATA,240 GB,MLC,Phison PS3110,
