Rank,University_Name,National/Regional Rank,Alumni,Award,Hici,N&S,PUB,PCP
301-400,RMIT University,16-21,0.0,0.0,14.6,8.0,38.1,22.9
301-400,University of Macau,1,0.0,0.0,17.2,2.5,39.6,28.9
301-400,Hanyang University,7-8,0.0,0.0,15.9,6.6,42.1,18.9
301-400,University of Milano-Bicocca,9-12,0.0,0.0,11.3,9.1,37.5,23.7
301-400,Anhui University,52-74,0.0,0.0,14.6,6.4,37.5,13.7
301-400,University of Shanghai for Science and Technology,52-74,0.0,0.0,15.9,4.0,37.0,15.6
301-400,Nanjing Agricultural University,52-74,0.0,0.0,15.9,8.6,40.8,16.9
301-400,University of the Witwatersrand,2,16.4,0.0,6.5,13.2,37.1,17.6
301-400,University of Marburg,23-29,7.3,0.0,11.3,13.5,27.7,30.0
301-400,University of Duisburg-Essen,23-29,0.0,0.0,11.3,10.9,33.3,27.0
301-400,University of Stuttgart,23-29,17.2,0.0,9.2,11.7,26.5,31.0
301-400,Vrije Universiteit Brussel (VUB),5-7,17.2,0.0,9.2,8.9,32.7,29.0
301-400,University of Antwerp,5-7,0.0,0.0,11.3,11.3,37.6,30.0
301-400,Pompeu Fabra University,3-8,0.0,0.0,11.3,15.9,27.8,32.2
301-400,University of Potsdam,23-29,0.0,0.0,11.3,14.3,30.6,33.7
301-400,East China University of Science and Technology,52-74,0.0,0.0,15.9,7.4,42.1,17.2
301-400,Northwest A&F University,52-74,0.0,0.0,14.6,7.7,41.8,14.6
301-400,Nanjing University of Science and Technology,52-74,0.0,0.0,13.0,4.0,46.9,16.3
301-400,Jiangnan University,52-74,0.0,0.0,11.3,5.2,47.4,17.2
301-400,Keio University,10,0.0,0.0,13.0,17.0,35.0,17.4
301-400,Yangzhou University,52-74,0.0,0.0,11.3,4.5,46.8,14.8
301-400,China University of Geosciences Beijing,52-74,0.0,0.0,13.0,5.9,36.4,19.5
301-400,China University of Petroleum (East China),52-74,0.0,0.0,14.6,2.0,40.8,16.8
301-400,University College Dublin,2-3,0.0,0.0,9.2,10.7,38.5,17.4
301-400,Qingdao University,52-74,0.0,0.0,14.6,3.6,48.1,16.1
301-400,Renmin University of China,52-74,0.0,0.0,9.2,,36.6,15.9
301-400,University of Liege,5-7,5.2,0.0,9.2,13.0,31.2,25.6
301-400,University of Regensburg,23-29,0.0,0.0,9.2,17.3,24.6,27.2
301-400,Guangdong University of Technology,52-74,0.0,0.0,19.5,1.4,44.2,15.7
301-400,University of Jena,23-29,0.0,0.0,9.2,11.9,30.7,27.7
301-400,University of Ulm,23-29,0.0,0.0,15.9,9.9,29.1,32.8
301-400,Charles University in Prague,1,0.0,0.0,6.5,11.3,45.9,20.4
301-400,"University of Maryland, Baltimore",79-98,0.0,0.0,13.0,13.1,37.1,16.3
301-400,Dartmouth College,79-98,19.4,0.0,9.2,14.3,28.2,23.2
301-400,University of Hawaii at Manoa,79-98,0.0,0.0,13.0,14.7,33.0,20.5
301-400,Stony Brook University,79-98,0.0,0.0,9.2,13.8,34.9,15.5
301-400,University of Kansas,79-98,16.4,0.0,9.2,9.4,38.0,14.2
301-400,University of Notre Dame,79-98,11.6,0.0,13.0,12.1,29.9,19.4
301-400,University of South Florida,79-98,0.0,0.0,9.2,12.0,38.6,17.5
301-400,Linkoping University,7-8,0.0,0.0,13.0,10.7,34.5,19.7
301-400,University of Iowa,79-98,0.0,0.0,13.0,13.4,41.4,15.7
301-400,University of Kentucky,79-98,9.0,0.0,6.5,7.5,39.2,17.7
301-400,Zhejiang University of Technology,52-74,0.0,0.0,14.6,7.4,43.3,15.5
301-400,University College Cork,2-3,0.0,0.0,25.2,10.2,25.8,15.9
301-400,ShanghaiTech University,52-74,0.0,0.0,6.5,21.3,27.6,26.4
301-400,Beijing University of Technology,52-74,0.0,0.0,9.2,7.8,46.7,16.8
301-400,Huazhong Agricultural University,52-74,0.0,0.0,18.4,10.1,39.0,16.1
301-400,Nanjing University of Information Science & Technology,52-74,0.0,0.0,14.6,7.4,42.0,15.1
301-400,Southern Medical University,52-74,0.0,0.0,9.2,3.2,49.0,23.8
301-400,Ocean University of China,52-74,0.0,0.0,13.0,9.2,44.7,16.8
301-400,NanJing Tech University,52-74,0.0,0.0,14.6,11.5,41.5,14.9
301-400,Northwest University,52-74,0.0,0.0,9.2,12.0,36.6,14.7
301-400,Guangxi University,52-74,0.0,0.0,9.2,6.9,45.7,16.8
401-500,University of Pavia,13-18,0.0,0.0,9.2,6.6,34.5,23.3
401-500,University of Bari,13-18,0.0,0.0,9.2,6.2,35.6,19.6
401-500,University of Vermont,99-114,12.7,0.0,6.5,8.9,26.1,20.8
401-500,Bar-Ilan University,6,0.0,0.0,9.2,8.3,29.6,19.3
401-500,University of Twente,11-12,0.0,0.0,9.2,6.3,31.6,18.3
401-500,University of South Carolina - Columbia,99-114,0.0,0.0,9.2,8.7,35.0,16.2
401-500,University of Central Florida,99-114,0.0,0.0,11.3,12.1,31.9,18.3
401-500,Eindhoven University of Technology,11-12,0.0,0.0,11.3,10.0,31.9,21.9
401-500,Drexel University,99-114,0.0,0.0,11.3,6.4,28.6,20.9
401-500,Chalmers University of Technology,9,0.0,0.0,9.2,11.4,30.3,23.3
401-500,Guangzhou University,75-91,0.0,0.0,11.3,5.0,39.5,14.8
401-500,Kunming University of Science and Technology,75-91,0.0,0.0,6.5,7.9,42.6,13.6
401-500,Hohai University,75-91,0.0,0.0,6.5,0.0,46.5,16.4
401-500,Ningbo University,75-91,0.0,0.0,0.0,2.9,44.9,17.2
401-500,Henan University,75-91,0.0,0.0,11.3,8.7,36.8,11.7
401-500,National University of Defense Technology,75-91,0.0,0.0,6.5,4.5,38.2,16.6
401-500,China University of Mining and Technology,75-91,0.0,0.0,6.5,1.4,45.1,16.7
401-500,Nanjing University of Posts and Telecommunications,75-91,0.0,0.0,14.6,3.0,35.3,13.3
401-500,Xidian University,75-91,0.0,0.0,11.3,1.4,44.0,14.7
401-500,Yunnan University,75-91,0.0,0.0,6.5,11.7,37.6,14.0
401-500,Hainan University,75-91,0.0,0.0,11.3,3.8,40.2,13.9
401-500,South China Agricultural University,75-91,0.0,0.0,11.3,5.5,38.2,13.3
401-500,University of Alabama at Birmingham,99-114,0.0,0.0,0.0,9.2,41.5,14.0
401-500,Sao Paulo State University,2-4,0.0,0.0,6.5,4.5,43.2,18.6
401-500,Okinawa Institute of Science and Technology Graduate University,11,0.0,20.6,9.2,11.8,14.4,12.4
401-500,Hefei University of Technology,75-91,0.0,0.0,9.2,2.0,42.5,14.9
401-500,The University of Georgia,99-114,0.0,0.0,0.0,13.2,42.3,18.1
401-500,Texas Tech University,99-114,0.0,0.0,9.2,7.8,33.2,16.7
401-500,Temple University,99-114,0.0,0.0,13.0,8.9,32.2,12.6
401-500,Aalto University,2-4,0.0,0.0,6.5,12.4,31.7,14.7
401-500,Louisiana State University - Baton Rouge,99-114,0.0,0.0,9.2,9.3,31.9,17.8
401-500,Masaryk University,2,0.0,0.0,6.5,10.3,30.1,22.0
401-500,University of Turku,2-4,0.0,0.0,6.5,12.4,36.1,16.4
401-500,Vita-Salute San Raffaele University,13-18,0.0,0.0,15.9,6.6,22.9,27.2
401-500,Federal University of Rio Grande do Sul,2-4,0.0,0.0,6.5,5.9,37.0,16.1
401-500,Utah State University,99-114,12.7,0.0,6.5,10.7,26.1,16.7
401-500,University of Otago,2-4,0.0,0.0,6.5,12.0,33.1,21.1
401-500,National Yang Ming Chiao Tung University,2-5,0.0,0.0,0.0,6.9,43.0,21.4
401-500,The University of Texas Health Science Center at San Antonio,99-114,0.0,0.0,17.2,8.9,24.1,18.2
401-500,"University at Buffalo, the State University of New York",99-114,0.0,0.0,9.2,10.4,36.3,15.9
401-500,Victoria University of Wellington,2-4,10.4,0.0,11.3,10.1,25.5,21.0
401-500,Washington State University,99-114,0.0,0.0,15.9,9.9,28.2,15.3
401-500,University of Campinas,2-4,0.0,0.0,6.5,7.2,40.7,17.7
401-500,University of Canterbury,2-4,0.0,0.0,13.0,8.8,24.5,22.5
401-500,Catholic University of the Sacred Heart,13-18,0.0,0.0,11.3,1.4,35.9,22.4
401-500,Saint Petersburg State University,2,26.0,0.0,0.0,8.0,32.9,16.3
401-500,University of Catania,13-18,0.0,0.0,13.0,4.3,31.1,18.7
401-500,China Medical University (Taichung),2-5,0.0,0.0,6.5,3.5,38.3,28.4
401-500,Nanjing Forestry University,75-91,0.0,0.0,9.2,1.4,45.1,17.3
401-500,Stellenbosch University,3-4,0.0,0.0,6.5,11.7,32.7,15.0
401-500,Nanjing Normal University,75-91,0.0,0.0,11.3,5.5,38.3,14.1
401-500,University of Tehran,1-2,11.6,0.0,0.0,3.8,42.5,18.4
401-500,University of South Australia,22-24,0.0,0.0,11.3,9.3,28.0,21.5
401-500,Jagiellonian University,1-2,9.0,0.0,0.0,9.5,37.8,11.3
401-500,University of Malaya,1,0.0,0.0,9.2,4.7,37.0,16.3
401-500,The University of Texas Medical Branch at Galveston,99-114,0.0,0.0,13.0,12.7,22.4,18.9
401-500,Aalborg University,5,0.0,0.0,13.0,5.0,37.5,17.0
401-500,Taif University,5-6,0.0,0.0,15.9,1.4,31.7,15.0
401-500,King Khalid University,5-6,0.0,0.0,0.0,1.4,45.8,19.4
401-500,Tehran University of Medical Sciences,1-2,0.0,0.0,9.2,4.3,37.0,16.3
401-500,Flinders University,22-24,14.7,0.0,0.0,7.2,31.3,24.4
401-500,University of Chile,1,5.2,0.0,6.5,9.0,33.3,15.0
401-500,University of Halle-Wittenberg,30-35,0.0,0.0,6.5,13.2,24.3,24.9
401-500,The University of Reading,32-35,0.0,0.0,13.0,11.8,27.7,22.1
401-500,University of Bayreuth,30-35,0.0,0.0,9.2,16.4,22.9,28.1
401-500,Leibniz University Hannover,30-35,0.0,0.0,9.2,7.5,27.6,26.9
401-500,Saarland University,30-35,0.0,0.0,11.3,8.6,25.9,27.6
401-500,Technical University Darmstadt,30-35,12.7,0.0,0.0,10.6,28.2,28.8
401-500,University of Surrey,32-35,0.0,0.0,13.0,5.6,32.2,23.0
401-500,Hannover Medical School,30-35,0.0,0.0,13.0,7.5,28.3,30.4
401-500,University of Kent,32-35,18.7,0.0,11.3,6.9,24.3,20.4
401-500,The University of Dundee,32-35,0.0,0.0,15.9,10.8,21.6,22.7
401-500,University of Warsaw,1-2,18.7,0.0,0.0,11.1,33.7,11.5
401-500,University of Belgrade,1,0.0,0.0,6.5,5.0,43.2,18.6
401-500,Istanbul University,1,17.2,0.0,0.0,5.0,38.7,17.3
401-500,Indian Institute of Science,1,0.0,0.0,0.0,7.2,43.3,18.6
401-500,University of Szeged,1,13.7,17.2,0.0,3.5,23.3,13.0
401-500,Polytechnic University of Valencia,9-10,0.0,0.0,13.0,7.0,32.9,15.5
401-500,CUNY Graduate School and University Center,99-114,0.0,0.0,9.2,11.2,23.4,26.1
401-500,University of Ulsan,9-12,0.0,0.0,11.3,4.5,33.8,17.8
401-500,Pusan National University,9-12,0.0,0.0,6.5,8.3,37.8,17.1
401-500,Kyungpook National University,9-12,0.0,0.0,6.5,7.6,37.5,17.1
401-500,University of Côte d'Azur,17-18,0.0,0.0,6.5,16.4,29.6,18.1
401-500,Kyung Hee University,9-12,0.0,0.0,6.5,5.0,41.4,18.5
401-500,University of Seville,9-10,0.0,0.0,6.5,5.3,38.7,13.7
401-500,Guangzhou Medical University,75-91,0.0,0.0,9.2,4.6,37.1,18.0
401-500,Southwest Jiaotong University,75-91,0.0,0.0,0.0,5.0,48.9,15.5
401-500,University of Saskatchewan,17-18,7.3,0.0,6.5,9.2,31.5,17.8
401-500,University of Zagreb,1,0.0,0.0,6.5,6.5,36.4,15.9
401-500,York University,17-18,0.0,0.0,9.2,8.0,32.7,14.2
401-500,University of Roma - Tor Vergata,13-18,0.0,0.0,0.0,10.7,36.1,20.8
401-500,University of Rennes,17-18,0.0,0.0,6.5,9.4,31.6,18.0
401-500,National Cheng Kung University,2-5,0.0,0.0,9.2,7.0,38.4,18.3
401-500,Macau University of Science and Technology,2,0.0,0.0,13.0,5.7,29.4,23.8
401-500,University of Oregon,99-114,5.2,0.0,6.5,13.9,26.9,18.6
401-500,University of Aveiro,3,0.0,0.0,11.3,3.9,30.4,22.9
401-500,"The University of Newcastle, Australia",22-24,0.0,0.0,13.0,5.2,33.1,25.9
401-500,University of Johannesburg,3-4,0.0,0.0,6.5,7.6,36.2,15.9
401-500,National Tsing Hua University,2-5,11.6,0.0,6.5,6.1,29.8,18.2
401-500,University of Oulu,2-4,10.4,0.0,9.2,6.6,31.7,14.6
501-600,"The Chinese University of Hong Kong, Shenzhen",92-114,0.0,0.0,13.0,6.9,24.0,22.0
501-600,Shaanxi Normal University,92-114,0.0,0.0,11.3,2.0,33.2,12.6
501-600,University of Santiago Compostela,11-16,0.0,0.0,6.5,9.4,31.1,16.6
501-600,University of Giessen,36-39,0.0,0.0,6.5,5.5,28.1,25.5
501-600,University of Zaragoza,11-16,0.0,0.0,6.5,7.2,32.9,15.1
501-600,University of KwaZulu-Natal,5-6,0.0,0.0,0.0,13.1,31.4,14.4
501-600,University of Murcia,11-16,0.0,0.0,9.2,5.7,27.7,14.9
501-600,University of Navarra,11-16,0.0,0.0,13.0,6.8,25.8,21.5
501-600,Eotvos Lorand University,2,10.4,0.0,6.5,8.6,28.4,13.2
501-600,University of Perugia,19-21,0.0,0.0,9.2,6.1,29.4,19.5
501-600,Federal University of Minas Gerais,5-6,0.0,0.0,0.0,8.6,38.0,16.5
501-600,University of Verona,19-21,0.0,0.0,11.3,3.5,27.9,20.5
501-600,Carleton University,19-20,0.0,0.0,6.5,7.3,29.6,16.0
501-600,University of Guelph,19-20,0.0,0.0,6.5,5.0,29.8,17.7
501-600,University of La Laguna,11-16,0.0,0.0,6.5,12.8,25.1,17.7
501-600,University of Nantes,19,0.0,0.0,6.5,8.4,29.9,14.6
501-600,Murdoch University,25,0.0,0.0,13.0,6.7,23.2,26.0
501-600,University of Pretoria,5-6,0.0,0.0,9.2,7.4,32.0,14.4
501-600,Yeungnam University,13-15,0.0,0.0,9.2,1.4,32.9,18.5
501-600,Medical University of Innsbruck,5-6,0.0,0.0,11.3,6.2,22.0,24.2
501-600,Medical University of Graz,5-6,0.0,6.5,6.5,4.5,24.0,24.7
501-600,Federal University of Rio de Janeiro,5-6,0.0,0.0,0.0,7.6,37.8,16.3
501-600,Sejong University,13-15,0.0,0.0,6.5,3.8,31.2,22.4
501-600,Aristotle University of Thessaloniki,2,0.0,0.0,6.5,4.0,36.5,15.8
501-600,Moscow Institute of Physics and Technology,3,20.1,0.0,0.0,6.9,26.5,13.1
501-600,Umea University,10,0.0,0.0,6.5,9.4,31.5,16.6
501-600,University of Parma,19-21,0.0,0.0,11.3,4.7,27.3,18.8
501-600,South China Normal University,92-114,0.0,0.0,6.5,4.6,37.3,12.4
501-600,Lebanese American University,1,0.0,0.0,9.2,0.0,33.1,14.6
501-600,Chongqing Medical University,92-114,0.0,0.0,0.0,2.9,41.8,14.5
501-600,Fujian Medical University,92-114,0.0,0.0,0.0,2.0,40.1,16.3
501-600,Donghua University,92-114,0.0,0.0,11.3,1.4,33.6,16.0
501-600,Vilnius University,1,7.3,0.0,6.5,8.8,25.8,12.1
501-600,University of Coimbra,4-5,0.0,0.0,0.0,8.1,36.9,19.6
501-600,University of Ljubljana,1,0.0,0.0,0.0,5.4,36.4,16.5
501-600,Changzhou University,92-114,0.0,0.0,11.3,2.0,30.8,13.2
501-600,University of Tromso,4,0.0,0.0,6.5,8.7,29.0,16.3
501-600,Central China Normal University,92-114,0.0,0.0,11.3,2.9,32.3,13.1
501-600,Beijing University of Posts and Telecommunications,92-114,0.0,0.0,9.2,0.0,35.6,14.4
501-600,Zhejiang Sci-Tech University,92-114,0.0,0.0,6.5,4.7,33.4,12.9
501-600,Anhui Medical University,92-114,0.0,0.0,0.0,5.5,39.9,20.2
501-600,Xi'an University of Technology,92-114,0.0,0.0,6.5,0.0,37.7,15.3
501-600,Qatar University,1,0.0,0.0,11.3,3.2,30.2,13.7
501-600,University of Fribourg,8,0.0,0.0,14.6,7.4,21.8,20.5
501-600,Hangzhou Dianzi University,92-114,0.0,0.0,9.2,1.4,32.1,14.1
501-600,University of Minho,4-5,0.0,0.0,11.3,3.5,30.2,18.1
501-600,University of Bath,36-39,0.0,0.0,6.5,9.3,30.5,19.9
501-600,Tampere University,5,0.0,0.0,6.5,8.0,33.1,14.7
501-600,Vellore Institute of Technology,2,0.0,0.0,6.5,0.0,38.6,16.6
501-600,Chonnam National University,13-15,0.0,0.0,0.0,8.0,33.9,16.0
501-600,University of Salamanca,11-16,0.0,0.0,6.5,8.6,28.3,16.8
501-600,Rensselaer Polytechnic Institute,115-142,11.6,0.0,9.2,8.8,16.7,21.4
501-600,Medical University of South Carolina,115-142,0.0,0.0,11.3,2.0,28.4,29.0
501-600,Oklahoma State University,115-142,0.0,0.0,9.2,5.7,29.0,15.6
501-600,University of Rostock,36-39,0.0,0.0,6.5,14.1,22.6,26.0
501-600,University of Bremen,36-39,0.0,0.0,0.0,13.9,27.2,28.9
501-600,Swansea University,36-39,0.0,0.0,6.5,7.2,27.5,20.6
501-600,Kansas State University,115-142,0.0,0.0,11.3,5.3,27.0,18.6
501-600,Tulane University,115-142,0.0,0.0,9.2,8.6,29.2,15.0
501-600,Okayama University,12-16,0.0,0.0,9.2,9.9,27.5,13.2
501-600,Shandong University of Science and Technology,92-114,0.0,0.0,6.5,2.5,37.5,13.0
501-600,Nanjing University of Chinese Medicine,92-114,0.0,0.0,6.5,5.9,31.0,15.4
501-600,Baylor University,115-142,0.0,0.0,9.2,7.2,26.0,15.8
501-600,Hebei University of Technology,92-114,0.0,0.0,6.5,1.4,36.1,13.8
501-600,Tokyo Medical and Dental University,12-16,0.0,0.0,6.5,8.3,27.2,16.4
501-600,Kobe University,12-16,13.7,0.0,0.0,10.0,31.1,14.2
501-600,Osaka Metropolitan University,12-16,14.7,0.0,6.5,6.3,27.7,13.1
501-600,Westlake University,92-114,0.0,0.0,9.2,18.8,20.8,12.5
501-600,Wenzhou Medical University,92-114,0.0,0.0,0.0,7.1,40.7,16.1
501-600,Tianjin Medical University,92-114,0.0,0.0,0.0,2.9,36.9,23.4
501-600,Harbin Engineering University,92-114,0.0,0.0,6.5,0.0,38.4,14.6
501-600,Guizhou University,92-114,0.0,0.0,0.0,5.0,43.9,14.0
501-600,Beijing Jiaotong University,92-114,0.0,0.0,6.5,0.0,40.4,14.9
501-600,Boston College,115-142,0.0,0.0,6.5,13.1,24.1,16.5
501-600,Hiroshima University,12-16,0.0,0.0,0.0,9.7,36.1,14.4
501-600,The University of Texas at Dallas,115-142,12.7,0.0,0.0,11.4,26.3,20.9
501-600,Southwest University,92-114,0.0,0.0,0.0,2.5,44.1,12.7
501-600,University of Oklahoma - Norman,115-142,0.0,0.0,13.0,5.7,29.2,16.0
501-600,Mississippi State University,115-142,0.0,0.0,9.2,7.4,25.7,16.3
501-600,University of North Texas,115-142,0.0,0.0,9.2,6.2,28.8,18.1
501-600,The University of New Mexico - Albuquerque,115-142,0.0,0.0,0.0,12.4,32.9,14.3
501-600,Florida International University,115-142,0.0,0.0,6.5,8.9,30.6,17.3
501-600,University of Arkansas at Fayetteville,115-142,0.0,0.0,6.5,7.7,27.5,16.5
501-600,Auburn University,115-142,0.0,0.0,0.0,9.7,32.2,16.1
501-600,Binghamton University,115-142,0.0,16.0,0.0,6.2,19.1,16.8
501-600,Georgia State University,115-142,0.0,0.0,9.2,4.7,28.9,17.3
501-600,University of Maine,115-142,0.0,16.0,0.0,8.2,17.4,19.1
501-600,Iowa State University,115-142,0.0,0.0,0.0,8.6,35.5,15.9
501-600,University of California-Merced,115-142,0.0,0.0,11.3,10.9,19.7,23.9
501-600,San Diego State University,115-142,0.0,0.0,9.2,6.9,26.6,17.0
501-600,Georgetown University,115-142,0.0,0.0,6.5,7.7,32.3,19.3
501-600,West Virginia University,115-142,0.0,0.0,6.5,9.8,30.1,15.1
501-600,The City College of New York,115-142,27.0,0.0,6.5,6.7,16.5,20.3
501-600,Northern Arizona University,115-142,0.0,0.0,15.9,13.3,18.6,14.7
501-600,Wake Forest University,115-142,0.0,0.0,11.3,4.4,29.4,11.3
501-600,Saint Louis University,115-142,0.0,9.2,6.5,6.6,22.3,15.7
501-600,University of Konstanz,36-39,0.0,0.0,0.0,16.7,22.3,26.4
501-600,University of Essex,36-39,18.0,0.0,6.5,5.2,25.2,18.1
501-600,Rush University,115-142,0.0,0.0,14.6,4.7,25.6,15.5
501-600,University of Strathclyde,36-39,0.0,0.0,6.5,6.8,29.3,18.7
601-700,INHA University,16-18,0.0,0.0,6.5,3.8,27.7,15.8
601-700,Polytechnic University of Madrid,17-20,0.0,0.0,0.0,6.2,31.5,14.9
601-700,Qingdao University of Science and Technology,115-137,0.0,0.0,6.5,0.0,32.6,12.3
601-700,China University of Mining & Technology-Beijing,115-137,0.0,0.0,6.5,0.0,31.6,17.9
601-700,Universitat Jaume I,17-20,0.0,0.0,13.0,2.0,21.6,18.3
601-700,Chiba University,17-20,0.0,0.0,0.0,10.3,29.1,14.0
601-700,Waseda University,17-20,0.0,0.0,6.5,6.6,29.2,13.0
601-700,University of Delhi,3-4,0.0,0.0,6.5,2.9,30.4,13.2
601-700,Indian Institute of Technology Delhi,3-4,0.0,0.0,0.0,6.7,33.4,14.5
601-700,"University of Science, Malaysia",2-4,0.0,0.0,0.0,3.2,34.7,14.8
601-700,Australian Catholic University,26-28,0.0,0.0,13.0,2.5,20.3,19.7
601-700,Thomas Jefferson University,143-155,0.0,0.0,0.0,5.5,28.1,27.1
601-700,"University of Maryland, Baltimore County",143-155,0.0,0.0,9.2,10.4,17.0,17.6
601-700,University of Nevada - Reno,143-155,0.0,0.0,6.5,9.4,24.5,17.6
601-700,University of Louisville,143-155,0.0,0.0,6.5,5.4,28.5,14.7
601-700,Chiang Mai University,1-3,0.0,0.0,6.5,3.8,29.0,12.7
601-700,University of New Hampshire,143-155,0.0,0.0,9.2,6.2,21.5,17.0
601-700,University of Nevada-Las Vegas,143-155,0.0,0.0,6.5,10.4,24.2,16.4
601-700,Medical College of Wisconsin,143-155,0.0,0.0,0.0,9.6,29.1,12.4
601-700,University of Southern Queensland,26-28,0.0,0.0,11.3,3.6,22.0,22.4
601-700,Edith Cowan University,26-28,0.0,0.0,6.5,2.0,25.1,24.6
601-700,Wenzhou University,115-137,0.0,0.0,9.2,1.4,29.8,13.3
601-700,Yanshan University,115-137,0.0,0.0,0.0,6.8,33.6,13.0
601-700,Konkuk University,16-18,0.0,0.0,6.5,5.0,27.6,14.7
601-700,"China University of Petroleum, Beijing",115-137,0.0,0.0,0.0,5.0,34.6,17.6
601-700,Polytechnic University of Turin,22-27,0.0,0.0,0.0,5.4,31.4,18.9
601-700,Naval Medical University,115-137,0.0,0.0,6.5,6.6,29.1,13.0
601-700,Semmelweis University,3,0.0,0.0,9.2,7.3,24.0,11.3
601-700,Northeast Normal University,115-137,0.0,0.0,6.5,3.5,29.1,11.6
601-700,Shanxi University,115-137,0.0,0.0,0.0,8.7,31.1,11.5
601-700,Shandong First Medical University,115-137,0.0,0.0,0.0,2.9,36.2,13.0
601-700,Shandong Agricultural University,115-137,0.0,0.0,11.3,6.7,25.4,11.8
601-700,Northeast Agricultural University,115-137,0.0,0.0,9.2,2.0,30.5,13.5
601-700,Qilu University of Technology,115-137,0.0,0.0,6.5,1.4,33.0,11.6
601-700,Zhejiang Chinese Medical University,115-137,0.0,0.0,6.5,3.5,28.7,14.3
601-700,Air Force Medical University,115-137,0.0,0.0,0.0,9.2,29.7,13.2
601-700,University of Alicante,17-20,0.0,0.0,9.2,7.2,25.0,15.1
601-700,Palacký University Olomouc,3,0.0,0.0,6.5,6.6,23.3,21.4
601-700,Tarbiat Modares University,3,0.0,0.0,6.5,3.5,30.1,13.2
601-700,University of the Balearic Islands,17-20,0.0,0.0,9.2,5.1,22.4,19.3
601-700,Fujian Normal University,115-137,0.0,0.0,9.2,4.3,29.1,11.0
601-700,Taiyuan University of Technology,115-137,0.0,0.0,0.0,1.4,37.3,12.3
601-700,North China Electric Power University,115-137,0.0,0.0,0.0,1.4,38.5,14.1
601-700,Hebei University,115-137,0.0,0.0,11.3,2.0,30.5,11.4
601-700,Henan Normal University,115-137,0.0,0.0,6.5,4.6,29.0,10.2
601-700,Fujian Agriculture and Forestry University,115-137,0.0,0.0,0.0,11.4,29.8,12.1
601-700,Ewha Womans University,16-18,0.0,0.0,6.5,5.5,29.4,16.0
601-700,Duke-NUS Medical School,3,0.0,0.0,11.3,12.3,19.8,11.0
601-700,Marche Polytechnic University,22-27,0.0,0.0,11.3,3.0,22.8,20.1
601-700,The University of Texas at San Antonio,143-155,0.0,0.0,6.5,4.5,26.5,14.9
601-700,University of Trieste,22-27,0.0,0.0,0.0,9.3,27.7,21.5
601-700,Prince Sattam Bin Abdulaziz University,7,0.0,0.0,0.0,0.0,40.7,17.2
601-700,Chang Gung University,6-7,0.0,0.0,0.0,2.9,31.6,22.1
601-700,National Sun Yat-Sen University,6-7,0.0,0.0,6.5,3.4,26.6,18.7
601-700,Khalifa University,1,0.0,0.0,11.3,1.4,27.4,12.6
601-700,COMSATS University Islamabad,1,0.0,0.0,0.0,2.9,37.0,15.8
601-700,North-West University,7,10.4,0.0,6.5,5.7,25.6,11.9
601-700,Addis Ababa University,1,16.4,0.0,0.0,6.1,25.3,12.1
601-700,University of Haifa,7,0.0,0.0,0.0,8.5,29.9,20.8
601-700,Università Della Svizzera Italiana,9,0.0,0.0,9.2,12.6,15.5,20.8
601-700,Manchester Metropolitan University,40-42,0.0,0.0,9.2,5.2,23.9,14.2
601-700,"University of Natural Resources and Life Sciences, Vienna",7-8,0.0,0.0,9.2,5.2,22.3,23.3
601-700,Bielefeld University,40-42,0.0,0.0,6.5,4.5,25.8,23.8
601-700,Bangor University,40-42,10.4,0.0,9.2,5.7,17.4,20.6
601-700,University of Luxembourg,1,0.0,0.0,11.3,7.3,24.1,11.7
601-700,Technical University of Braunschweig,40-42,11.6,0.0,0.0,6.3,22.9,23.9
601-700,University of Luebeck,40-42,0.0,0.0,6.5,8.1,19.9,21.3
601-700,University of Galway,4,0.0,0.0,9.2,7.4,26.1,12.1
601-700,Hong Kong Baptist University,6,0.0,0.0,6.5,6.7,25.5,15.6
601-700,University of Tartu,1,0.0,0.0,6.5,9.2,26.6,12.2
601-700,University of Iceland,1,0.0,0.0,6.5,10.7,23.2,11.2
601-700,Ural Federal University,4,0.0,0.0,6.5,2.5,31.8,13.8
601-700,Brescia University,22-27,0.0,0.0,6.5,4.7,26.3,21.2
601-700,Liverpool John Moores University,40-42,0.0,0.0,6.5,8.9,24.1,13.4
601-700,Dalian Maritime University,115-137,0.0,0.0,6.5,1.4,31.2,12.9
601-700,University of Graz,7-8,12.7,0.0,0.0,8.2,21.0,19.6
601-700,Colorado School of Mines,143-155,0.0,0.0,9.2,7.6,18.8,21.1
601-700,Shinshu University,17-20,0.0,0.0,9.2,6.2,23.0,13.1
601-700,Humanitas University,22-27,0.0,0.0,11.3,5.7,19.5,22.0
601-700,Tokyo University of Science,17-20,11.6,0.0,6.5,6.3,22.3,10.8
601-700,Brigham Young University,143-155,7.3,0.0,6.5,5.9,25.2,12.5
601-700,The University of Alabama - Tuscaloosa,143-155,0.0,0.0,0.0,6.8,31.1,15.0
601-700,Pontifical Catholic University of Chile,2,0.0,0.0,0.0,8.6,32.7,14.4
601-700,University of Toledo,143-155,0.0,0.0,9.2,9.5,19.9,18.6
601-700,National Polytechnic Institute,2,0.0,0.0,0.0,4.0,34.7,14.8
601-700,University of Health Sciences Turkey,2,0.0,0.0,0.0,1.4,36.5,15.5
