index,Format,Metric,Year,Number of Records,Value (Actual)
724,Ringtones & Ringbacks,Units,1992,1,
725,Ringtones & Ringbacks,Units,1993,1,
726,Ringtones & Ringbacks,Units,1994,1,
727,Ringtones & Ringbacks,Units,1995,1,
728,Ringtones & Ringbacks,Units,1996,1,
729,Ringtones & Ringbacks,Units,1997,1,
730,Ringtones & Ringbacks,Units,1998,1,
731,Ringtones & Ringbacks,Units,1999,1,
732,Ringtones & Ringbacks,Units,2000,1,
733,Ringtones & Ringbacks,Units,2001,1,
734,Ringtones & Ringbacks,Units,2002,1,
735,Ringtones & Ringbacks,Units,2003,1,
736,Ringtones & Ringbacks,Units,2004,1,
737,Ringtones & Ringbacks,Units,2005,1,170.0
738,Ringtones & Ringbacks,Units,2006,1,315.0
739,Ringtones & Ringbacks,Units,2007,1,433.8
740,Ringtones & Ringbacks,Units,2008,1,405.1
741,Ringtones & Ringbacks,Units,2009,1,294.3
742,Ringtones & Ringbacks,Units,2010,1,188.5
743,Ringtones & Ringbacks,Units,2011,1,115.4
744,Ringtones & Ringbacks,Units,2012,1,58.757403556
745,Ringtones & Ringbacks,Units,2013,1,39.366235778
746,Ringtones & Ringbacks,Units,2014,1,26.632323683
747,Ringtones & Ringbacks,Units,2015,1,21.924866054
748,Ringtones & Ringbacks,Units,2016,1,22.620785392
749,Ringtones & Ringbacks,Units,2017,1,14.262869941
750,Ringtones & Ringbacks,Units,2018,1,10.026286725
751,Ringtones & Ringbacks,Units,2019,1,8.605769715999998
752,Paid Subscriptions,Units,1973,1,
753,Paid Subscriptions,Units,1974,1,
754,Paid Subscriptions,Units,1975,1,
755,Paid Subscriptions,Units,1976,1,
756,Paid Subscriptions,Units,1977,1,
757,Paid Subscriptions,Units,1978,1,
758,Paid Subscriptions,Units,1979,1,
759,Paid Subscriptions,Units,1980,1,
760,Paid Subscriptions,Units,1981,1,
761,Paid Subscriptions,Units,1982,1,
762,Paid Subscriptions,Units,1983,1,
763,Paid Subscriptions,Units,1984,1,
764,Paid Subscriptions,Units,1985,1,
765,Paid Subscriptions,Units,1986,1,
766,Paid Subscriptions,Units,1987,1,
767,Paid Subscriptions,Units,1988,1,
768,Paid Subscriptions,Units,1989,1,
769,Paid Subscriptions,Units,1990,1,
770,Paid Subscriptions,Units,1991,1,
771,Paid Subscriptions,Units,1992,1,
772,Paid Subscriptions,Units,1993,1,
773,Paid Subscriptions,Units,1994,1,
774,Paid Subscriptions,Units,1995,1,
775,Paid Subscriptions,Units,1996,1,
776,Paid Subscriptions,Units,1997,1,
777,Paid Subscriptions,Units,1998,1,
778,Paid Subscriptions,Units,1999,1,
779,Paid Subscriptions,Units,2000,1,
780,Paid Subscriptions,Units,2001,1,
781,Paid Subscriptions,Units,2002,1,
782,Paid Subscriptions,Units,2003,1,
783,Paid Subscriptions,Units,2004,1,
784,Paid Subscriptions,Units,2005,1,1.3
785,Paid Subscriptions,Units,2006,1,1.7
786,Paid Subscriptions,Units,2007,1,1.8
787,Paid Subscriptions,Units,2008,1,1.6
788,Paid Subscriptions,Units,2009,1,1.2
789,Paid Subscriptions,Units,2010,1,1.5
790,Paid Subscriptions,Units,2011,1,1.8
791,Paid Subscriptions,Units,2012,1,3.36
792,Paid Subscriptions,Units,2013,1,6.16
793,Paid Subscriptions,Units,2014,1,7.73
794,Paid Subscriptions,Units,2015,1,10.84
795,Paid Subscriptions,Units,2016,1,22.68
796,Paid Subscriptions,Units,2017,1,35.273501216
797,Paid Subscriptions,Units,2018,1,46.91132324
798,Paid Subscriptions,Units,2019,1,60.381947607
799,Paid Subscriptions,Units,1973,1,
800,Paid Subscriptions,Units,1974,1,
801,Paid Subscriptions,Units,1975,1,
802,Paid Subscriptions,Units,1976,1,
803,Paid Subscriptions,Units,1977,1,
804,Paid Subscriptions,Units,1978,1,
805,Paid Subscriptions,Units,1979,1,
806,Paid Subscriptions,Units,1980,1,
807,Paid Subscriptions,Units,1981,1,
808,Paid Subscriptions,Units,1982,1,
809,Paid Subscriptions,Units,1983,1,
810,Paid Subscriptions,Units,1984,1,
811,Paid Subscriptions,Units,1985,1,
812,Paid Subscriptions,Units,1986,1,
813,Paid Subscriptions,Units,1987,1,
814,Paid Subscriptions,Units,1988,1,
815,Paid Subscriptions,Units,1989,1,
816,Paid Subscriptions,Units,1990,1,
817,Paid Subscriptions,Units,1991,1,
818,Paid Subscriptions,Units,1992,1,
819,Paid Subscriptions,Units,1993,1,
820,Paid Subscriptions,Units,1994,1,
821,Paid Subscriptions,Units,1995,1,
822,Paid Subscriptions,Units,1996,1,
823,Paid Subscriptions,Units,1997,1,
824,Paid Subscriptions,Units,1998,1,
825,Paid Subscriptions,Units,1999,1,
826,Paid Subscriptions,Units,2000,1,
827,Paid Subscriptions,Units,2001,1,
828,Paid Subscriptions,Units,2002,1,
829,Paid Subscriptions,Units,2003,1,
830,Paid Subscriptions,Units,2004,1,
831,Paid Subscriptions,Units,2005,1,1.3
832,Paid Subscriptions,Units,2006,1,1.7
833,Paid Subscriptions,Units,2007,1,1.8
834,Paid Subscriptions,Units,2008,1,1.6
835,Paid Subscriptions,Units,2009,1,1.2
836,Paid Subscriptions,Units,2010,1,1.5
837,Paid Subscriptions,Units,2011,1,1.8
838,Paid Subscriptions,Units,2012,1,3.4
839,Paid Subscriptions,Units,2013,1,6.2
840,Paid Subscriptions,Units,2014,1,7.7
841,Paid Subscriptions,Units,2015,1,10.8
842,Paid Subscriptions,Units,2016,1,22.7
843,Paid Subscriptions,Units,2017,1,35.3
844,Paid Subscriptions,Units,2018,1,50.2
845,Paid Subscriptions,Units,2019,1,
846,CD,Value,1973,1,
847,CD,Value,1974,1,
848,CD,Value,1975,1,
849,CD,Value,1976,1,
850,CD,Value,1977,1,
851,CD,Value,1978,1,
852,CD,Value,1979,1,
853,CD,Value,1980,1,
854,CD,Value,1981,1,
855,CD,Value,1982,1,
856,CD,Value,1983,1,17.2
857,CD,Value,1984,1,103.3
858,CD,Value,1985,1,389.5
859,CD,Value,1986,1,930.1
860,CD,Value,1987,1,1593.6
861,CD,Value,1988,1,2089.9
862,CD,Value,1989,1,2587.7
863,CD,Value,1990,1,3451.6
864,CD,Value,1991,1,4337.7
865,CD,Value,1992,1,5326.5
866,CD,Value,1993,1,6511.4
867,CD,Value,1994,1,8464.5
868,CD,Value,1995,1,9377.4
869,CD,Value,1996,1,9934.7
870,CD,Value,1997,1,9915.1
871,CD,Value,1998,1,11416.0
872,CD,Value,1999,1,12816.3
873,CD,Value,2000,1,13214.5
874,CD,Value,2001,1,12909.4
875,CD,Value,2002,1,12044.1
876,CD,Value,2003,1,11232.9
877,CD,Value,2004,1,11446.5
878,CD,Value,2005,1,10520.2
879,CD,Value,2006,1,9372.6
880,CD,Value,2007,1,7452.3
881,CD,Value,2008,1,5471.3
882,CD,Value,2009,1,4318.8
883,CD,Value,2010,1,3389.4
884,CD,Value,2011,1,3100.7
885,CD,Value,2012,1,2485.614699
886,CD,Value,2013,1,2140.917718
887,CD,Value,2014,1,1776.249324
888,CD,Value,2015,1,1444.993194
889,CD,Value,2016,1,1130.764651
890,CD,Value,2017,1,1057.32309
891,CD,Value,2018,1,698.386637244
892,CD,Value,2019,1,614.509779894
893,CD Single,Value,1973,1,
894,CD Single,Value,1974,1,
895,CD Single,Value,1975,1,
896,CD Single,Value,1976,1,
897,CD Single,Value,1977,1,
898,CD Single,Value,1978,1,
899,CD Single,Value,1979,1,
900,CD Single,Value,1980,1,
901,CD Single,Value,1981,1,
902,CD Single,Value,1982,1,
903,CD Single,Value,1983,1,
904,CD Single,Value,1984,1,
905,CD Single,Value,1985,1,
906,CD Single,Value,1986,1,
907,CD Single,Value,1987,1,
908,CD Single,Value,1988,1,9.8
909,CD Single,Value,1989,1,-0.7
910,CD Single,Value,1990,1,6.0
911,CD Single,Value,1991,1,35.1
912,CD Single,Value,1992,1,45.1
913,CD Single,Value,1993,1,45.8
914,CD Single,Value,1994,1,56.1
915,CD Single,Value,1995,1,110.9
916,CD Single,Value,1996,1,184.1
917,CD Single,Value,1997,1,272.7
918,CD Single,Value,1998,1,213.2
919,CD Single,Value,1999,1,222.4
920,CD Single,Value,2000,1,142.7
921,CD Single,Value,2001,1,79.4
922,CD Single,Value,2002,1,19.6
923,CD Single,Value,2003,1,36.0
924,CD Single,Value,2004,1,15.0
925,CD Single,Value,2005,1,10.9
926,CD Single,Value,2006,1,7.7
927,CD Single,Value,2007,1,12.2
928,CD Single,Value,2008,1,3.5
929,CD Single,Value,2009,1,3.1
930,CD Single,Value,2010,1,2.9
931,CD Single,Value,2011,1,3.5
932,CD Single,Value,2012,1,3.225092945
933,CD Single,Value,2013,1,2.445737226
934,CD Single,Value,2014,1,3.616015547
935,CD Single,Value,2015,1,1.19694661
936,CD Single,Value,2016,1,0.2631990819999999
937,CD Single,Value,2017,1,1.478694184
938,CD Single,Value,2018,1,0.15516984
939,CD Single,Value,2019,1,0.1816788779999999
940,Cassette,Value,1973,1,76.0
941,Cassette,Value,1974,1,87.2
942,Cassette,Value,1975,1,98.8
943,Cassette,Value,1976,1,145.7
944,Cassette,Value,1977,1,249.6
945,Cassette,Value,1978,1,449.8
946,Cassette,Value,1979,1,580.6
947,Cassette,Value,1980,1,705.0
948,Cassette,Value,1981,1,1062.8
949,Cassette,Value,1982,1,1384.5
950,Cassette,Value,1983,1,1810.9
951,Cassette,Value,1984,1,2383.9
952,Cassette,Value,1985,1,2411.5
953,Cassette,Value,1986,1,2499.5
954,Cassette,Value,1987,1,2959.7
955,Cassette,Value,1988,1,3385.1
956,Cassette,Value,1989,1,3345.8
957,Cassette,Value,1990,1,3472.4
958,Cassette,Value,1991,1,3019.6
959,Cassette,Value,1992,1,3116.3
960,Cassette,Value,1993,1,2915.8
961,Cassette,Value,1994,1,2976.4
962,Cassette,Value,1995,1,2303.6
963,Cassette,Value,1996,1,1905.3
964,Cassette,Value,1997,1,1522.7
965,Cassette,Value,1998,1,1419.9
966,Cassette,Value,1999,1,1061.6
967,Cassette,Value,2000,1,626.0
968,Cassette,Value,2001,1,363.4
969,Cassette,Value,2002,1,209.8
970,Cassette,Value,2003,1,108.1
971,Cassette,Value,2004,1,23.7
972,Cassette,Value,2005,1,13.1
973,Cassette,Value,2006,1,3.7
974,Cassette,Value,2007,1,3.0
975,Cassette,Value,2008,1,0.9
976,Cassette,Value,2009,1,0.0
977,Cassette,Value,2010,1,
978,Cassette,Value,2011,1,
979,Cassette,Value,2012,1,
980,Cassette,Value,2013,1,
981,Cassette,Value,2014,1,
982,Cassette,Value,2015,1,
983,Cassette,Value,2016,1,
984,Cassette,Value,2017,1,
985,Cassette,Value,2018,1,
986,Cassette,Value,2019,1,
987,Cassette Single,Value,1973,1,
988,Cassette Single,Value,1974,1,
989,Cassette Single,Value,1975,1,
990,Cassette Single,Value,1976,1,
991,Cassette Single,Value,1977,1,
992,Cassette Single,Value,1978,1,
993,Cassette Single,Value,1979,1,
994,Cassette Single,Value,1980,1,
995,Cassette Single,Value,1981,1,
996,Cassette Single,Value,1982,1,
997,Cassette Single,Value,1983,1,
998,Cassette Single,Value,1984,1,
999,Cassette Single,Value,1985,1,
1000,8 - Track,Value,1973,1,489.0
1001,8 - Track,Value,1974,1,549.2
1002,8 - Track,Value,1975,1,583.0
1003,8 - Track,Value,1976,1,678.2
1004,8 - Track,Value,1977,1,811.0
1005,8 - Track,Value,1978,1,948.0
1006,8 - Track,Value,1979,1,684.3
1007,8 - Track,Value,1980,1,527.0
1008,8 - Track,Value,1981,1,313.0
1009,8 - Track,Value,1982,1,36.0
1010,8 - Track,Value,1983,1,
1011,8 - Track,Value,1984,1,
1012,8 - Track,Value,1985,1,
1013,8 - Track,Value,1986,1,
1014,8 - Track,Value,1987,1,
1015,8 - Track,Value,1988,1,
1016,8 - Track,Value,1989,1,
1017,8 - Track,Value,1990,1,
1018,8 - Track,Value,1991,1,
1019,8 - Track,Value,1992,1,
1020,8 - Track,Value,1993,1,
1021,8 - Track,Value,1994,1,
1022,8 - Track,Value,1995,1,
1023,8 - Track,Value,1996,1,
1024,8 - Track,Value,1997,1,
1025,8 - Track,Value,1998,1,
1026,8 - Track,Value,1999,1,
1027,8 - Track,Value,2000,1,
1028,8 - Track,Value,2001,1,
1029,8 - Track,Value,2002,1,
1030,8 - Track,Value,2003,1,
1031,8 - Track,Value,2004,1,
1032,8 - Track,Value,2005,1,
1033,8 - Track,Value,2006,1,
1034,8 - Track,Value,2007,1,
1035,8 - Track,Value,2008,1,
1036,8 - Track,Value,2009,1,
1037,8 - Track,Value,2010,1,
1038,8 - Track,Value,2011,1,
1039,8 - Track,Value,2012,1,
1040,8 - Track,Value,2013,1,
1041,8 - Track,Value,2014,1,
1042,8 - Track,Value,2015,1,
1043,8 - Track,Value,2016,1,
1044,8 - Track,Value,2017,1,
1045,8 - Track,Value,2018,1,
1046,8 - Track,Value,2019,1,
1047,Cassette Single,Value,1986,1,
1048,Cassette Single,Value,1987,1,14.3
1049,Cassette Single,Value,1988,1,57.3
1050,Cassette Single,Value,1989,1,194.6
1051,Cassette Single,Value,1990,1,257.9
1052,Cassette Single,Value,1991,1,230.4
1053,Cassette Single,Value,1992,1,298.8
1054,Cassette Single,Value,1993,1,298.5
1055,Cassette Single,Value,1994,1,274.9
1056,Cassette Single,Value,1995,1,236.3
1057,Cassette Single,Value,1996,1,189.3
1058,Cassette Single,Value,1997,1,133.5
1059,Cassette Single,Value,1998,1,94.4
1060,Cassette Single,Value,1999,1,48.0
1061,Cassette Single,Value,2000,1,4.6
1062,Cassette Single,Value,2001,1,-5.3
1063,Cassette Single,Value,2002,1,-1.6
1064,Cassette Single,Value,2003,1,
1065,Cassette Single,Value,2004,1,
1066,Cassette Single,Value,2005,1,
1067,Cassette Single,Value,2006,1,
1068,Cassette Single,Value,2007,1,
1069,Cassette Single,Value,2008,1,
1070,Cassette Single,Value,2009,1,
1071,Cassette Single,Value,2010,1,
1072,Cassette Single,Value,2011,1,
1073,Cassette Single,Value,2012,1,
1074,Cassette Single,Value,2013,1,
1075,Cassette Single,Value,2014,1,
1076,Cassette Single,Value,2015,1,
1077,Cassette Single,Value,2016,1,
1078,Cassette Single,Value,2017,1,
1079,Cassette Single,Value,2018,1,
1080,Cassette Single,Value,2019,1,
1081,DVD Audio,Value,1973,1,
1082,DVD Audio,Value,1974,1,
1083,DVD Audio,Value,1975,1,
1084,DVD Audio,Value,1976,1,
1085,DVD Audio,Value,1977,1,
1086,DVD Audio,Value,1978,1,
1087,DVD Audio,Value,1979,1,
1088,DVD Audio,Value,1980,1,
1089,DVD Audio,Value,1981,1,
1090,DVD Audio,Value,1982,1,
1091,DVD Audio,Value,1983,1,
1092,DVD Audio,Value,1984,1,
1093,DVD Audio,Value,1985,1,
1094,DVD Audio,Value,1986,1,
1095,DVD Audio,Value,1987,1,
1096,DVD Audio,Value,1988,1,
1097,DVD Audio,Value,1989,1,
1098,DVD Audio,Value,1990,1,
1099,DVD Audio,Value,1991,1,
1100,DVD Audio,Value,1992,1,
1101,DVD Audio,Value,1993,1,
1102,DVD Audio,Value,1994,1,
1103,DVD Audio,Value,1995,1,
1104,DVD Audio,Value,1996,1,
1105,DVD Audio,Value,1997,1,
1106,DVD Audio,Value,1998,1,
1107,DVD Audio,Value,1999,1,
1108,DVD Audio,Value,2000,1,
1109,DVD Audio,Value,2001,1,6.0
1110,DVD Audio,Value,2002,1,8.5
1111,DVD Audio,Value,2003,1,8.0
1112,DVD Audio,Value,2004,1,6.5
1113,DVD Audio,Value,2005,1,11.2
1114,DVD Audio,Value,2006,1,2.4
1115,DVD Audio,Value,2007,1,2.8
1116,DVD Audio,Value,2008,1,1.2
1117,DVD Audio,Value,2009,1,1.6
1118,DVD Audio,Value,2010,1,0.9
1119,DVD Audio,Value,2011,1,0.3
1120,DVD Audio,Value,2012,1,0.183106992
1121,DVD Audio,Value,2013,1,-0.495804191
1122,DVD Audio,Value,2014,1,2.139460944
1123,DVD Audio,Value,2015,1,5.416232673
1124,DVD Audio,Value,2016,1,2.83553587
1125,DVD Audio,Value,2017,1,2.606840648
1126,DVD Audio,Value,2018,1,3.317383752
1127,DVD Audio,Value,2019,1,1.067303184
1128,Download Album,Value,1973,1,
1129,Download Album,Value,1974,1,
1130,Download Album,Value,1975,1,
1131,Download Album,Value,1976,1,
1132,Download Album,Value,1977,1,
1133,Download Album,Value,1978,1,
1134,Download Album,Value,1979,1,
1135,Download Album,Value,1980,1,
1136,Download Album,Value,1981,1,
1137,Download Album,Value,1982,1,
1138,Download Album,Value,1983,1,
1139,Download Album,Value,1984,1,
1140,Download Album,Value,1985,1,
1141,Download Album,Value,1986,1,
1142,Download Album,Value,1987,1,
1143,Download Album,Value,1988,1,
1144,Download Album,Value,1989,1,
1145,Download Album,Value,1990,1,
1146,Download Album,Value,1991,1,
1147,Download Album,Value,1992,1,
1148,Download Album,Value,1993,1,
1149,Download Album,Value,1994,1,
1150,Download Album,Value,1995,1,
1151,Download Album,Value,1996,1,
1152,Download Album,Value,1997,1,
1153,Download Album,Value,1998,1,
1154,Download Album,Value,1999,1,
1155,Download Album,Value,2000,1,
1156,Download Album,Value,2001,1,
1157,Download Album,Value,2002,1,
1158,Download Album,Value,2003,1,
1159,Download Album,Value,2004,1,45.5
1160,Download Album,Value,2005,1,135.7
1161,Download Album,Value,2006,1,275.9
1162,Download Album,Value,2007,1,497.4
1163,Download Album,Value,2008,1,635.3
1164,Download Album,Value,2009,1,744.3
1165,Download Album,Value,2010,1,872.4
1166,Download Album,Value,2011,1,1070.8
1167,Download Album,Value,2012,1,1204.822243
1168,Download Album,Value,2013,1,1232.139716
1169,Download Album,Value,2014,1,1117.900009
1170,Download Album,Value,2015,1,1064.433607
1171,Download Album,Value,2016,1,868.59426835
1172,Download Album,Value,2017,1,668.500705901
1173,Download Album,Value,2018,1,499.65083242
1174,Download Album,Value,2019,1,394.533006158
1175,Download Music Video,Value,1973,1,
1176,Download Music Video,Value,1974,1,
1177,Download Music Video,Value,1975,1,
1178,Download Music Video,Value,1976,1,
1179,Download Music Video,Value,1977,1,
1180,Download Music Video,Value,1978,1,
1181,Download Music Video,Value,1979,1,
1182,Download Music Video,Value,1980,1,
1183,Download Music Video,Value,1981,1,
1184,Download Music Video,Value,1982,1,
1185,Download Music Video,Value,1983,1,
1186,Download Music Video,Value,1984,1,
1187,Download Music Video,Value,1985,1,
1188,Download Music Video,Value,1986,1,
1189,Download Music Video,Value,1987,1,
1190,Download Music Video,Value,1988,1,
1191,Download Music Video,Value,1989,1,
1192,Download Music Video,Value,1990,1,
1193,Download Music Video,Value,1991,1,
1194,Download Music Video,Value,1992,1,
1195,Download Music Video,Value,1993,1,
1196,Download Music Video,Value,1994,1,
1197,Download Music Video,Value,1995,1,
1198,Download Music Video,Value,1996,1,
1199,Download Music Video,Value,1997,1,
1200,Download Music Video,Value,1998,1,
1201,Download Music Video,Value,1999,1,
1202,Download Music Video,Value,2000,1,
1203,Download Music Video,Value,2001,1,
1204,Download Music Video,Value,2002,1,
1205,Download Music Video,Value,2003,1,
1206,Download Music Video,Value,2004,1,
1207,Download Music Video,Value,2005,1,3.7
1208,Download Music Video,Value,2006,1,19.7
1209,Download Music Video,Value,2007,1,28.2
1210,Download Music Video,Value,2008,1,41.3
1211,Download Music Video,Value,2009,1,40.9
1212,Download Music Video,Value,2010,1,36.6
1213,Download Music Video,Value,2011,1,32.4
1214,Download Music Video,Value,2012,1,20.842242
1215,Download Music Video,Value,2013,1,16.740803
1216,Download Music Video,Value,2014,1,13.577058
1217,Download Music Video,Value,2015,1,6.414419
1218,Download Music Video,Value,2016,1,4.26940012
1219,Download Music Video,Value,2017,1,2.785780489
1220,Download Music Video,Value,2018,1,2.2208106
1221,Download Music Video,Value,2019,1,1.858910402
1222,Download Single,Value,1973,1,
1223,Download Single,Value,1974,1,
1224,Download Single,Value,1975,1,
1225,Download Single,Value,1976,1,
1226,Download Single,Value,1977,1,
1227,Download Single,Value,1978,1,
1228,Download Single,Value,1979,1,
1229,Download Single,Value,1980,1,
1230,Download Single,Value,1981,1,
1231,Download Single,Value,1982,1,
1232,Download Single,Value,1983,1,
1233,Download Single,Value,1984,1,
1234,Download Single,Value,1985,1,
1235,Download Single,Value,1986,1,
1236,Download Single,Value,1987,1,
1237,Download Single,Value,1988,1,
1238,Download Single,Value,1989,1,
1239,Download Single,Value,1990,1,
1240,Download Single,Value,1991,1,
1241,Download Single,Value,1992,1,
1242,Download Single,Value,1993,1,
1243,Download Single,Value,1994,1,
1244,Download Single,Value,1995,1,
1245,Download Single,Value,1996,1,
1246,Download Single,Value,1997,1,
1247,Download Single,Value,1998,1,
1248,Download Single,Value,1999,1,
1249,Download Single,Value,2000,1,
1250,Download Single,Value,2001,1,
1251,Download Single,Value,2002,1,
1252,Download Single,Value,2003,1,
1253,Download Single,Value,2004,1,138.0
1254,Download Single,Value,2005,1,363.3
1255,Download Single,Value,2006,1,580.6
1256,Download Single,Value,2007,1,811.0
1257,Download Single,Value,2008,1,1032.2
1258,Download Single,Value,2009,1,1172.0
1259,Download Single,Value,2010,1,1336.4
1260,Download Single,Value,2011,1,1522.4
1261,Download Single,Value,2012,1,1644.570645
1262,Download Single,Value,2013,1,1573.420534
1263,Download Single,Value,2014,1,1355.331251
1264,Download Single,Value,2015,1,1185.237595
1265,Download Single,Value,2016,1,900.1814810659998
1266,Download Single,Value,2017,1,678.524888322
1267,Download Single,Value,2018,1,490.430488658
1268,Download Single,Value,2019,1,414.804250982
1269,Kiosk,Value,1973,1,
1270,Kiosk,Value,1974,1,
1271,Kiosk,Value,1975,1,
1272,Kiosk,Value,1976,1,
1273,Kiosk,Value,1977,1,
1274,Kiosk,Value,1978,1,
1275,Kiosk,Value,1979,1,
1276,Kiosk,Value,1980,1,
1277,Kiosk,Value,1981,1,
1278,Kiosk,Value,1982,1,
1279,Kiosk,Value,1983,1,
1280,Kiosk,Value,1984,1,
1281,Kiosk,Value,1985,1,
1282,Kiosk,Value,1986,1,
1283,Kiosk,Value,1987,1,
1284,Kiosk,Value,1988,1,
1285,Kiosk,Value,1989,1,
1286,Kiosk,Value,1990,1,
1287,Kiosk,Value,1991,1,
1288,Kiosk,Value,1992,1,
1289,Kiosk,Value,1993,1,
1290,Kiosk,Value,1994,1,
1291,Kiosk,Value,1995,1,
1292,Kiosk,Value,1996,1,
1293,Kiosk,Value,1997,1,
1294,Kiosk,Value,1998,1,
1295,Kiosk,Value,1999,1,
1296,Kiosk,Value,2000,1,
1297,Kiosk,Value,2001,1,
1298,Kiosk,Value,2002,1,
1299,Kiosk,Value,2003,1,
1300,Kiosk,Value,2004,1,
1301,Kiosk,Value,2005,1,1.0
1302,Kiosk,Value,2006,1,1.9
1303,Kiosk,Value,2007,1,2.6
1304,Kiosk,Value,2008,1,2.6
1305,Kiosk,Value,2009,1,6.3
1306,Kiosk,Value,2010,1,6.4
1307,Kiosk,Value,2011,1,2.7
1308,Kiosk,Value,2012,1,3.654065
1309,Kiosk,Value,2013,1,6.183604
1310,Kiosk,Value,2014,1,2.582636
1311,Kiosk,Value,2015,1,3.700455
1312,Kiosk,Value,2016,1,2.943916801
1313,Kiosk,Value,2017,1,2.25474315
1314,Kiosk,Value,2018,1,1.965045799
1315,Kiosk,Value,2019,1,1.586470587
1316,LP/EP,Value,1973,1,1246.0
1317,LP/EP,Value,1974,1,1356.0
1318,LP/EP,Value,1975,1,1485.0
1319,LP/EP,Value,1976,1,1663.0
1320,LP/EP,Value,1977,1,2195.1
1321,LP/EP,Value,1978,1,2473.3
1322,LP/EP,Value,1979,1,2057.0
1323,LP/EP,Value,1980,1,2200.0
1324,LP/EP,Value,1981,1,2341.7
1325,LP/EP,Value,1982,1,1925.1
1326,LP/EP,Value,1983,1,1689.0
1327,LP/EP,Value,1984,1,1548.8
1328,LP/EP,Value,1985,1,1280.5
1329,LP/EP,Value,1986,1,983.0
1330,LP/EP,Value,1987,1,793.1
1331,LP/EP,Value,1988,1,532.2
1332,LP/EP,Value,1989,1,220.3
1333,LP/EP,Value,1990,1,86.5
1334,LP/EP,Value,1991,1,29.4
1335,LP/EP,Value,1992,1,13.5
1336,LP/EP,Value,1993,1,10.6
1337,LP/EP,Value,1994,1,17.8
1338,LP/EP,Value,1995,1,25.1
1339,LP/EP,Value,1996,1,36.8
1340,LP/EP,Value,1997,1,33.3
1341,LP/EP,Value,1998,1,34.0
1342,LP/EP,Value,1999,1,31.8
1343,LP/EP,Value,2000,1,27.7
1344,LP/EP,Value,2001,1,27.4
1345,LP/EP,Value,2002,1,20.5
1346,LP/EP,Value,2003,1,21.7
1347,LP/EP,Value,2004,1,19.3
1348,LP/EP,Value,2005,1,14.2
1349,LP/EP,Value,2006,1,15.7
1350,LP/EP,Value,2007,1,22.9
1351,LP/EP,Value,2008,1,56.7
1352,LP/EP,Value,2009,1,63.8
1353,LP/EP,Value,2010,1,88.9
1354,LP/EP,Value,2011,1,119.4
1355,LP/EP,Value,2012,1,160.723058291
1356,LP/EP,Value,2013,1,210.739051034
1357,LP/EP,Value,2014,1,243.84684834
1358,LP/EP,Value,2015,1,333.379793112
1359,LP/EP,Value,2016,1,355.430890954
1360,LP/EP,Value,2017,1,388.511108168
1361,LP/EP,Value,2018,1,419.223946961
1362,LP/EP,Value,2019,1,497.588920842
1363,Limited Tier Paid Subscription,Value,1973,1,
1364,Limited Tier Paid Subscription,Value,1974,1,
1365,Limited Tier Paid Subscription,Value,1975,1,
1366,Limited Tier Paid Subscription,Value,1976,1,
1367,Limited Tier Paid Subscription,Value,1977,1,
1368,Limited Tier Paid Subscription,Value,1978,1,
1369,Limited Tier Paid Subscription,Value,1979,1,
1370,Limited Tier Paid Subscription,Value,1980,1,
1371,Limited Tier Paid Subscription,Value,1981,1,
1372,Limited Tier Paid Subscription,Value,1982,1,
1373,Limited Tier Paid Subscription,Value,1983,1,
1374,Limited Tier Paid Subscription,Value,1984,1,
1375,Limited Tier Paid Subscription,Value,1985,1,
1376,Limited Tier Paid Subscription,Value,1986,1,
1377,Limited Tier Paid Subscription,Value,1987,1,
1378,Limited Tier Paid Subscription,Value,1988,1,
1379,Limited Tier Paid Subscription,Value,1989,1,
1380,Limited Tier Paid Subscription,Value,1990,1,
1381,Limited Tier Paid Subscription,Value,1991,1,
1382,Limited Tier Paid Subscription,Value,1992,1,
1383,Limited Tier Paid Subscription,Value,1993,1,
1384,Limited Tier Paid Subscription,Value,1994,1,
1385,Limited Tier Paid Subscription,Value,1995,1,
1386,Limited Tier Paid Subscription,Value,1996,1,
1387,Limited Tier Paid Subscription,Value,1997,1,
1388,Limited Tier Paid Subscription,Value,1998,1,
1389,Limited Tier Paid Subscription,Value,1999,1,
1390,Limited Tier Paid Subscription,Value,2000,1,
1391,Limited Tier Paid Subscription,Value,2001,1,
1392,Limited Tier Paid Subscription,Value,2002,1,
1393,Limited Tier Paid Subscription,Value,2003,1,
1394,Limited Tier Paid Subscription,Value,2004,1,
1395,Limited Tier Paid Subscription,Value,2005,1,
1396,Limited Tier Paid Subscription,Value,2006,1,
1397,Limited Tier Paid Subscription,Value,2007,1,
1398,Limited Tier Paid Subscription,Value,2008,1,
1399,Limited Tier Paid Subscription,Value,2009,1,
1400,Limited Tier Paid Subscription,Value,2010,1,
1401,Limited Tier Paid Subscription,Value,2011,1,
1402,Limited Tier Paid Subscription,Value,2012,1,
1403,Limited Tier Paid Subscription,Value,2013,1,
1404,Limited Tier Paid Subscription,Value,2014,1,
1405,Limited Tier Paid Subscription,Value,2015,1,
1406,Limited Tier Paid Subscription,Value,2016,1,263.363685193
1407,Limited Tier Paid Subscription,Value,2017,1,591.601097499
1408,Limited Tier Paid Subscription,Value,2018,1,747.054906158
