country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Croatia,3864691,3900322,3935773,3973455,4011865,4049659,4085640,4119357,4151529,4183291,4215324,4247852,4280073,4311042,4341043,4371381,4401775,4429801,4454141,4474891,4492638,4509275,4526426,4544133,4561861,4579428,4597191,4615729,4635773,4657517,4680144,4703980,4728725,4751890,4776362,4803325,4828684,4849962,4865828,4874182,4873707,4844522,4798321,4792403,4819426,4807100,4758628,4711373,4659932,4605329,4548434,4506759,4482868,4461139,4443350,4429681,4417560,4405532,4393664,4382130,4368682,4351842,4331595,4308854,4283972,4254815,4223751,4192467,4160485,4129752,4096869,4060135,4030358,4008617
Cuba,5926645,6047907,6170590,6296738,6426523,6559586,6695376,6833757,6974868,7119349,7267395,7418518,7574265,7736352,7902286,8067651,8230450,8390962,8550286,8709654,8869636,9025709,9169289,9297924,9413105,9514305,9600862,9672546,9729986,9774711,9809107,9848560,9908874,9984591,10065539,10149044,10235480,10326910,10425433,10527187,10626680,10713812,10783748,10840934,10887207,10926703,10963031,10998129,11033758,11070094,11105791,11139127,11170051,11199217,11225294,11246114,11260630,11269887,11276609,11283185,11290417,11298710,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191,11194449
Curaçao,100067,103459,106063,108782,111645,114659,117833,121196,124758,128510,131274,133112,135095,137087,139078,141049,143014,144957,146851,148667,150385,151966,153235,154096,154689,155151,155550,155915,156255,156572,156851,157024,157048,156960,156806,156639,156458,156262,156043,155773,155446,155021,154376,153387,152089,150592,148938,147145,145250,143251,141424,140631,141382,143108,145083,147263,149664,152119,154587,157010,159380,161677,163948,166136,168025,169572,170739,171524,184722,193107,189288,190338,191163,192077
Cyprus,493956,501274,508971,517021,525402,534125,543250,552883,563154,574158,585725,594771,601095,607072,612338,617345,622566,627695,632452,636821,640804,644413,647620,650705,648585,644982,648868,656414,663975,671611,679327,687170,696227,707477,719678,731664,743446,755021,766412,777592,788500,799061,810431,825986,844444,862418,880058,897471,914660,931600,948237,964830,982194,1000350,1018684,1037062,1055438,1073873,1092390,1110974,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488,1260138
Czech Republic (Czechia),8916634,8996945,9076531,9151638,9220466,9288972,9357535,9418155,9468429,9506695,9539362,9570405,9594139,9623934,9664981,9702730,9731805,9754258,9770099,9782560,9795744,9816549,9851275,9900291,9960863,10025715,10088044,10144499,10195871,10241203,10270060,10283835,10293691,10298164,10299715,10302326,10302680,10302082,10304152,10304496,10301192,10303362,10310956,10318916,10321302,10311702,10295651,10279044,10263833,10249147,10234710,10230276,10238170,10248038,10260999,10280113,10304815,10337829,10378583,10421510,10464749,10496379,10511065,10514552,10517182,10523798,10527591,10531305,10534593,10536871,10530953,10510751,10493986,10495295
Denmark,4267694,4299579,4330757,4362483,4394320,4426508,4459559,4491051,4521329,4551440,4581727,4613434,4645994,4680812,4718016,4756337,4796403,4834730,4867734,4896157,4922963,4951486,4981078,5008581,5033573,5058203,5078773,5094599,5108930,5119418,5125392,5126981,5126398,5124332,5121314,5119452,5119369,5121510,5126107,5133930,5144623,5158325,5175469,5193775,5213800,5235197,5256007,5277382,5298992,5319854,5340655,5360748,5378697,5396355,5415586,5436313,5457864,5479722,5502751,5526452,5550849,5576016,5600959,5625385,5650653,5677796,5706857,5737284,5766686,5795878,5825641,5854240,5882261,5910913
Djibouti,62334,64317,66362,68493,70715,72997,75372,77847,80395,83025,85940,89270,93122,97670,102945,108772,114874,121168,127668,135390,144379,154225,165234,177327,191389,208582,229304,253083,278425,302856,324121,341316,355110,367726,382156,400709,424286,452272,482337,521104,577173,628521,623197,611231,623477,629619,644649,667786,694920,719371,742033,765490,789129,806411,818373,830861,846947,865196,882886,901103,919199,936811,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849,1136455
Dominica,50188,50362,50544,50810,51214,51895,52951,54316,55972,57821,59379,60395,61224,62031,62843,63744,64728,65760,66865,68007,68895,69430,69870,70334,70822,71300,71748,72142,72478,72768,72978,72932,72626,72269,71936,71596,71215,70808,70397,69975,69481,69141,69112,69169,69198,69201,69166,69081,68938,68698,68346,68153,68262,68442,68574,68674,68742,68775,68782,68787,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737,73040
Dominican Republic,2381740,2455305,2532758,2614566,2700717,2791108,2885526,2983695,3085349,3190231,3298021,3408415,3521164,3635798,3752313,3868712,3987090,4108916,4230877,4352954,4475871,4599841,4724801,4851183,4978582,5106453,5235318,5365074,5495443,5625864,5755800,5885244,6014979,6147213,6282104,6417798,6554325,6692720,6834207,6980033,7129004,7278402,7427340,7576074,7723934,7869753,8012314,8150076,8282126,8411374,8540791,8669040,8795101,8919852,9043127,9164768,9284168,9402206,9522948,9648061,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821,11332972
Democratic Republic of the Congo,12295745,12545791,12807615,13074603,13349701,13638427,13939099,14252673,14569211,14903607,15276558,15673284,16086084,16517995,16965855,17438254,17941738,18472105,19022799,19583123,20151733,20712952,21273409,21853906,22448415,23052715,23655016,24256464,25015244,25902760,26708686,27457783,28219219,29005175,29879852,30800051,31725132,32712574,33750052,34825891,35987541,37194812,38332302,39580844,41511985,43285791,44118709,44822198,45895524,47227238,48616317,50106657,51662071,53205639,54815607,56550247,58381630,60289422,62249724,64270232,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212,102262808
Ecuador,3518733,3613175,3710588,3811220,3915140,4022378,4133240,4248157,4367090,4490253,4618158,4751507,4890425,5034334,5183283,5337351,5495761,5658446,5825663,5997037,6172215,6350944,6533630,6720443,6911123,7105786,7304349,7506665,7712718,7922490,8135845,8352602,8572607,8795873,9022979,9254311,9490096,9729376,9969788,10210185,10449837,10686279,10914222,11132829,11347652,11561683,11775221,11987838,12199693,12412046,12626507,12845521,13070609,13301184,13534593,13770012,14009061,14251835,14496797,14742766,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000,18190484
Egypt,21150058,21606363,22108164,22659254,23241217,23841701,24453498,25078378,25700968,26345761,27034499,27747867,28485022,29245936,30026648,30818469,31613132,32408414,33204629,33995955,34781986,35555969,36330768,37120776,37930374,38775584,39649050,40577356,41576636,42632458,43748556,44899573,46088647,47353665,48676443,50035843,51424313,52841319,54298446,55765843,57214630,58611032,59989142,61382200,62775847,64166908,65565195,66993728,68446011,69907887,71371371,72854261,74393759,75963322,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103,112716598
El Salvador,2182409,2232150,2283105,2335943,2390852,2448633,2509186,2572504,2637600,2705557,2779327,2858896,2937821,3014885,3095170,3179506,3266436,3354611,3443251,3530958,3619090,3708010,3798109,3890639,3984049,4076751,4166890,4256699,4346522,4433041,4508992,4549173,4599904,4689680,4782219,4876757,4970788,5067200,5170440,5270825,5367179,5461070,5552206,5630987,5693038,5748195,5797140,5842638,5885083,5923852,5958482,5988095,6011275,6026849,6035655,6037817,6034436,6044131,6068099,6091188,6114034,6137349,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392,6364943
Equatorial Guinea,226381,230172,233980,237853,241788,245800,249890,254060,258320,262724,267351,272264,277490,283018,288852,295010,301517,308374,315325,318846,316955,311952,305362,298050,290558,283262,276000,271377,270866,273925,282509,296950,315741,336744,357995,378379,397276,414769,431587,448420,465549,483142,501334,520236,539992,560740,582573,605570,629734,655029,684977,719270,754115,789681,826355,864726,905418,948814,994971,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908,1714671
Eritrea,822576,834934,848449,863003,878538,895009,912409,930920,950588,971439,993568,1016932,1041552,1067295,1094042,1121739,1150264,1179554,1209602,1240562,1272748,1306234,1340838,1376516,1413220,1450867,1489656,1529802,1571193,1613829,1657982,1703789,1751045,1799814,1849594,1899243,1949611,2000355,2051546,2102131,2149960,2039220,1921153,1981419,2042500,2157220,2264073,2291561,2322753,2356477,2392880,2461927,2547424,2653390,2763140,2831732,2880093,2926168,3005779,3083888,3147727,3207570,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032,3748901
Estonia,1102078,1116336,1130244,1143305,1155800,1168276,1179950,1190792,1199866,1207082,1218064,1233243,1248160,1262540,1277334,1292004,1305808,1319741,1334226,1348704,1361999,1374794,1387623,1399849,1412117,1424044,1435355,1447120,1458851,1468656,1476983,1485768,1495374,1505714,1516124,1525782,1536023,1547706,1559586,1568047,1570674,1565627,1540381,1504436,1475727,1452775,1434670,1421490,1411147,1403498,1396877,1387995,1379240,1370660,1362480,1354662,1346709,1340574,1337011,1334552,1331535,1327429,1322682,1317982,1314526,1314657,1315926,1317549,1322148,1327039,1329444,1328701,1326062,1322765
Eswatini,271642,278562,285562,292637,299805,307078,314445,321925,329538,337262,345065,352971,361070,369527,378531,388317,398861,409638,420373,431366,442865,454913,467512,480668,494624,509535,525457,542328,560236,579091,598564,616210,634439,655505,677303,702400,730150,758669,794434,825952,854011,889712,925165,953451,953737,953573,973587,990734,1005158,1018370,1030496,1041396,1050809,1058797,1065764,1071886,1077735,1084008,1089870,1094886,1099920,1105371,1111444,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271,1201670,1210822
Ethiopia,17709951,18101144,18496797,18891916,19292149,19703738,20127942,20499416,20816567,21227211,21739710,22281675,22852158,23448979,24073696,24727506,25377645,26051596,26778653,27530388,28308246,29099594,29891328,30694316,31488613,32252783,33062216,33695018,34259065,34758823,34945469,35818844,37213393,38235187,39202890,40285965,41455309,42851957,44511537,46195954,47878073,49937430,52011554,53791672,55620211,57476536,59347649,61233480,63136493,65077579,67031867,69018932,71073215,73168838,75301026,77469940,79691050,81996185,84357105,86755585,89237791,91817929,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924,126527060
Falkland Islands,2191,2204,2216,2211,2192,2187,2193,2209,2227,2244,2265,2291,2309,2312,2309,2308,2306,2297,2289,2283,2274,2275,2276,2277,2277,2280,2281,2279,2271,2256,2240,2229,2229,2230,2233,2232,2235,2254,2281,2308,2332,2377,2456,2547,2640,2735,2813,2881,2950,3018,3080,3124,3151,3169,3187,3204,3216,3215,3204,3195,3187,3175,3194,3260,3333,3408,3508,3598,3656,3710,3747,3764,3780,3791
Faroe Islands,31655,31849,31944,32014,32069,32127,32338,32739,33204,33685,34154,34572,34963,35385,35841,36346,36825,37234,37630,38011,38416,38861,39304,39746,40189,40626,41054,41481,41965,42506,43054,43613,44164,44669,45135,45575,46011,46477,46959,47490,47479,46810,46005,45096,44131,43805,44138,44495,44865,45203,45660,46245,46813,47392,47989,48291,48313,48361,48411,48429,48410,48386,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090,53270
Fiji,308308,312840,318772,325965,334262,343693,354110,365288,377075,389315,401841,414534,427695,441385,455214,469010,482358,494632,505979,516952,527634,538000,547918,557244,566296,575804,586607,599289,613611,628859,644582,660630,676967,693593,710561,727461,742658,754778,764370,772704,780430,784832,786859,789198,790803,792246,796538,804572,813947,823422,832509,841320,849891,858306,866694,874923,883083,890648,896731,901383,905169,908355,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766,936375
Finland,4008289,4047489,4090778,4139773,4187364,4235413,4282280,4324579,4360274,4395235,4430173,4461529,4492172,4524297,4549553,4564583,4581787,4607108,4627785,4624397,4606621,4612424,4639831,4666166,4690576,4711368,4725518,4738739,4752400,4764568,4779418,4799865,4826861,4855733,4881748,4902175,4918172,4932176,4946561,4964475,4986545,5013854,5042121,5066605,5088490,5107943,5124718,5139943,5153544,5165491,5176209,5188002,5200596,5212989,5228141,5246071,5266251,5288689,5313350,5338815,5363271,5388166,5413859,5438872,5461440,5479461,5495219,5508140,5515461,5521537,5529468,5535992,5540745,5545475
France,41842355,42196657,42542401,42883297,43225643,43593851,43959221,44338091,44754358,45201849,45659575,46143030,46635189,47121247,47641952,48168804,48683086,49181410,49647279,50087049,50523586,50970698,51410363,51814075,52163552,52450030,52685266,52925442,53175309,53428781,53713830,54016749,54319646,54592379,54845980,55108106,55371639,55641541,55911478,56169948,56412897,56645215,56864048,57053732,57230065,57420354,57623178,57839363,58080344,58352208,58665453,59014772,59372786,59728262,60108438,60510079,60919150,61329376,61721009,62093296,62444567,62775268,63071416,63335180,63588491,63809769,63989319,64144086,64277808,64399759,64480053,64531444,64626628,64756584
French Guiana,23398,23697,24008,24359,24762,25456,26457,27523,28649,29849,31125,32484,33945,35511,37179,38946,40762,42494,43961,45217,46484,47834,49245,50704,52339,54347,56676,59127,61635,64200,66825,69683,73130,77316,81992,86931,92106,97502,103119,108763,113931,118507,122927,127499,132260,137183,142232,147373,152649,158117,164351,171398,178730,186207,193694,201259,207869,213304,218517,223524,228453,233632,239243,245370,251371,257026,262813,269353,276647,284072,290969,297449,304557,312155
French Polynesia,64535,66350,68169,70138,72240,74475,76838,78983,80879,82837,84851,86921,89208,91963,95192,98674,102281,105995,109832,113803,117891,122108,126457,130883,135349,139833,144356,149007,153745,158563,163591,168892,174343,179042,183146,187578,192196,196856,201740,206571,211089,215444,219621,223714,227682,231446,235189,239036,242882,246821,250927,255049,259137,263173,267132,271060,274901,278178,280558,282283,283788,285265,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032,306279,308872
Gabon,472905,475827,478897,482183,485694,489459,493528,497905,502647,507784,513340,519329,525754,532592,539830,547535,555748,564436,573611,584628,597192,609693,622289,635288,648922,663340,678660,694931,712135,730188,749078,768904,789585,811098,833417,856482,880340,905016,930464,956509,983028,1009995,1037446,1065390,1093611,1121964,1150601,1179806,1209832,1240764,1272935,1306590,1341696,1378398,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992,2436566
Gambia,306781,314613,322827,331377,340240,349374,358748,368414,378454,388866,399649,410801,422310,434173,446375,458908,471753,485132,499151,513686,528731,544317,560553,577488,594904,612909,631894,651934,672974,695155,718586,742846,768272,795563,824798,855958,888980,923914,960837,999732,1040616,1083536,1127152,1168309,1205882,1242155,1279070,1317002,1356189,1396499,1437539,1479449,1522223,1566257,1612225,1660368,1711294,1764883,1820542,1878119,1937275,1998212,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992,2773168
Georgia,3517264,3557571,3599589,3643528,3689452,3738231,3791733,3849921,3912807,3980075,4051492,4125760,4201151,4276891,4350035,4418592,4492695,4575000,4658097,4739872,4800426,4837333,4870399,4903551,4936538,4970320,5005133,5040802,5077051,5111667,5145843,5181893,5219538,5259444,5299787,5338867,5377672,5415383,5450139,5445481,5391636,5322105,5239328,5127511,4997913,4877676,4761272,4640032,4518405,4394501,4265172,4144481,4061128,4017825,3988860,3961182,3933867,3906470,3879698,3855200,3836831,3821662,3804356,3786023,3774235,3771132,3771110,3771900,3772325,3770811,3765912,3757980,3744385,3728282
Germany,70964095,70820042,70808373,70879443,71020731,71222628,71473269,71771634,72136470,72578945,73063695,73604346,74194417,74796217,75423245,76037469,76618716,77173553,77646126,78012485,78294583,78511398,78643556,78667466,78620534,78513511,78364216,78221272,78071549,77915727,77786703,77684489,77610430,77566064,77568572,77638808,77803357,78090895,78477530,78916438,79370196,79801988,80205030,80573488,80882126,81123262,81300865,81436087,81524383,81556965,81551677,81514568,81443427,81346810,81266673,81212168,81177817,81183830,81217482,81260615,81325090,81423378,81545565,81680591,81858825,82073226,82331423,82624374,82896696,83148141,83328988,83408554,83369843,83294633
Ghana,5077596,5220288,5373395,5535165,5706212,5887163,6077347,6275801,6479011,6690090,6911510,7109029,7281192,7458243,7640196,7827726,8019658,8216086,8418152,8629855,8861895,9108878,9365952,9637197,9918979,10209848,10509006,10825496,11163230,11515675,11865246,12212960,12584976,12984131,13342487,13651443,13971682,14310790,14671677,15052447,15446982,15843471,16241548,16643633,17040854,17438874,17844010,18268040,18714708,19176791,19665502,20195577,20758326,21329514,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870,34121985
Gibraltar,21402,21088,21206,21317,21430,21541,21641,21712,21756,21788,21822,21907,22249,22796,23347,23910,24477,25047,25610,26162,26685,27069,27323,27558,27779,27973,28162,28337,28485,28618,28734,28819,28863,28855,28788,28674,28506,28272,28000,27688,27317,26988,26945,27118,27282,27412,27491,27564,27636,27695,27741,27721,27892,28301,28716,29155,29587,29996,30398,30819,31262,31701,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649,32688
Greece,7669099,7766344,7863877,7959592,8052760,8146022,8234417,8313971,8385149,8447073,8495415,8526469,8540805,8541792,8534890,8526254,8520630,8518067,8518837,8526138,8544873,8576109,8616667,8666390,8729701,8805415,8890428,8983236,9084308,9194178,9307148,9418994,9528815,9636353,9740382,9840141,9936726,10029141,10120191,10211979,10302255,10391547,10478388,10563441,10647416,10727927,10803806,10875273,10939475,10993862,11038109,11072182,11096617,11110487,11115091,11113448,11106093,11091493,11073623,11055496,11033783,11004725,10963635,10914505,10862969,10806641,10749742,10692228,10633271,10574024,10512232,10445365,10384971,10341277
Greenland,23119,23601,24229,24867,25556,26295,27210,28307,29488,30768,32124,33435,34670,35920,37208,38539,39945,41369,42748,44106,45434,46479,47246,47965,48607,49151,49569,49739,49734,49761,50106,50719,51341,51984,52638,53220,53727,54248,54778,55298,55599,55657,55688,55708,55700,55788,55960,56072,56123,56106,56184,56386,56565,56728,56866,56887,56811,56708,56578,56442,56351,56288,56199,56089,55953,55895,55916,55928,55931,55931,56026,56243,56466,56643
Grenada,77020,77429,78365,79552,80982,82656,84591,86774,89159,91679,93772,95096,96052,96882,97613,98226,98692,98977,99056,98975,98794,98535,98225,97886,97528,97165,96781,96329,95811,95242,94838,95222,96534,98177,99618,100576,100893,100599,99877,99224,99047,99758,101040,102173,103174,104060,104846,105549,106200,106823,107432,107936,108231,108740,109516,110254,110988,111725,112478,113249,114039,114918,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438,126183
Guadeloupe,215261,218842,224482,230398,236443,242576,248922,255532,262402,269556,276976,283976,289955,294981,299330,303438,307401,311007,313986,316354,318310,319852,320960,321765,322832,324878,327611,330067,331884,333221,334234,335651,338961,344443,350977,357844,364854,371909,378988,385866,391951,396989,401447,405731,409884,413935,417901,421814,424978,425753,424067,421188,417620,413445,408625,403233,400926,401614,402095,402677,403072,403143,402984,402347,400847,399089,397854,397022,396262,395485,395642,396051,395752,395839
Guam,60991,61923,62893,63893,64912,65977,67106,68305,69587,70945,72374,73873,75412,76996,78621,80255,81879,83480,85046,86534,88300,90505,92815,95100,97329,99478,101590,103676,105710,107790,110286,113221,116189,119067,121885,124675,127462,130259,133079,135759,138263,140739,143173,145541,147843,150094,152261,154330,156357,158395,160188,161524,162563,163385,164004,164430,164675,164763,164725,164580,164905,165649,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774,172952
Guatemala,3099869,3185854,3276113,3368486,3462952,3560239,3660606,3764479,3870646,3981253,4098352,4220367,4346322,4475716,4608498,4744461,4882542,5022615,5164908,5308294,5453208,5598298,5744605,5895101,6048168,6201734,6342726,6487153,6648770,6814717,6987767,7165502,7332790,7512048,7718971,7932185,8148185,8369359,8600111,8839538,9084780,9329557,9576630,9831868,10094921,10363090,10632293,10905381,11184032,11463504,11735894,12009194,12289856,12570504,12852436,13132814,13412406,13696606,13979451,14259411,14543121,14833453,15128306,15422662,15713740,16001107,16291004,16578723,16850176,17106338,17362718,17608483,17843908,18092026
Guinea,2983557,3032444,3081454,3131200,3181965,3234056,3287535,3342372,3398839,3456953,3516814,3578631,3642324,3707945,3775510,3845074,3916780,3990760,4067333,4145194,4222374,4298087,4372212,4445207,4517073,4588006,4658743,4730375,4804926,4885199,4972609,5067427,5170731,5282274,5402084,5531661,5671380,5820774,5977175,6136166,6354145,6615734,6832195,7046097,7262112,7468347,7683115,7842806,7992545,8174897,8336967,8445717,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341,14190612
Guinea-Bissau,543413,549480,553602,557279,560612,563713,566658,569505,572314,575105,577933,583107,590399,595802,590481,577638,570375,573380,583475,587880,591663,594501,595950,603203,623576,659635,701016,746588,794328,821598,831462,844957,858630,872394,886210,900088,914122,928408,943080,958239,973551,993856,1022904,1056761,1089617,1117222,1140604,1162443,1184071,1206474,1230849,1257380,1285678,1315653,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566,2150842
Guyana,417719,428399,440356,453470,467817,483316,499837,517277,535510,554196,571990,588597,604833,620703,635957,650207,663241,675064,685887,695919,705261,713904,721994,729865,737701,745590,753553,761378,768609,774482,778176,779686,779639,778372,776007,772671,768508,763706,758450,752897,747116,744096,744998,747189,749546,751689,753571,755211,756697,758014,759051,759809,760323,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726,813834
Haiti,3247231,3301802,3358719,3418644,3480966,3545999,3613972,3683628,3754874,3827747,3901139,3974934,4049504,4122260,4196349,4274348,4352949,4432716,4514006,4596642,4680812,4766423,4853117,4940710,5030652,5124560,5222342,5323827,5428667,5536423,5646676,5760197,5877684,5997739,6119932,6245539,6375097,6508349,6644959,6784161,6925331,7066055,7205780,7345940,7486091,7627316,7770593,7915172,8060896,8208941,8360225,8511728,8661546,8812245,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996,11724763
Holy See,880,886,892,898,905,911,916,918,920,920,918,917,917,917,921,908,866,813,771,755,752,751,749,746,743,740,738,737,735,734,733,733,730,727,724,719,713,709,707,705,700,691,685,683,679,676,673,668,660,654,651,649,644,638,633,628,622,617,613,604,596,590,581,574,569,564,556,547,537,528,520,511,510,518
Honduras,1557932,1602228,1648137,1695870,1745344,1796527,1849391,1904009,1960492,2018738,2078617,2139928,2202854,2267708,2334492,2403465,2474523,2547497,2622982,2701381,2782753,2867501,2956021,3046715,3136539,3231631,3334814,3441122,3550368,3662736,3777990,3895736,4015647,4137784,4261919,4387693,4515568,4645733,4778114,4913676,5053234,5196887,5344774,5496841,5652934,5812832,5976550,6144112,6308537,6477365,6656725,6837861,7019908,7201881,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860,10593798
Hong Kong,1980524,2075503,2173597,2275010,2380472,2490487,2606293,2728466,2855692,2985050,3114671,3231758,3331188,3424353,3514763,3602029,3684665,3762177,3834043,3898387,3955072,4028605,4128333,4234754,4342773,4451220,4558873,4664903,4768798,4872752,4978544,5077742,5166905,5252127,5333571,5411680,5492791,5578533,5665617,5752708,5838574,5923447,6007685,6089808,6168707,6243859,6333444,6441236,6546057,6641965,6731195,6801542,6848847,6886457,6915998,6936874,6960595,7001456,7050677,7094595,7132438,7175364,7234060,7296827,7352183,7399838,7435927,7461519,7481555,7496122,7500958,7494578,7488865,7491609
Hungary,9337714,9423044,9503834,9594223,9704520,9823331,9854129,9837655,9879818,9936018,9982610,10025847,10057458,10083327,10114174,10140853,10170085,10206826,10244338,10281121,10315366,10345364,10376617,10410508,10457947,10520237,10578508,10627916,10664862,10692715,10698679,10680620,10655624,10620934,10580906,10542754,10505772,10469192,10434265,10397173,10375989,10374747,10370060,10357421,10342434,10327169,10308267,10286220,10260967,10230256,10202055,10177955,10148401,10118062,10094493,10073525,10057063,10041172,10023510,10008579,9986825,9953245,9922127,9894639,9867901,9844246,9815104,9788941,9776358,9771796,9750573,9709786,9967308,10156239
Iceland,142650,145394,147749,150738,154263,157735,161059,164732,168472,172000,175566,179022,182415,185766,189095,192309,195530,198726,201471,203337,204468,206171,209191,212374,215281,218070,220244,221887,223641,225853,228263,230882,233995,237131,239677,241577,243357,246032,249917,253042,255019,257991,261262,263932,266224,267681,269137,271356,274285,277626,281462,285238,287798,289801,292361,297029,304070,311853,317715,318800,318333,319293,320979,324024,327644,331060,335675,343632,352946,360774,366669,370335,372899,375318
India,357021100,364922360,372997188,381227705,389731406,398577992,407656597,416935399,426295763,435900352,445954579,456351876,467024193,477933619,489059309,500114346,510992617,521987069,533431909,545314670,557501301,569999178,582837973,596107483,609721951,623524219,637451448,651685628,666267760,681248383,696828385,712869298,729169466,745826546,762895156,780242084,797878993,815716125,833729681,852012673,870452165,888941756,907574049,926351297,945261958,964279129,983281218,1002335230,1021434576,1040500054,1059633675,1078970907,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,1428627663
Indonesia,69567619,71019347,72570827,74207986,75925325,77741502,79661837,81690984,83818754,86047674,88382881,90816938,93345489,95962527,98675061,101157868,103561105,106260749,109138723,112149246,115228394,118347135,121504145,124709058,127945196,131213215,134521025,137861540,141250964,144693087,148177096,151686337,155228658,158790611,162331962,165791694,169135273,172421390,175694647,178949174,182159874,185361228,188558416,191737287,194928533,198140162,201373791,204628007,207855486,210996910,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339,277534122
Iran,16832834,17219627,17614454,18017545,18434881,18873864,19332414,19805912,20295117,20821847,21388806,21983622,22605050,23259094,23948624,24667026,25398700,26133341,26875302,27643685,28449705,29273682,30111574,30981898,31895534,32856976,33841060,34876497,35993661,37205013,38520664,40476251,42500030,44027986,45628402,47266160,48913237,50541490,52111868,53644736,55793629,57990883,59372016,59755430,59985749,60794809,61598378,62480533,63461421,64474745,65544383,66674851,67327117,67954699,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570,89172767
Iraq,5656471,5783972,5930350,6089258,6252041,6405686,6552801,6683798,6796490,6929323,7084678,7260714,7481832,7735824,7997655,8270544,8553883,8848502,9156132,9476737,9811347,10154928,10507315,10872139,11243146,11617622,11999342,12400190,12819707,13233830,13653369,14067260,14467682,14903737,15377032,15753856,16148221,16598019,16987346,17442590,17658381,17846378,18385673,19295818,20248073,20948858,21639332,22330770,23053488,23820734,24628858,25425663,26255343,27068823,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122,45504560
