Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Canada,CAN,2020,315612,345671,345671,372272,338156,345671,338156,315612,
Canada,CAN,2021,314708,344680,344680,373863,337187,344680,337187,314708,
Cape Verde,CPV,1980,,,,12443,,,,,
Cape Verde,CPV,1981,,,,12735,,,,,
Cape Verde,CPV,1982,,,,12895,,,,,
Cape Verde,CPV,1983,,2869,2744,12992,,,,,
Cape Verde,CPV,1984,,3897,3897,13088,,,,,
Cape Verde,CPV,1985,,4944,4944,13168,6846,,,,8113
Cape Verde,CPV,1986,,6898,7664,13262,7409,,,,11880
Cape Verde,CPV,1987,,11856,11212,13360,9665,,,,12758
Cape Verde,CPV,1988,,11444,11053,13428,10403,,,,12874
Cape Verde,CPV,1989,,12967,12967,13447,11002,,,,12967
Cape Verde,CPV,1990,,11598,11466,13470,10411,,,,12784
Cape Verde,CPV,1991,,11535,11668,13531,10077,,,,13126
Cape Verde,CPV,1992,,11738,11872,13601,10938,,,,13206
Cape Verde,CPV,1993,,11942,12076,13664,11808,,,,12747
Cape Verde,CPV,1994,,11999,11999,13650,11729,,,,12808
Cape Verde,CPV,1995,,11847,11982,13545,11444,,,,12655
Cape Verde,CPV,1996,,11763,11763,13409,11228,,,,12565
Cape Verde,CPV,1997,,11531,11531,13277,11001,,,,12326
Cape Verde,CPV,1998,,11562,11562,13157,11037,,,,12351
Cape Verde,CPV,1999,,11602,11602,13059,11081,,,,12384
Cape Verde,CPV,2000,,11555,11555,12893,11042,,,,12325
Cape Verde,CPV,2001,,11307,11432,12575,11055,,,,12060
Cape Verde,CPV,2002,4895,11137,11259,12198,10892,,,,11871
Cape Verde,CPV,2003,7828,10912,11031,11864,10675,,,,11624
Cape Verde,CPV,2004,10504,10735,10850,11607,10504,,,,11428
Cape Verde,CPV,2005,10523,10749,10749,11451,10410,,,,11202
Cape Verde,CPV,2006,10635,10747,10859,11374,10523,,,,11083
Cape Verde,CPV,2007,10710,10933,10933,11286,10598,,,,11044
Cape Verde,CPV,2008,10872,10983,10983,11143,10650,,,,10983
Cape Verde,CPV,2009,10745,10854,10854,10935,10635,,,,10854
Cape Verde,CPV,2010,10600,10708,10708,10912,10492,,,,10708
Cape Verde,CPV,2011,9766,9766,9766,11129,10417,9766,10742,,10742
Cape Verde,CPV,2012,10406,10406,10406,10919,10074,10406,10406,,10959
Cape Verde,CPV,2013,10104,10104,10104,10508,9886,10104,9669,,10212
Cape Verde,CPV,2014,10040,9935,9935,10458,9726,10040,8262,,10353
Cape Verde,CPV,2015,9785,9681,9681,10461,9577,9785,9890,,9785
Cape Verde,CPV,2016,9998,9998,9894,10523,9686,9998,9582,,9998
Cape Verde,CPV,2017,10165,10060,10060,10607,10060,10165,10060,,10269
Cape Verde,CPV,2018,10460,10355,10355,10320,10460,10460,10460,,10143
Cape Verde,CPV,2019,9973,9870,9973,10002,10075,9973,10075,,10075
Cape Verde,CPV,2020,9365,9266,9365,9919,9465,9365,9465,,9764
Cape Verde,CPV,2021,9290,9191,9290,9869,9389,9290,9389,,9685
Cayman Islands,CYM,1980,,,,299,,,,,
Cayman Islands,CYM,1981,,,,340,,,,,
Cayman Islands,CYM,1982,,,,355,,,,,
Cayman Islands,CYM,1983,,,,370,,,,,
Cayman Islands,CYM,1984,,,,383,,,,,
Cayman Islands,CYM,1985,,,,395,,,,,
Cayman Islands,CYM,1986,,,,404,,,,,
Cayman Islands,CYM,1987,,,,409,,,,,
Cayman Islands,CYM,1988,,,,413,,,,,
Cayman Islands,CYM,1989,,,,424,,,,,
Cayman Islands,CYM,1990,,,,460,,,,,
Cayman Islands,CYM,1991,,,,498,,,,,
Cayman Islands,CYM,1992,,,,517,,,,,
Cayman Islands,CYM,1993,,,,535,,,,,
Cayman Islands,CYM,1994,,,,551,,,,,
Cayman Islands,CYM,1995,,,,561,,,,,
Cayman Islands,CYM,1996,,,,566,,,,,
Cayman Islands,CYM,1997,,,,563,,,,,
Cayman Islands,CYM,1998,,,,552,,,,,
Cayman Islands,CYM,1999,,,,544,,,,,
Cayman Islands,CYM,2000,,,,589,,,,,
Cayman Islands,CYM,2001,,,,642,,,,,
Cayman Islands,CYM,2002,,,,655,,,,,
Cayman Islands,CYM,2003,,,,663,,,,,
Cayman Islands,CYM,2004,,,,679,,,,,
Cayman Islands,CYM,2005,,,,702,,,,,
Cayman Islands,CYM,2006,,,,722,,,,,
Cayman Islands,CYM,2007,,,,741,,,,,
Cayman Islands,CYM,2008,,,,759,,,,,
Cayman Islands,CYM,2009,,,,769,,,,,
Cayman Islands,CYM,2010,,,,786,,,,,
Cayman Islands,CYM,2011,,,,821,,,,,
Cayman Islands,CYM,2012,,,,837,,,,,
Cayman Islands,CYM,2013,,,,832,,,,,
Cayman Islands,CYM,2014,,,,833,,,,,
Cayman Islands,CYM,2015,,,,835,,,,,
Cayman Islands,CYM,2016,,,,832,,,,,
Cayman Islands,CYM,2017,,,,819,,,,,
Cayman Islands,CYM,2018,,,,791,,,,,
Cayman Islands,CYM,2019,,,,747,,,,,
Cayman Islands,CYM,2020,,,,682,,,,,
Cayman Islands,CYM,2021,,,,660,,,,,
Central African Republic,CAF,1980,,11419,11419,97166,10541,,,,14933
Central African Republic,CAF,1981,,9907,9907,99440,13510,,,,23417
Central African Republic,CAF,1982,,12912,12912,101573,14756,,,,22135
Central African Republic,CAF,1983,,15081,15081,103487,15081,,,,27334
Central African Republic,CAF,1984,,16333,16333,105437,18254,,,,30744
Central African Republic,CAF,1985,,19586,19586,107501,22523,,,,33296
Central African Republic,CAF,1986,,18978,18978,109566,23972,,,,36957
Central African Republic,CAF,1987,,22407,22407,111715,17314,,,,42777
Central African Republic,CAF,1988,,43778,43778,113582,41694,,,,55244
Central African Republic,CAF,1989,,68452,65244,115489,73800,,,,91983
Central African Republic,CAF,1990,,89691,89691,118163,89691,,,,105004
Central African Republic,CAF,1991,,71626,71626,121112,63792,,,,101843
Central African Republic,CAF,1992,,51633,51633,123730,36716,,,,97528
Central African Republic,CAF,1993,,55112,53940,126259,49249,,,,94981
Central African Republic,CAF,1994,,57451,55057,129125,62238,,,,92161
Central African Republic,CAF,1995,,64844,62397,132525,56280,,,,115006
Central African Republic,CAF,1996,,60278,59023,135793,55255,,,,107999
Central African Republic,CAF,1997,,55375,56663,138380,54088,,,,100448
Central African Republic,CAF,1998,,56455,59080,141107,48577,,,,91903
Central African Republic,CAF,1999,,44205,48223,144466,49563,,,,83051
Central African Republic,CAF,2000,,50765,52137,148167,49393,,,,90553
Central African Republic,CAF,2001,,56242,56242,151214,49212,,,,98424
Central African Republic,CAF,2002,,63172,60301,153623,60301,,,,101937
Central African Republic,CAF,2003,,68603,64224,157111,71522,,,,105093
Central African Republic,CAF,2004,,76105,67152,160757,82074,,,,108935
Central African Republic,CAF,2005,,82520,71823,164211,94745,,,,113082
Central African Republic,CAF,2006,,79582,73340,168402,95186,,,,115472
Central African Republic,CAF,2007,,76823,73622,172197,94428,,,,118436
Central African Republic,CAF,2008,,73750,75389,176126,95056,,,,121279
Central African Republic,CAF,2009,70491,70491,75526,180661,93988,70491,,,124198
Central African Republic,CAF,2010,77529,77529,79252,185529,91312,77529,,,127492
Central African Republic,CAF,2011,83091,83091,83091,189797,86627,83091,,,130825
Central African Republic,CAF,2012,84914,84914,84914,192061,86721,84914,,,133694
Central African Republic,CAF,2013,42067,42067,42067,192022,45725,42067,,,67673
Central African Republic,CAF,2014,82151,82151,91278,190387,85802,82151,,,124139
Central African Republic,CAF,2015,78080,78080,92606,187869,83527,78080,,,116212
Central African Republic,CAF,2016,75761,75761,93799,188624,81172,75761,,,110034
Central African Republic,CAF,2017,76190,76190,83446,193786,74376,76190,,,110657
Central African Republic,CAF,2018,78367,78367,85830,199301,76501,78367,,,113818
Central African Republic,CAF,2019,80763,80763,88455,204569,78841,80763,,,117299
Central African Republic,CAF,2020,83106,83106,91021,210659,81128,83106,,,120702
Central African Republic,CAF,2021,85530,85530,93676,217887,83494,85530,,,124223
Chad,TCD,1980,,,,192790,,,,,
Chad,TCD,1981,,,,189588,,,,,
Chad,TCD,1982,,,,190494,,,,,
Chad,TCD,1983,,1781,,207957,,,,,
Chad,TCD,1984,,5757,7676,223465,19189,,,,15351
Chad,TCD,1985,,6188,6188,224889,14438,,,,30938
Chad,TCD,1986,,20927,16742,226715,25113,,,,50225
Chad,TCD,1987,,29638,27521,237862,33872,,,,67743
Chad,TCD,1988,,31104,31104,252217,37769,,,,84426
Chad,TCD,1989,,47146,47146,264909,75434,,,,139082
Chad,TCD,1990,,49476,49476,275561,79161,,,,145953
Chad,TCD,1991,,46497,46497,284161,72329,,,,103327
Chad,TCD,1992,,26710,26710,298298,66776,,,,90815
Chad,TCD,1993,,36266,33476,313764,53004,,,,94849
Chad,TCD,1994,,52877,52877,317454,70502,,,,126317
Chad,TCD,1995,,53916,53916,322805,77879,,,,128800
Chad,TCD,1996,,60967,60967,340769,67063,,,,118885
Chad,TCD,1997,,77040,77040,356221,96299,,,,144449
Chad,TCD,1998,,117576,97420,366378,67186,,,,151168
Chad,TCD,1999,,155710,117647,377188,103807,,,,155710
Chad,TCD,2000,,128372,106976,387534,99845,,,,174728
Chad,TCD,2001,,95345,95345,398892,95345,,,,190690
Chad,TCD,2002,,94544,117234,408930,94544,,,,173960
Chad,TCD,2003,,89465,140032,419801,89465,,,,155591
Chad,TCD,2004,,84098,124145,438010,64075,,,,164192
Chad,TCD,2005,,104452,154589,459341,112808,,,,171301
Chad,TCD,2006,,175262,214696,475993,170880,,,,245367
Chad,TCD,2007,,127261,172711,490471,140896,,,,199981
Chad,TCD,2008,79760,89143,140752,504575,126677,79760,,,140752
Chad,TCD,2009,116056,116056,154741,518887.03,174083,116056,,,222440
Chad,TCD,2010,194202,194202,214121,535324,229059,194202,,,288814
Chad,TCD,2011,169881,169881,205917,551370,277988,169881,,,267692
Chad,TCD,2012,212466,212466,270894,567172,334633,212466,,,329322
Chad,TCD,2013,213530,213530,251856,582548,312082,213530,,,328507
Chad,TCD,2014,202803,202803,247870,597801,253504,202803,,,326738
Chad,TCD,2015,242868,242868,300693,612053,265998,242868,,,404779
Chad,TCD,2016,243107,243107,260895,621881,219389,243107,,,349836
Chad,TCD,2017,247590,247590,265706,632014,223434,247590,,,356287
Chad,TCD,2018,282819,282819,252078,646437,258226,282819,,,159854
Chad,TCD,2019,314781,314781,295894,664892,258120,314781,,,321077
Chad,TCD,2020,337047,337047,337047,683506,304639,337047,,,388901
Chad,TCD,2021,387036,387036,387036,699185,367017,387036,,,447094
Chile,CHL,1980,,239943,239943,259967.02,242523,,,,247683
Chile,CHL,1981,,255710,255710,260837,245378,,,,247961
Chile,CHL,1982,,256749,256749,262171,248968,,,,243781
Chile,CHL,1983,,232108,232108,264218,247756,,,,239932
Chile,CHL,1984,,260346,260346,267478,247197,,,,249827
Chile,CHL,1985,,263689,263689,271108,245045,,,,255699
Chile,CHL,1986,,243047,243047,274983,245747,,,,259250
Chile,CHL,1987,,254813,254813,279397,252074,,,,265773
Chile,CHL,1988,,267304,267304,283498,264520,,,,272873
Chile,CHL,1989,,268451,268451,287368,259974,,,,274103
Chile,CHL,1990,,272206,272206,290619,277937,,277937,,269341
Chile,CHL,1991,,272492,272492,292304,286986,,286986,,286986
Chile,CHL,1992,,262472,262472,289651,259555,,259555,,288719
Chile,CHL,1993,,260139,260139,285180,271700,,271700,,280372
Chile,CHL,1994,,267573,267573,281996,273266,,273266,,281805
Chile,CHL,1995,,264614,264614,276852,273059,,273059,,273059
Chile,CHL,1996,,251517,251517,270971,257045,251517,257045,,273628
Chile,CHL,1997,,243508,243508,265178,259742,243508,259742,,248920
Chile,CHL,1998,,238316,238316,258709.02,259499,238316,259499,,243611
Chile,CHL,1999,,245422,245422,251966,242839,245422,242839,,245422
Chile,CHL,2000,,228995,228995,245756,244094,228995,244094,,234028
Chile,CHL,2001,,238106,235651,242125,235651,238106,235651,,240561
Chile,CHL,2002,,234612,234612,240355,229775,234612,229775,,232193
Chile,CHL,2003,,230530,230530,236311,230530,230530,230530,,228128
Chile,CHL,2004,,219596,221958,230918,221958,219596,221958,,224319
Chile,CHL,2005,,210013,212320,228221,207705,210013,207705,,219244
Chile,CHL,2006,216740,214458,214458,228681,207614,214458,207614,,223584
Chile,CHL,2007,210356,219502,217216,232039,210356,219502,210356,,224075
Chile,CHL,2008,220435,220435,220435,236982,222756,220435,222756,,229717
Chile,CHL,2009,222784,222784,222784,240778,220414,222784,220414,,225154
Chile,CHL,2010,221557,221557,221557,242183,223965,221557,223965,,228782
Chile,CHL,2011,227726,227726,225304,241655,220458,227726,220458,,220458
Chile,CHL,2012,217595,217595,217595,240044,217595,217595,217595,,222430
Chile,CHL,2013,216210,218612,216210,238945,216210,216210,216210,,235428
Chile,CHL,2014,227317,227317,227317,238670,232103,227317,232103,,234495
Chile,CHL,2015,231964,229572,229572,236883,229572,231964,229572,,222398
Chile,CHL,2016,225974,225974,225974,232369,221216,225974,221216,,230731
Chile,CHL,2017,218030,218030,218030,226583,218030,218030,218030,,225063
Chile,CHL,2018,217941,217941,217941,224016,213353,217941,213353,,220236
Chile,CHL,2019,217875,217875,217875,225571,215605,217875,215605,,222414
Chile,CHL,2020,211658,211658,211658,227587,207106,211658,207106,,223037
Chile,CHL,2021,224260,217395,217395,229215,210530,217395,210530,,224260
China,CHN,1980,,,,20731072,,,,,
China,CHN,1981,,,,21529534,,,,,
China,CHN,1982,,,17020680,22865472,,,,,
China,CHN,1983,,13113747,18314025,22412294,17635728,,,,7687369
China,CHN,1984,,16184537,18623302,21638918,18623302,,,,13080653
China,CHN,1985,,16700639,18627636,22794284,18841747,,,,13703089
China,CHN,1986,,17594401,15338708,24320148,14210862,,,,15789847
China,CHN,1987,,18050234,18772243,25981604,18531573,,,,20456931
China,CHN,1988,,24423620,24680711,26106254,24423620,,,,25194893
China,CHN,1989,,24537218,24795504,25892700,24537218,,,,25312077
China,CHN,1990,,24849881,25106065,26769854,25106065,,,,25362250
China,CHN,1991,,24899703,25164594,24617388,24369922,,,,25694375
China,CHN,1992,,22167693,22654895,21178770,21193289,,,,22898496
China,CHN,1993,,18448188,18867465,19930440,16980718,,,,19286742
China,CHN,1994,,16778417,17173203,19130968,14804486,,,,17567989
China,CHN,1995,,15166398,15545558,18514930,15166398,,,,14976818
China,CHN,1996,,15236137,15419705,17893950,15419705,,,,15419705
China,CHN,1997,,14911154,15088668,17260248,14733640,,,,14733640
China,CHN,1998,,14391030,14562351,16742605,14219708,,,,14219708
China,CHN,1999,,14132983,14299254,16376317,13966713,,,,13966713
China,CHN,2000,9763247,13831266,13993987,16599689,13668546,,,,13668546
China,CHN,2001,10727991,14193958,14193958,16516703,14028912,,,,14028912
China,CHN,2002,11502601,14131767,14131767,16014796,13967444,,,,13967444
China,CHN,2003,11956466,13710080,13869500,15911094,13550661,,,,13550661
China,CHN,2004,12519504,13787302,13787302,16018381,13628828,,,,13628828
China,CHN,2005,13407356,13886190,13886190,16265880,13726579,,,,13726579
China,CHN,2006,14753462,15077714,15239840,16512055,15077714,,,,14915588
China,CHN,2007,15145345,15309969,15474592,16842656,15474592,,,,15474592
China,CHN,2008,15954868,16290760,16626652,17284142,16290760,,,,16290760
China,CHN,2009,17065990,17065990,17065990,17698386,17065990,,,,17065990
China,CHN,2010,17479783,17479783,17479783,17794956,17479783,,10946935,,17479783
China,CHN,2011,17578931,17578931,17578931,17684870,17578931,,15270587,,17578931
China,CHN,2012,17473122,17473122,17473122,18340902,17473122,,16767137,,17473122
China,CHN,2013,18123710,18123710,18123710,18567056,18123710,,17574507,,18123710
China,CHN,2014,18348783,18348783,18348783,18320324,18348783,,18163442,,18348783
China,CHN,2015,18106833,18106833,18106833,17930756,18106833,,17375244,,18106833
China,CHN,2016,17723822,17723822,17723822,17729662,17723822,,17723822,,17723822
China,CHN,2017,17526572,17526572,17526572,18226306,17526572,,17526572,,17526572
China,CHN,2018,18018249,18018249,18018249,16853878,18018249,,18018249,,18018249
China,CHN,2019,16661734,16661734,16661734,14975504,16661734,,16661734,,16661734
China,CHN,2020,14807231,14807231,14807231,13362303,14807231,,14807231,,14807231
China,CHN,2021,13213492,13213492,13213492,11501936,13213492,,13213492,,13213492
Colombia,COL,1980,,121646,121646,784220,98838,,,,342130
Colombia,COL,1981,,154747,170222,794527,201171,,,,441030
Colombia,COL,1982,,204062,211911,804595,219759,,,,510155
Colombia,COL,1983,,334249,334249,812039,342208,,,,628707
Colombia,COL,1984,,490458,546740,818710,410055,,,,554781
Colombia,COL,1985,,494612,502721,825728,413528,,,,616238
Colombia,COL,1986,,392757,433669,832789,368210,,,,572771
Colombia,COL,1987,,479094,677340,840581,487355,,,,660820
Colombia,COL,1988,,617352,784204,848409,617352,,,,825917
Colombia,COL,1989,,657166,758269,857058,682442,,,,791970
Colombia,COL,1990,,749346,791922,865952,698254,,,,808953
Colombia,COL,1991,,722810,783044,873558,671181,,,,817464
Colombia,COL,1992,,677206,729299,878479,642478,,,,764027
Colombia,COL,1993,,768668,803607,881243,821077,,,,838547
Colombia,COL,1994,,745085,762617,881693,736320,,,,867805
Colombia,COL,1995,622834,745646,763191,879275,833369,,833369,,868459
Colombia,COL,1996,831219,743722,761221,875391,787470,,787470,,866217
Colombia,COL,1997,740677,731963,740677,870063,697108,,697108,,845243
Colombia,COL,1998,649724,632398,649724,864208,675712,537105,675712,,736353
Colombia,COL,1999,662637,636820,662637,859256,679848,550763,679848,,688454
Colombia,COL,2000,667480,676038,701710,853934,753055,556234,753055,,778727
Colombia,COL,2001,680474,680474,705992,847292,791051,467826,791051,,740016
Colombia,COL,2002,658426,683750,700633,839485,785046,582454,785046,,734398
Colombia,COL,2003,769531,769531,769531,830034,777896,777896,777896,,811354
Colombia,COL,2004,736115,736115,736115,818869,760928,736115,760928,,760928
Colombia,COL,2005,758845,758845,758845,806447,767004,758845,767004,,767004
Colombia,COL,2006,747181,747181,755215,792296,763249,747181,763249,,771283
Colombia,COL,2007,741806,741806,733914,778465,749697,741806,749697,,733914
Colombia,COL,2008,713167,713167,713167,766490,713167,713167,713167,,720919
Colombia,COL,2009,702265,702265,702265,756370,725164,702265,725164,419832,686998
Colombia,COL,2010,663133,663133,663133,748718,663133,663133,663133,557634,632990
Colombia,COL,2011,634069,634069,634069,742583,656448,634069,656448,581852,648989
Colombia,COL,2012,680514,673117,673117,737610,695308,680514,695308,643529,658323
Colombia,COL,2013,668501,668501,668501,733180,675847,668501,675847,639116,624424
Colombia,COL,2014,657127,657127,657127,728635,664428,657127,664428,649825,649825
Colombia,COL,2015,660570,660570,660570,724921,682347,660570,682347,660570,653311
Colombia,COL,2016,658363,658363,658363,723596,672833,658363,672833,651128,636659
Colombia,COL,2017,667397,667397,667397,724240,674652,667397,674652,652889,660143
Colombia,COL,2018,670607,670607,670607,726355,692475,670607,692475,670607,648740
Colombia,COL,2019,672458,687077,687077,730372,694386,672458,694386,694386,657840
Colombia,COL,2020,645257,645257,645257,731398,659922,645257,659922,637925,652590
Colombia,COL,2021,630481,630481,630481,728293,630481,630481,630481,630481,637813
Comoros,COM,1980,,,,13523,,,,,
Comoros,COM,1981,,,,13969,,,,,
Comoros,COM,1982,,,,14386,,,,,
Comoros,COM,1983,,,,14743,,,,,
Comoros,COM,1984,,4360,4501,15072,5908,,,,7877
Comoros,COM,1985,,7348,7636,15393,2593,,,,11094
Comoros,COM,1986,,10466,10761,15712,10466,,,,14299
Comoros,COM,1987,,10699,11000,16025.999,10699,,,,14617
Comoros,COM,1988,,6620,6774,16334,6158,,,,11084
Comoros,COM,1989,,12885,12257,16631,13357,,,,14928
Comoros,COM,1990,,15056,15056,16891,13935,,,,15857
Comoros,COM,1991,,8467,8956,17119,6513,,,,11561
Comoros,COM,1992,,6278,7600,17301,8426,,,,13383
Comoros,COM,1993,,11702,11702,17412,9362,,,,15881
Comoros,COM,1994,,9767,9767,17445,9936,,,,15830
Comoros,COM,1995,,12665,13172,17532,11652,,,,16043
Comoros,COM,1996,,10191,10191,17726,7304,,,,9342
Comoros,COM,1997,,8248,8248,17912,8420,,,,9451
Comoros,COM,1998,,13025,13025,18076,11636,,,,14588
Comoros,COM,1999,,12891,12891,18485,12185,,,,15363
Comoros,COM,2000,,12716,12716,19030,12716,,,,16349
Comoros,COM,2001,,13060,13060,19372,13060,,,,16791
Comoros,COM,2002,,16850,18554,19389,13442,,,,17040
Comoros,COM,2003,5284,15096,15096,19003,12643,,,,14907
Comoros,COM,2004,14216,14031,13477,18924,14031,,,,14585
Comoros,COM,2005,12513,12513,12329,19306,12329,,,,14721
Comoros,COM,2006,12964,12964,12964,19624,12401,,,,15783
Comoros,COM,2007,14338,14338,14338,19904,12426,,,,14720
Comoros,COM,2008,15724,15724,15724,20217,14753,,,,15724
Comoros,COM,2009,16385,16385,16582,20610,15595,7502,,,15793
Comoros,COM,2010,14910,14910,16521,21052,14507,14910,,,15312
Comoros,COM,2011,17100,17100,17512,21482,16276,17100,,,16070
Comoros,COM,2012,18732,18100,17890,21791,17890,18732,,,16627
Comoros,COM,2013,18807,18594,18166,21999,18166,18807,,,18166
Comoros,COM,2014,19004,18789,18789,22216,18573,19004,,,19436
Comoros,COM,2015,19866,19866,20085,22424,19648,19866,,,20521
Comoros,COM,2016,20069,20069,20290,22636,19849,20069,,,20731
Comoros,COM,2017,20276,20276,20944,22852,20053,20276,,,20944
Comoros,COM,2018,20483,20483,21158,23006,20258,20483,,,21158
Comoros,COM,2019,20639,20639,19958,23114,20412,20639,,,21319
Comoros,COM,2020,19841,19841,18473,23198,20297,19841,,,20753
Comoros,COM,2021,19470,19470,20386,23262,18783,19470,,,21990
Congo,COG,1980,,28245,28245,71327,32952,,,,61869
Congo,COG,1981,,28525,28525,72285,33279,,,,
Congo,COG,1982,,32382,33071,72796,37893,,,,62696
Congo,COG,1983,,34686,36767,72694,40929,,,,62435
Congo,COG,1984,,37110,41311,75113,36410,,,,56015
Congo,COG,1985,,39535,53445,78520,49053,,,,65160
Congo,COG,1986,,54392,54392,80326,52860,,,,65884
Congo,COG,1987,,56470,55685,82213,54117,,,,68234
Congo,COG,1988,,57820,57017,84077,58623,,,,70668
Congo,COG,1989,,64891,64891,85909,61606,,,,73927
Congo,COG,1990,,66290,67130,87685,62934,,,,75521
Congo,COG,1991,,63351,63351,89591,54790,,,,76192
Congo,COG,1992,,58559,58559,91787,52441,,,,65551
Congo,COG,1993,,53699,53699,93980,49224,,,,56384
Congo,COG,1994,,50339,50339,96228,43017,,,,55830
Congo,COG,1995,,46766,46766,98531,35542,,,,54248
Congo,COG,1996,,35379,44940,100999,40160,,,,48765
Congo,COG,1997,,22442,20490,103372,17563,,,,28296
Congo,COG,1998,,25933,24936,105041,20946,,,,33912
Congo,COG,1999,,29456,29456,106796,23362,,,,39613
Congo,COG,2000,,34262,32186,109138,35300,,,,51912
Congo,COG,2001,,32911,33973,113349,37158,,,,56268
Congo,COG,2002,,45000,45000,117675,40610,,,,55976
Congo,COG,2003,,57192,57192,120308,57192,,,,68631
Congo,COG,2004,,78760,78760,124040,76409,,,,99919
Congo,COG,2005,,75406,75406,128868,65676,,,,88784
Congo,COG,2006,,92523,92523,134150,77314,,,,106465
Congo,COG,2007,84593,95167,93846,140100,77984,,,,113672
Congo,COG,2008,100785,109068,106307,146797,95262,,,,128397
Congo,COG,2009,108938,113295,110390,153990,91508,104580,,,130725
Congo,COG,2010,112910,112910,109858,161995,114436,112910,,,144952
Congo,COG,2011,112051,131260,115253,167888,132861,113652,,,152069
Congo,COG,2012,102764,140886,112709,170137,132598,106079,,,152488
Congo,COG,2013,142686,142686,142686,170732,134293,142686,,,154437
Congo,COG,2014,151736,151736,151736,170300,134876,151736,,101157,160165
Congo,COG,2015,134650,134650,134650,170069,134650,134650,,134650,143066
Congo,COG,2016,119434,119434,119434,169783,112705,119434,,107659,134574
Congo,COG,2017,115962,115962,115962,169898,117643,115962,,107559,127726
Congo,COG,2018,126216,126216,126216,170565,126216,126216,,121167,136313
Congo,COG,2019,133460,133460,131771,171055,123324,133460,104741,119945,135150
Congo,COG,2020,123744,123744,123744,172006,115269,123744,115269,101708,122049
Congo,COG,2021,131390,131390,127978,173538,116033,131390,116033,39247,138216
Cook Islands,COK,1980,,179,174,454,,,,,130
Cook Islands,COK,1981,,204,213,454,,,,,195
Cook Islands,COK,1982,,223,250,450,,,,,258
Cook Islands,COK,1983,,245,202,438,292,,,,318
Cook Islands,COK,1984,,201,401,426,272,,,,251
Cook Islands,COK,1985,,320,373,423,312,,,,406
Cook Islands,COK,1986,,358,337,428,288,,,,358
Cook Islands,COK,1987,,349,344,444,353,,,,374
Cook Islands,COK,1988,,409,409,461,400,,,,392
Cook Islands,COK,1989,,402,402,476,447,,,,425
Cook Islands,COK,1990,332,435,388,493,314,,,,463
Cook Islands,COK,1991,411,421,421,509,455,,,,465
Cook Islands,COK,1992,486,432,432,513,432,,,,466
Cook Islands,COK,1993,377,491,491,503.00003,491,,,,466
Cook Islands,COK,1994,387,421,421,497,353,,,,485
Cook Islands,COK,1995,414,453,453,494,468,,,,468
Cook Islands,COK,1996,316,364,364,500,350,,,,437
Cook Islands,COK,1997,475,446,446,471,422,,,,408
Cook Islands,COK,1998,391,413,413,412,431,,,,435
Cook Islands,COK,1999,355,362,362,372,331,,,,382
Cook Islands,COK,2000,352,330,330,343,273,,,,355
Cook Islands,COK,2001,310,300,300,324,276,,,,326
Cook Islands,COK,2002,294,307,307,317,300,,,,310
Cook Islands,COK,2003,288,298,294,312,307,,,,307
Cook Islands,COK,2004,304,304,304,308,304,,,,304
Cook Islands,COK,2005,301,301,301,308,301,,,,301
Cook Islands,COK,2006,303,303,303,312,303,,303,,303
Cook Islands,COK,2007,313,313,313,317,310,,310,,313
Cook Islands,COK,2008,323,323,323,325,310,,310,,323
Cook Islands,COK,2009,273,273,273,333,260,273,260,,330
Cook Islands,COK,2010,334,334,334,335,334,334,334,,334
Cook Islands,COK,2011,312,312,312,336,299,312,299,,329
Cook Islands,COK,2012,326,326,326,333,323,326,323,,326
Cook Islands,COK,2013,321,321,321,324,318,321,318,,321
Cook Islands,COK,2014,316,316,316,313,313,316,313,,316
Cook Islands,COK,2015,306,306,306,304,306,306,306,,306
Cook Islands,COK,2016,296,296,296,302,269,296,269,,296
Cook Islands,COK,2017,294,294,294,299,291,294,291,,294
Cook Islands,COK,2018,292,292,292,292,292,292,292,,292
Cook Islands,COK,2019,282,282,282,286,285,282,285,,285
Cook Islands,COK,2020,276,276,276,281,279,276,279,,279
Cook Islands,COK,2021,272,272,272,277,275,272,275,,275
Costa Rica,CRI,1980,,58415,58415,70422,40754,,,,54339
Costa Rica,CRI,1981,,59622,59622,72299,55413,,,,56816
Costa Rica,CRI,1982,,58365,57645,74469,62689,,,,58365
Costa Rica,CRI,1983,,63858,63858,76751,62373,,,,61630
Costa Rica,CRI,1984,,71195,71961,79004,58181,,,,65836
Costa Rica,CRI,1985,,70940,69363,81149,61481,,,,64634
Costa Rica,CRI,1986,,72068,70448,82657,72878,,,,63970
Costa Rica,CRI,1987,,77537,75887,83273,76712,,76712,,68463
Costa Rica,CRI,1988,,72306,72306,83522,80617,,80617,,71475
Costa Rica,CRI,1989,,71708,71708,83534,64203,,64203,,74209
Costa Rica,CRI,1990,,79261,79261,83422,75090,,75090,,76758
