Entity,Code,Year,Indicator:Number of cases of yaws reported,Total (estimated) polio cases,Reported cases of guinea worm disease in humans,"Number of new cases of rabies, in both sexes aged all ages","Number of new cases of malaria, in both sexes aged all ages","Number of new cases of hiv/aids, in both sexes aged all ages","Number of new cases of tuberculosis, in both sexes aged all ages",Number of reported smallpox cases,Reported cholera cases
Canada,CAN,1995,,0,0,0.107453726,0,1977.1447,1728.3087,,7
Canada,CAN,1996,,0,0,0.090276204,0,2061.343,1730.3951,,2
Canada,CAN,1997,,0,0,0.074832745,0,2240.934,1736.8634,,
Canada,CAN,1998,,0,0,0.06236604,0,2214.1562,1743.3375,,2
Canada,CAN,1999,,0,0,0.053706113,0,2245.3472,1746.2035,,
Canada,CAN,2000,,0,0,0.050161652,0,2171.5513,1744.8352,,5
Canada,CAN,2001,,0,0,0.051176358,0,2211.1863,1738.449,,6
Canada,CAN,2002,,0,0,0.054624572,0,2135.371,1728.4567,,4
Canada,CAN,2003,,0,0,0.05947073,0,2319.6875,1717.6857,,5
Canada,CAN,2004,,0,0,0.06439539,0,2143.1448,1710.1532,,3
Canada,CAN,2005,,0,0,0.06766605,0,2092.5178,1710.1072,,7
Canada,CAN,2006,,0,0,0.069934376,0,2050.0396,1714.7345,,2
Canada,CAN,2007,,0,0,0.07283288,0,1882.9816,1718.312,,1
Canada,CAN,2008,,0,0,0.07595988,0,1922.3512,1720.7406,,1
Canada,CAN,2009,,0,0,0.07893303,0,1966.9509,1722.2324,,2
Canada,CAN,2010,,0,0,0.08142542,0,2085.6782,1723.3195,,2
Canada,CAN,2011,,0,0,0.081797734,0,2307.988,1714.2622,,9
Canada,CAN,2012,,0,0,0.079805106,0,2516.2383,1692.6423,,
Canada,CAN,2013,,0,0,0.07616549,0,2953.558,1666.8188,,1
Canada,CAN,2014,,0,0,0.072866224,0,3119.5562,1648.1964,,2
Canada,CAN,2015,,0,0,0.07252882,0,3265.6863,1650.6257,,3
Canada,CAN,2016,,0,0,0.07902524,0,3363.5496,1669.4163,,1
Canada,CAN,2017,,0,0,0.08658135,0,3337.627,1691.7585,,4
Canada,CAN,2018,,0,0,0.08988289,0,3302.738,1729.4915,,
Canada,CAN,2019,,0,0,0.09152895,0,3323.9863,1784.8042,,
Canada,CAN,2020,,0,0,,,,,,2
Canada,CAN,2021,,,0,,,,,,
Canada,CAN,2022,,,0,,,,,,
Cape Verde,CPV,1980,,119,0,,,,,,
Cape Verde,CPV,1981,,70,0,,,,,,
Cape Verde,CPV,1982,,14,0,,,,,,
Cape Verde,CPV,1983,,336,0,,,,,,
Cape Verde,CPV,1984,,21,0,,,,,,
Cape Verde,CPV,1985,,42,0,,,,,,
Cape Verde,CPV,1986,,42,0,,,,,,
Cape Verde,CPV,1987,,21,0,,,,,,
Cape Verde,CPV,1988,,14,0,,,,,,
Cape Verde,CPV,1989,,0,0,,,,,,
Cape Verde,CPV,1990,,0,0,1.1900053,3.775824,253.52519,591.5659,,
Cape Verde,CPV,1991,,0,0,1.2227422,3.9495482,282.3139,603.7878,,
Cape Verde,CPV,1992,,0,0,1.2544045,4.287422,301.09583,615.1848,,
Cape Verde,CPV,1993,,0,0,1.2841673,4.800541,310.13312,625.812,,
Cape Verde,CPV,1994,,0,0,1.3111235,5.500952,312.0417,635.6264,,128
Cape Verde,CPV,1995,,0,0,1.3341931,6.4011364,309.01282,644.5079,,12913
Cape Verde,CPV,1996,,0,0,1.3542098,37.493145,303.03452,650.1927,,428
Cape Verde,CPV,1997,,0,0,1.3628124,113.14082,295.41394,651.27057,,
Cape Verde,CPV,1998,,0,0,1.36347,207.53267,287.00644,649.3939,,133
Cape Verde,CPV,1999,,0,0,1.3600303,291.56662,278.39508,646.7113,,
Cape Verde,CPV,2000,,62,0,1.3567293,332.8421,269.799,645.61487,,
Cape Verde,CPV,2001,,0,0,1.3378185,317.68085,261.19763,646.1478,,
Cape Verde,CPV,2002,,0,0,1.3034526,267.77542,252.94092,646.38684,,
Cape Verde,CPV,2003,,0,0,1.2618036,202.80865,245.66447,646.10803,,
Cape Verde,CPV,2004,,0,0,1.2212579,144.37628,239.23541,645.007,,
Cape Verde,CPV,2005,,0,0,1.1902068,115.84554,230.18329,642.7247,,0
Cape Verde,CPV,2006,,0,0,1.1681001,112.02532,219.34888,637.8763,,0
Cape Verde,CPV,2007,,0,0,1.1434017,110.42789,211.53564,629.93604,,
Cape Verde,CPV,2008,,0,0,1.1197964,109.65689,206.79573,620.07825,,
Cape Verde,CPV,2009,,0,0,1.1013669,108.21219,202.49733,609.75195,,
Cape Verde,CPV,2010,,0,0,1.0925264,104.471756,196.37244,600.5906,,
Cape Verde,CPV,2011,,0,0,1.0917242,91.56047,187.92882,591.4352,,
Cape Verde,CPV,2012,,0,0,1.0965122,68.28722,179.74242,580.5536,,
Cape Verde,CPV,2013,,0,0,1.1039553,41.855164,174.52614,569.3821,,
Cape Verde,CPV,2014,,0,0,1.1113054,19.980108,168.51129,559.32965,,
Cape Verde,CPV,2015,,0,0,1.1159295,10.8895445,161.03326,551.80835,,
Cape Verde,CPV,2016,,0,0,1.1056097,328.53705,152.7745,547.91833,,
Cape Verde,CPV,2017,,0,0,1.0930256,741.59186,143.62468,542.60236,,
Cape Verde,CPV,2018,,0,0,1.0872078,1668.9316,133.0661,526.45636,,
Cape Verde,CPV,2019,,0,0,1.0783377,3428.1602,126.587456,499.0362,,
Cape Verde,CPV,2020,,0,0,,,,,,
Cape Verde,CPV,2021,,,0,,,,,,
Cape Verde,CPV,2022,,,0,,,,,,
Cape Verde,CPV,1974,,,,,,,,,303
Cape Verde,CPV,1975,,,,,,,,,20
Cape Verde,CPV,1976,,,,,,,,,219
Central African Republic,CAF,2008,243,3,0,3.589167,1970063.5,11957.361,21273.451,,
Central African Republic,CAF,2012,230,0,0,3.7559445,1960159.8,10450.328,22461.39,,21
Central African Republic,CAF,1980,,147,0,,,,,,
Central African Republic,CAF,1981,,1043,0,,,,,,
Central African Republic,CAF,1982,,483,0,,,,,,
Central African Republic,CAF,1983,,490,0,,,,,,
Central African Republic,CAF,1984,,1232,0,,,,,,
Central African Republic,CAF,1985,,441,0,,,,,,
Central African Republic,CAF,1986,,665,0,,,,,,
Central African Republic,CAF,1987,,364,0,,,,,,
Central African Republic,CAF,1988,,378,0,,,,,,
Central African Republic,CAF,1989,,301,0,,,,,,
Central African Republic,CAF,1990,,196,0,2.963585,1296717.6,36160.594,12932.91,,
Central African Republic,CAF,1991,,70,0,3.0661974,1334417.5,32836.76,13590.503,,
Central African Republic,CAF,1992,,14,0,3.1702607,1375949.5,26514.867,14264.956,,
Central African Republic,CAF,1993,,77,0,3.262146,1415059.2,21884.469,14888.173,,
Central African Republic,CAF,1994,,224,0,3.338784,1450381.6,19148.164,15440.445,,
Central African Republic,CAF,1995,,28,18,3.4080615,1486753.6,17609.203,15940.095,,
Central African Republic,CAF,1996,,3,9,3.4667444,1526548.5,16757.037,16414.408,,
Central African Republic,CAF,1997,,11,5,3.510973,1569140,16226.32,16894.668,,443
Central African Republic,CAF,1998,,7,34,3.5463817,1614498.2,15832.937,17387.652,,22
Central African Republic,CAF,1999,,20,26,3.5681374,1656868.2,15466.335,17852.334,,
Central African Republic,CAF,2000,,3,35,3.5815775,1695260.2,15096.358,18281.168,,
Central African Republic,CAF,2001,,0,36,3.5694664,1740802.4,14739.112,18709.459,,
Central African Republic,CAF,2002,,0,0,3.5116537,1793359.4,14399.567,19102.914,,
Central African Republic,CAF,2003,,1,0,3.4396312,1848928,14051.888,19480.104,,
Central African Republic,CAF,2004,,60,0,3.3875067,1902654.5,13652.156,19860.234,,320
Central African Republic,CAF,2005,,0,0,3.3856354,1944998,13189.018,20218.385,,0
Central African Republic,CAF,2006,,0,0,3.4326255,1966588.5,12762.361,20550.605,,0
Central African Republic,CAF,2007,,0,0,3.5013564,1970893.6,12380.837,20886.268,,
Central African Republic,CAF,2009,,16,0,3.6857622,1972016.8,11571.049,21715.129,,
Central African Republic,CAF,2010,,0,0,3.7749622,1983123,11158.713,22188.22,,
Central African Republic,CAF,2011,,4,0,3.8123589,1989299.1,10732.166,22522.734,,117
Central African Republic,CAF,2013,,0,0,3.6358962,1904411,10007.935,22130.25,,
Central African Republic,CAF,2014,,0,0,3.5346906,1861225,9198.485,21977.152,,
Central African Republic,CAF,2015,,0,0,3.4870713,1839829.6,8295.489,22124.145,,
Central African Republic,CAF,2016,,0,0,3.4293318,1795542,7657.5195,22291.559,,
Central African Republic,CAF,2017,,0,0,3.358264,1760244.8,7339.828,22431.332,,
Central African Republic,CAF,2018,,0,0,3.3034587,1771634.6,7099.885,22575.895,,
Central African Republic,CAF,2019,,42,0,3.2397318,1799602.4,6973.6562,22640.475,,
Central African Republic,CAF,2020,,8,0,,,,,,
Central African Republic,CAF,2021,,,0,,,,,,
Central African Republic,CAF,2022,,,1,,,,,,
Chad,TCD,1983,,168,0,,,,,,
Chad,TCD,1984,,63,1472,,,,,,
Chad,TCD,1985,,315,31,,,,,,
Chad,TCD,1986,,63,314,,,,,,
Chad,TCD,1994,,0,640,92.38362,1713585.9,10936.208,14269.016,,1094
Chad,TCD,1995,,1344,149,94.51801,1770928.9,11285.514,14537.832,,
Chad,TCD,1996,,103,127,97.1223,1826002.6,11443.083,14926.849,,7830
Chad,TCD,1997,,362,25,99.983734,1875383.9,11464.183,15399.825,,8801
Chad,TCD,1998,,4,3,102.995445,1920158.1,11397.994,15923.857,,4095
Chad,TCD,1999,,122,1,105.96499,1961841.2,11279.144,16470.924,,217
Chad,TCD,2000,,67,3,108.851364,2002057.6,11126.954,16978.51,,
Chad,TCD,2001,,0,0,110.97091,2013397.6,10956.614,17446.463,,5244
Chad,TCD,2002,,0,0,112.434204,1984332.8,10787.974,17889.928,,
Chad,TCD,2003,,50,0,113.65356,1941848.8,10645.744,18325.672,,55
Chad,TCD,2004,,48,0,115.17124,1917497.8,10542.494,18783.238,,5531
Chad,TCD,2005,,2,0,117.50871,1948159.2,10434.89,19280.512,,90
Chad,TCD,2006,,1,0,120.853966,2047637.5,10333.846,19810.484,,1668
Chad,TCD,2007,,24,0,124.50696,2190071.5,10290.1,20342.477,,0
Chad,TCD,2008,,41,0,128.2788,2353339.8,10217.154,20879.898,,
Chad,TCD,2009,,71,0,131.87492,2511382.5,10194.656,21425.139,,67
Chad,TCD,2010,,30,10,135.09967,2634764.8,10296.178,21976.207,,6395
Chad,TCD,2011,,147,10,136.51611,2662607.2,10443.234,22511.615,,17267
Chad,TCD,2012,,19,10,135.61859,2589069.2,10396.375,23012.898,,
Chad,TCD,2013,,3,14,133.35036,2469467.5,10552.652,23503.271,,
Chad,TCD,2014,,0,13,130.81798,2367804.5,10588.75,24018.898,,
Chad,TCD,2015,,0,9,129.29645,2357849.2,10039.258,24568.566,,
Chad,TCD,2016,,0,16,128.32335,2481158.8,9688.85,25114.904,,
Chad,TCD,2017,,0,15,127.69645,2619619.2,9530.133,25639.293,,1266
Chad,TCD,2018,,0,17,127.67284,2683511.8,9292.418,25798.902,,
Chad,TCD,2019,,12,48,127.6846,2699917.8,9153.318,25419.713,,93
Chad,TCD,2020,,202,12,,,,,,
Chad,TCD,1980,,,0,,,,,,
Chad,TCD,1981,,,0,,,,,,
Chad,TCD,1982,,,0,,,,,,
Chad,TCD,1987,,,0,,,,,,
Chad,TCD,1988,,,0,,,,,,
Chad,TCD,1989,,,0,,,,,,
Chad,TCD,1990,,,0,85.51993,1498877.2,6858.805,13975.335,,
Chad,TCD,1991,,,0,87.047646,1551065.1,8258.597,13967.498,,13915
Chad,TCD,1992,,,156,88.67013,1603953,9442.128,14002.195,,
Chad,TCD,1993,,,1231,90.4162,1658133.2,10337.758,14096.52,,
Chad,TCD,2021,,,8,,,,,,
Chad,TCD,2022,,,6,,,,,,
Chad,TCD,1971,,,,,,,,,8230
Chad,TCD,1972,,,,,,,,,9
Chad,TCD,1974,,,,,,,,,338
Chile,CHL,1980,,0,0,,,,,,
Chile,CHL,1981,,0,0,,,,,,
Chile,CHL,1982,,0,0,,,,,,
Chile,CHL,1983,,0,0,,,,,,
Chile,CHL,1984,,0,0,,,,,,
Chile,CHL,1985,,0,0,,,,,,
Chile,CHL,1986,,21,0,,,,,,
Chile,CHL,1987,,0,0,,,,,,
Chile,CHL,1988,,0,0,,,,,,
Chile,CHL,1989,,0,0,,,,,,
Chile,CHL,1990,,0,0,0.013353861,0,835.4505,3539.096,,
Chile,CHL,1991,,0,0,0.013937062,0,901.3645,3409.7327,,41
Chile,CHL,1992,,0,0,0.014358651,0,963.1005,3276.4841,,73
Chile,CHL,1993,,0,0,0.014686759,0,1024.9791,3147.5256,,32
Chile,CHL,1994,,0,0,0.014912684,0,1088.2618,3031.065,,1
Chile,CHL,1995,,0,0,0.014991386,0,1161.5353,2935.6067,,
Chile,CHL,1996,,0,0,0.014594645,0,1284.4828,2834.4905,,1
Chile,CHL,1997,,0,0,0.013637459,0,1375.5422,2708.2815,,4
Chile,CHL,1998,,0,0,0.012456068,0,1430.1932,2577.4119,,24
Chile,CHL,1999,,0,0,0.011419008,0,1474.4084,2464.1555,,
Chile,CHL,2000,,0,0,0.010980676,0,1638.9606,2392.8608,,
Chile,CHL,2001,,0,0,0.011214285,0,1652.7334,2356.0864,,
Chile,CHL,2002,,0,0,0.01177674,0,1685.964,2328.8887,,
Chile,CHL,2003,,0,0,0.012513383,0,1827.2672,2309.3745,,
Chile,CHL,2004,,0,0,0.01322934,0,1962.2433,2294.6323,,
Chile,CHL,2005,,0,0,0.013735499,0,2081.0496,2282.305,,
Chile,CHL,2006,,0,0,0.014243336,0,2191.2104,2268.8699,,
Chile,CHL,2007,,0,0,0.015053789,0,2270.0637,2253.1675,,
Chile,CHL,2008,,0,0,0.016079277,0,2369.3557,2236.3843,,
Chile,CHL,2009,,0,0,0.017128533,0,2437.1365,2218.2642,,
Chile,CHL,2010,,0,0,0.017954528,0,2550.2156,2198.8992,,
Chile,CHL,2011,,0,0,0.018238895,0,2660.0298,2162.2275,,1
Chile,CHL,2012,,0,0,0.017953224,0,2770.1633,2103.284,,
Chile,CHL,2013,,0,0,0.017359113,0,2891.094,2040.1427,,2
Chile,CHL,2014,,0,0,0.016791914,0,3029.605,1991.2817,,1
Chile,CHL,2015,,0,0,0.016525583,0,3161.9753,1976.7996,,
Chile,CHL,2016,,0,0,0.016163638,0,3370.2734,1997.2732,,
Chile,CHL,2017,,0,0,0.015678661,0,3630.193,2026.5609,,
Chile,CHL,2018,,0,0,0.01539863,0,3903.601,2053.026,,
Chile,CHL,2019,,0,0,0.0151398685,0,4080.7786,2079.5938,,
Chile,CHL,2020,,0,0,,,,,,
Chile,CHL,2021,,,0,,,,,,
Chile,CHL,2022,,,0,,,,,,
China,CHN,1980,,52094,0,,,,,,88
China,CHN,1981,,67375,0,,,,,,
China,CHN,1982,,54187,0,,,,,,
China,CHN,1983,,23072,0,,,,,,
China,CHN,1984,,11382,0,,,,,,
China,CHN,1985,,10759,0,,,,,,
China,CHN,1986,,12908,0,,,,,,
China,CHN,1987,,6783,0,,,,,,4
China,CHN,1988,,4669,0,,,,,,7267
China,CHN,1989,,5132,0,,,,,,5628
China,CHN,1990,,5622,0,1372.6743,438309,9673.859,1182921.9,,644
China,CHN,1991,,2138,0,1214.3118,380740.16,11904.993,1170131.5,,210
China,CHN,1992,,1322,0,1070.6909,325320.06,13612.332,1156534.6,,583
China,CHN,1993,,4571,0,950.8499,274878.44,14474.937,1143524.5,,11673
China,CHN,1994,,1827,0,864.869,232421.7,18266.117,1132661.6,,34877
China,CHN,1995,,1155,0,822.1827,201143.95,18286.605,1124851,,10337
China,CHN,1996,,3,0,813.2671,175636.34,18476.107,1118406.5,,316
China,CHN,1997,,0,0,819.7678,149628.17,21891.861,1111409.2,,1177
China,CHN,1998,,0,0,839.0814,125053.484,25656.055,1105082.1,,4642
China,CHN,1999,,1,0,868.7668,103894.7,31352.713,1101173.8,,4589
China,CHN,2000,,0,0,905.57794,88215.836,38010.81,1100773.1,,1846
China,CHN,2001,,0,0,1044.7965,76616.555,45511.55,1097698.4,,140
China,CHN,2002,,0,0,1323.5562,66525.16,53089.305,1086886.8,,
China,CHN,2003,,0,0,1651.3782,58244.914,58968.03,1073075,,223
China,CHN,2004,,4,0,1934.9861,52062.406,63011.4,1061199.6,,244
China,CHN,2005,,0,0,2071.9192,48251.86,63835.766,1054097,,980
China,CHN,2006,,0,0,2075.593,43179.977,61785.91,1044149,,161
China,CHN,2007,,0,0,2033.8499,34558.418,58952.46,1022358.25,,168
China,CHN,2008,,0,0,1961.5632,24688.707,55185.62,993163.1,,174
China,CHN,2009,,0,0,1875.1283,15933.696,51735.133,962463.6,,85
China,CHN,2010,,0,0,1788.0093,10708.441,47347.594,935907.7,,157
China,CHN,2011,,23,0,1649.9369,7914.559,42880.023,909451.1,,26
China,CHN,2012,,2,0,1433.671,5073.886,38635.996,876027,,77
China,CHN,2013,,0,0,1191.9131,2560.8916,35405.758,840288.2,,53
China,CHN,2014,,0,0,977.9138,756.5741,33181.797,808025.25,,24
China,CHN,2015,,0,0,846.9428,49.632526,31512.334,783223.5,,13
China,CHN,2016,,0,0,785.22095,17.958809,31793.148,764829.94,,27
China,CHN,2017,,0,0,752.013,0,31868.445,751142.56,,14
China,CHN,2018,,0,0,744.251,0,32084.527,737542.9,,
China,CHN,2019,,1,0,752.5199,0,31876.906,718965.7,,16
China,CHN,2020,,0,0,,,,,,11
China,CHN,2021,,,0,,,,,,5
China,CHN,2022,,,0,,,,,,
China,CHN,1949,,,,,,,,,1
China,CHN,1962,,,,,,,,,384
China,CHN,1963,,,,,,,,,1
China,CHN,1967,,,,,,,,,1
China,CHN,1979,,,,,,,,,85
Colombia,COL,1980,,903,0,,,,,,
Colombia,COL,1981,,3325,0,,,,,,
Colombia,COL,1982,,987,0,,,,,,
Colombia,COL,1983,,448,0,,,,,,
Colombia,COL,1984,,112,0,,,,,,
Colombia,COL,1985,,35,0,,,,,,
Colombia,COL,1986,,462,0,,,,,,
Colombia,COL,1987,,819,0,,,,,,
Colombia,COL,1988,,231,0,,,,,,
Colombia,COL,1989,,98,0,,,,,,
Colombia,COL,1990,,28,0,2.2870426,575559.4,2040.1588,10275.014,,
Colombia,COL,1991,,56,0,2.2106311,676702.25,2429.4124,10255.821,,11979
Colombia,COL,1992,,0,0,2.1214714,750446.6,2872.4211,10216.343,,15129
Colombia,COL,1993,,0,0,2.035594,801681.75,3371.4216,10166.337,,230
Colombia,COL,1994,,0,0,1.9722714,835698.3,3982.9038,10113.164,,996
Colombia,COL,1995,,0,0,1.9495947,858466.75,4780.5625,10067.324,,1922
Colombia,COL,1996,,0,0,1.9073998,829136.5,5426.3213,9972.733,,4428
Colombia,COL,1997,,0,0,1.7917634,726313.06,5242.0947,9798.817,,1508
Colombia,COL,1998,,0,0,1.6390213,588277.9,4573.713,9599.815,,442
Colombia,COL,1999,,0,0,1.4882572,456773.5,3851.655,9431.639,,42
Colombia,COL,2000,,0,0,1.3774555,377089.25,3428.9792,9360.763,,
Colombia,COL,2001,,0,0,1.2774831,342936.47,3338.6577,9343.441,,
Colombia,COL,2002,,0,0,1.1459821,315283.2,3556.7659,9293.756,,
Colombia,COL,2003,,0,0,1.0078982,292864.62,3826.1106,9237.377,,
Colombia,COL,2004,,0,0,0.89208525,274240.34,4041.795,9199.97,,2
Colombia,COL,2005,,0,0,0.82897687,257716.52,4224.847,9200.743,,
Colombia,COL,2006,,0,0,0.8160957,243670.94,4537.17,9221.1875,,
Colombia,COL,2007,,0,0,0.8237453,232428.34,5126.534,9231.811,,
Colombia,COL,2008,,0,0,0.8414565,222053.08,4794.681,9243.669,,
Colombia,COL,2009,,0,0,0.85534817,210468.33,4838.5825,9266.625,,
Colombia,COL,2010,,0,0,0.8538299,195551.12,5441.8564,9312.98,,
Colombia,COL,2011,,0,0,0.82059133,172230.42,6685.261,9401.726,,
Colombia,COL,2012,,0,0,0.7599089,141352.02,7081.313,9521.175,,
Colombia,COL,2013,,0,0,0.6885436,109830.586,7522.857,9647.058,,
Colombia,COL,2014,,0,0,0.6255128,84858.836,7947.5947,9759.425,,
Colombia,COL,2015,,0,0,0.5904152,73882.02,8108.429,9835.558,,
Colombia,COL,2016,,0,0,0.5831312,73410.52,8211.889,9818.831,,
Colombia,COL,2017,,0,0,0.5782361,73810.72,8558.594,9771.705,,
Colombia,COL,2018,,0,0,0.56580323,75933.08,8968.415,9697.552,,
Colombia,COL,2019,,0,0,0.5489434,80460.945,9023.162,9547.073,,
Colombia,COL,2020,,0,0,,,,,,
Colombia,COL,2021,,,0,,,,,,
Colombia,COL,2022,,,0,,,,,,
Comoros,COM,1980,,21,0,,,,,,
Comoros,COM,1981,,0,0,,,,,,
Comoros,COM,1982,,0,0,,,,,,
Comoros,COM,1983,,42,0,,,,,,
Comoros,COM,1984,,0,0,,,,,,
Comoros,COM,1985,,0,0,,,,,,
Comoros,COM,1986,,0,0,,,,,,
Comoros,COM,1987,,0,0,,,,,,
Comoros,COM,1988,,0,0,,,,,,
Comoros,COM,1989,,0,0,,,,,,
Comoros,COM,1990,,0,0,1.9220879,2203069.8,0.31134385,1512.7195,,
Comoros,COM,1991,,0,0,1.9943626,1573152.5,0.28353477,1549.1687,,
Comoros,COM,1992,,0,0,2.0494783,982184.3,0.2864356,1582.7128,,
Comoros,COM,1993,,0,0,2.085356,486409.06,0.34253758,1613.19,,
Comoros,COM,1994,,0,0,2.1045446,144447.52,0.40747672,1640.9283,,
Comoros,COM,1995,,0,0,2.1104474,16917.592,0.52237755,1666.4082,,
Comoros,COM,1996,,0,0,2.028734,29724.646,0.68900055,1687.0881,,
Comoros,COM,1997,,0,0,1.8185256,60362.516,0.93210644,1700.9939,,
Comoros,COM,1998,,0,0,1.561501,97577.74,1.2601603,1709.9816,,7300
Comoros,COM,1999,,0,0,1.3399318,129667.94,1.6823198,1715.4551,,1180
Comoros,COM,2000,,0,0,1.2398643,144526,2.1916583,1718.8336,,3297
Comoros,COM,2001,,0,0,1.2334462,133487.5,2.7507176,1717.5239,,226
Comoros,COM,2002,,0,0,1.2373875,104013.97,3.3064716,1709.3458,,1567
Comoros,COM,2003,,0,0,1.246276,68186.836,3.7612932,1696.233,,56
Comoros,COM,2004,,0,0,1.2547324,38454.32,3.9676106,1680.273,,1
Comoros,COM,2005,,0,0,1.2567428,27603.799,3.911287,1663.3765,,0
Comoros,COM,2006,,0,0,1.2265124,40359.31,3.6163964,1637.3403,,0
Comoros,COM,2007,,0,0,1.1601908,66825.29,3.1616035,1598.8519,,1555
Comoros,COM,2008,,0,0,1.082333,97892.41,2.6015432,1560.3118,,4
Comoros,COM,2009,,0,0,1.0194966,124128.27,2.3351507,1534.2745,,
Comoros,COM,2010,,0,0,0.99990475,135827.12,2.3122444,1534.6924,,
Comoros,COM,2011,,0,0,1.0560187,122988.5,2.8769822,1564.3,,
Comoros,COM,2012,,0,0,1.1702962,90419.68,3.577905,1609.9415,,
Comoros,COM,2013,,0,0,1.3064488,50799.902,4.7472553,1663.988,,
Comoros,COM,2014,,0,0,1.4248021,17194.496,6.3961263,1717.6927,,
Comoros,COM,2015,,0,0,1.4839188,3001.154,8.781071,1761.7649,,
Comoros,COM,2016,,0,0,1.4550276,3619.3765,12.165005,1785.9836,,
Comoros,COM,2017,,0,0,1.3899796,4977.2856,12.304029,1787.641,,
Comoros,COM,2018,,0,0,1.3118479,20224.834,12.335993,1768.8871,,
Comoros,COM,2019,,0,0,1.202857,52390.645,12.5831585,1728.9747,,
Comoros,COM,2020,,0,0,,,,,,
Comoros,COM,2021,,,0,,,,,,
Comoros,COM,2022,,,0,,,,,,
Comoros,COM,1975,,,,,,,,,2675
Comoros,COM,1976,,,,,,,,,5
Congo,COG,2009,646,0,0,0.9012936,942363.9,7173.135,9404.96,,93
Congo,COG,2012,197,0,0,0.8825344,996603.94,7134.9395,9767.338,,1181
Congo,COG,1980,,952,0,,,,,,
Congo,COG,1981,,133,0,,,,,,
Congo,COG,1982,,63,0,,,,,,
Congo,COG,1983,,112,0,,,,,,
Congo,COG,1984,,84,0,,,,,,
Congo,COG,1985,,42,0,,,,,,
Congo,COG,1986,,84,0,,,,,,
Congo,COG,1987,,7,0,,,,,,
Congo,COG,1988,,7,0,,,,,,
Congo,COG,1989,,0,0,,,,,,
Congo,COG,1990,,0,0,1.0663763,1026805.2,13355.543,6096.03,,
Congo,COG,1991,,0,0,1.0693645,1051930,12324.192,6266.323,,
Congo,COG,1992,,0,0,1.0701472,1076188.9,11072.797,6439.875,,
Congo,COG,1993,,0,0,1.0693028,1099660.9,10019.892,6617.052,,
Congo,COG,1994,,0,0,1.0673493,1122592.6,9236.48,6795.1504,,
Congo,COG,1995,,0,0,1.0649204,1145457.1,8676.146,6971.0083,,
Congo,COG,1996,,0,0,1.0604521,1166961,8270.401,7163.7188,,
Congo,COG,1997,,0,0,1.0491644,1184502.4,7971.9614,7357.334,,275
Congo,COG,1998,,0,0,1.0345433,1199761,7735.5586,7553.826,,3222
Congo,COG,1999,,11,0,1.021782,1215818.1,7558.557,7760.7207,,4813
Congo,COG,2000,,52,0,1.0123919,1232289.5,7429.5483,7958.652,,9
Congo,COG,2001,,0,0,1.0025233,1240509,7313.2617,8120.3164,,
Congo,COG,2002,,0,0,0.98857135,1234742.6,7215.999,8232.009,,
Congo,COG,2003,,0,0,0.97304463,1218912.6,7114.9453,8321.451,,
Congo,COG,2004,,0,0,0.95850307,1197249.8,7056.3677,8418.517,,
Congo,COG,2005,,0,0,0.9476746,1174438.6,7069.7627,8557.612,,0
Congo,COG,2006,,0,0,0.9385101,1133495.1,7072.5938,8748.512,,175
Congo,COG,2007,,0,0,0.9261928,1066908.9,7060.014,8960.919,,7785
Congo,COG,2008,,0,0,0.91312367,995383.06,7107.3345,9183.8545,,156
Congo,COG,2010,,882,0,0.8930187,933979.06,7182.1963,9609.105,,
Congo,COG,2011,,1,0,0.888119,961641.8,7177.4927,9736.132,,762
Congo,COG,2013,,0,0,0.87553674,1036263.6,7128.245,9758.358,,1624
Congo,COG,2014,,0,0,0.8675803,1077815.4,7105.3706,9772.76,,
Congo,COG,2015,,0,0,0.8591329,1118254.8,6960.951,9880.59,,
Congo,COG,2016,,0,0,0.8421387,1189512.5,6845.7554,10131.612,,15
Congo,COG,2017,,0,0,0.8260687,1252609.4,6832.652,10410.187,,
Congo,COG,2018,,0,0,0.81930685,1268498.5,6729.1074,10535.902,,60
Congo,COG,2019,,0,0,0.8158915,1266318.1,6620.485,10509.869,,
Congo,COG,2020,,4,0,,,,,,
Congo,COG,2021,,,0,,,,,,
Congo,COG,2022,,,0,,,,,,
Congo,COG,1978,,,,,,,,,51
Congo,COG,1979,,,,,,,,,5
Cook Islands,COK,1980,,0,0,,,,,,
Cook Islands,COK,1981,,0,0,,,,,,
Cook Islands,COK,1982,,0,0,,,,,,
Cook Islands,COK,1983,,0,0,,,,,,
Cook Islands,COK,1984,,0,0,,,,,,
Cook Islands,COK,1985,,0,0,,,,,,
Cook Islands,COK,1986,,0,0,,,,,,
Cook Islands,COK,1987,,0,0,,,,,,
Cook Islands,COK,1988,,0,0,,,,,,
Cook Islands,COK,1989,,0,0,,,,,,
Cook Islands,COK,1990,,0,0,0.00016836263,0,0.25313008,4.3000727,,
Cook Islands,COK,1991,,0,0,0.00016308851,0,0.24941367,4.2674656,,
Cook Islands,COK,1992,,0,0,0.00016044184,0,0.2853747,4.2321687,,
Cook Islands,COK,1993,,0,0,0.00015981507,0,0.33911002,4.1924763,,
Cook Islands,COK,1994,,0,0,0.00016083688,0,0.40686104,4.150234,,
Cook Islands,COK,1995,,0,0,0.00016332741,0,0.47213447,4.1097965,,
